# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       1.096904831099e-05      -5.383164221711e-04      -4.038157388273e-04      -4.038157475798e-04      -5.383138871018e-04      -4.037202275435e-04      -4.038229352674e-04      -4.039135038862e-04       5.932141874492e-01       5.927589486561e-01       8.076314951596e-04       1.786583676200e-07       9.999987945488e-01      -5.198305722109e-11       1.621757420666e-10      -1.428306556780e-14      -3.511201030023e-11      -2.890226030982e-15      -3.607212671129e-11      -1.307374069920e-14      -3.542847417633e-14 
       1.148600363139e-05      -5.902411068618e-04      -4.427751134957e-04      -4.427751240187e-04      -5.902380590503e-04      -4.426703700290e-04      -4.427830048092e-04      -4.428823030432e-04       5.932141147077e-01       5.927588884145e-01       8.855502480373e-04       1.958949790823e-07       9.999986782523e-01      -5.699750022978e-11       1.778181350692e-10      -1.566083516000e-14      -4.221333633701e-11      -3.474846113547e-15      -4.336764023933e-11      -1.571808846087e-14      -4.259382113429e-14 
       1.202732230544e-05      -6.471731348238e-04      -4.854932035044e-04      -4.854932161557e-04      -6.471694705891e-04      -4.853783336269e-04      -4.855018566421e-04      -4.856107252376e-04       5.932140267702e-01       5.927588140587e-01       9.709864323114e-04       2.147945468859e-07       9.999985507369e-01      -6.249573349638e-11       1.949688846673e-10      -1.717147949697e-14      -5.075084035384e-11      -4.177603787514e-15      -5.213858681215e-11      -1.889729513374e-14      -5.120827464223e-14 
       1.259415254264e-05      -7.095951520305e-04      -5.323326420975e-04      -5.323326573076e-04      -7.095907467383e-04      -5.322066645951e-04      -5.323421308267e-04      -5.324614909712e-04       5.932139250716e-01       5.927587273059e-01       1.064665314615e-03       2.355175086481e-07       9.999984109191e-01      -6.852414822740e-11       2.137733199381e-10      -1.882781125618e-14      -6.101493357753e-11      -5.022587666457e-15      -6.268333333377e-11      -2.271953865529e-14      -6.156489628767e-14 
       1.318769666591e-05      -7.780363088441e-04      -5.836910719553e-04      -5.836910902418e-04      -7.780310125942e-04      -5.835529100851e-04      -5.837014769757e-04      -5.838323385430e-04       5.932138346321e-01       5.927586532467e-01       1.167382180484e-03       2.582397651737e-07       9.999982576131e-01      -7.513369059109e-11       2.343908043193e-10      -2.064387476073e-14      -7.335476597346e-11      -6.038434198737e-15      -7.536058000118e-11      -2.731488574130e-14      -7.401596905228e-14 
       1.380921366191e-05      -8.530766174484e-04      -6.400044399669e-04      -6.400044619520e-04      -8.530702500950e-04      -6.398529120832e-04      -6.400158498876e-04      -6.401593195946e-04       5.932137192384e-01       5.927585558483e-01       1.280008923904e-03       2.831542256618e-07       9.999980895183e-01      -8.238074846423e-11       2.569960022015e-10      -2.263506582767e-14      -8.819008058639e-11      -7.259767851437e-15      -9.060154682057e-11      -3.283967956029e-14      -8.898503085083e-14 
       1.446002185152e-05      -9.353519906151e-04      -7.017508078450e-04      -7.017508342765e-04      -9.353443355751e-04      -7.015846170507e-04      -7.017633196089e-04      -7.019206106184e-04       5.932135981467e-01       5.927584543316e-01       1.403501668553e-03       3.104723748392e-07       9.999979052044e-01      -9.032697631176e-11       2.817804528736e-10      -2.481826018006e-14      -1.060255528747e-10      -8.727935874713e-15      -1.089246480984e-10      -3.948199098774e-14      -1.069812597405e-13 
       1.514150168616e-05      -1.025559489271e-03      -7.694543266761e-04      -7.694543584530e-04      -1.025550286201e-03      -7.692720494689e-04      -7.694680468295e-04      -7.696404884364e-04       5.932134611485e-01       5.927583388320e-01       1.538908716906e-03       3.404261212802e-07       9.999977031121e-01      -9.903903931656e-11       3.089540164381e-10      -2.721196537202e-14      -1.274677760818e-10      -1.049302481432e-14      -1.309531071993e-10      -4.746776951528e-14      -1.286167541882e-13 
       1.585509867594e-05      -1.124463263292e-03      -8.436897378968e-04      -8.436897761011e-04      -1.124452198973e-03      -8.434898116436e-04      -8.437047835737e-04      -8.438938322244e-04       5.932133149301e-01       5.927582163207e-01       1.687379552202e-03       3.732697336012e-07       9.999974815243e-01      -1.085912966359e-10       3.387467454742e-10      -2.983647054449e-14      -1.532459778500e-10      -1.261533987700e-14      -1.574361457658e-10      -5.706878364159e-14      -1.546273767292e-13 
       1.660232645574e-05      -1.232900936356e-03      -9.250872181249e-04      -9.250872640557e-04      -1.232887634499e-03      -9.248679272789e-04      -9.251037173673e-04      -9.253109694623e-04       5.932131556141e-01       5.927580829176e-01       1.850174528111e-03       4.092820200111e-07       9.999972385617e-01      -1.190640977173e-10       3.714109004608e-10      -3.271400751780e-14      -1.842369718129e-10      -1.516667308993e-14      -1.892744522288e-10      -6.861174004318e-14      -1.858977580933e-13 
