# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       1.096904831099e-05      -3.257503560344e-04      -2.443412902350e-04      -2.443412934441e-04      -3.257496843617e-04      -2.442953892170e-04      -2.443510975175e-04      -2.444405971589e-04       5.990800685623e-01       5.983171942188e-01       4.886825868882e-04       1.400606355489e-07       9.999989131092e-01      -6.775906588994e-11       2.056988675979e-10      -2.098892850074e-14      -1.640698000871e-11      -2.458199412224e-15      -1.685056264947e-11      -1.622372127031e-14      -2.769011575645e-14 
       1.148600363139e-05      -3.571741097156e-04      -2.679148745353e-04      -2.679148783935e-04      -3.571733021862e-04      -2.678645301281e-04      -2.679256281239e-04      -2.680237574998e-04       5.990799976855e-01       5.983171359822e-01       5.358297567870e-04       1.535734164281e-07       9.999988082498e-01      -7.429568417569e-11       2.255412472488e-10      -2.301371163061e-14      -1.972536158714e-11      -2.955428433770e-15      -2.025866573520e-11      -1.950519592143e-14      -3.329057165827e-14 
       1.202732230544e-05      -3.916287512608e-04      -2.937627915512e-04      -2.937627961899e-04      -3.916277804048e-04      -2.937075720421e-04      -2.937745826346e-04      -2.938821734421e-04       5.990799208063e-01       5.983170727812e-01       5.875255923798e-04       1.683898823362e-07       9.999986932747e-01      -8.146293080395e-11       2.472973876171e-10      -2.523380010072e-14      -2.371488972954e-11      -3.553174338070e-15      -2.435605391633e-11      -2.345039899226e-14      -4.002371573681e-14 
       1.259415254264e-05      -4.294065274480e-04      -3.221044623524e-04      -3.221044679292e-04      -4.294053602394e-04      -3.220438937671e-04      -3.221173910546e-04      -3.222353548922e-04       5.990798343074e-01       5.983170012818e-01       6.442089358584e-04       1.846358110695e-07       9.999985672068e-01      -8.932145708074e-11       2.711517775049e-10      -2.766803147041e-14      -2.851128956962e-11      -4.271827122116e-15      -2.928212794177e-11      -2.819357123685e-14      -4.811862368023e-14 
       1.318769666591e-05      -4.708278503032e-04      -3.531804796554e-04      -3.531804863602e-04      -4.708264470162e-04      -3.531140415564e-04      -3.531946558057e-04      -3.533239919347e-04       5.990797393988e-01       5.983169229084e-01       7.063609727204e-04       2.024491129870e-07       9.999984289768e-01      -9.793787936247e-11       2.973066876933e-10      -3.033705851705e-14      -3.427773489991e-11      -5.135865301245e-15      -3.520447940063e-11      -3.389611792406e-14      -5.785069300206e-14 
       1.380921366191e-05      -5.162440045084e-04      -3.872546480904e-04      -3.872546561513e-04      -5.162423174252e-04      -3.871817689467e-04      -3.872701918827e-04      -3.874119959128e-04       5.990796371884e-01       5.983168386463e-01       7.745093123026e-04       2.219810034676e-07       9.999982774114e-01      -1.073852879859e-10       3.259839341698e-10      -3.326351625569e-14      -4.121042550432e-11      -6.174561931794e-15      -4.232459075469e-11      -4.075204189132e-14      -6.955102089982e-14 
       1.446002185152e-05      -5.660401136861e-04      -4.246162204121e-04      -4.246162301034e-04      -5.660380853962e-04      -4.245362724869e-04      -4.246332639002e-04      -4.247887365299e-04       5.990795238478e-01       5.983167450984e-01       8.492324602068e-04       2.433972892264e-07       9.999981112223e-01      -1.177443422789e-10       3.574265984584e-10      -3.647223413269e-14      -4.954518859176e-11      -7.423384299548e-15      -5.088468656246e-11      -4.899475461477e-14      -8.361764828178e-14 
       1.514150168616e-05      -6.206384031789e-04      -4.655823586593e-04      -4.655823703105e-04      -6.206359647057e-04      -4.654946523789e-04      -4.656010463347e-04      -4.657715039869e-04       5.990794002020e-01       5.983166429639e-01       9.311647406210e-04       2.668797709116e-07       9.999979290021e-01      -1.291022040593e-10       3.919012845597e-10      -3.999041915889e-14      -5.956559754728e-11      -8.924629642122e-15      -6.117597509230e-11      -5.890461693560e-14      -1.005291171631e-13 
       1.585509867594e-05      -6.805017593765e-04      -5.105008202628e-04      -5.105008342707e-04      -6.804988277190e-04      -5.104045979886e-04      -5.105213111783e-04      -5.107081961560e-04       5.990792624531e-01       5.983165291263e-01       1.021001668541e-03       2.926277915933e-07       9.999977292028e-01      -1.415550770195e-10       4.297000872300e-10      -4.384792372478e-14      -7.161246813713e-11      -1.072980983465e-14      -7.354854669404e-11      -7.081888904785e-14      -1.208607259510e-13 
       1.660232645574e-05      -7.461376500067e-04      -5.597529186178e-04      -5.597529354587e-04      -7.461341254470e-04      -5.596473477684e-04      -5.597753865750e-04      -5.599802803222e-04       5.990791132006e-01       5.983164059597e-01       1.119505870917e-03       3.208599216488e-07       9.999975101295e-01      -1.552093997730e-10       4.711434363535e-10      -4.807744735151e-14      -8.609565641016e-11      -1.289992426435e-14      -8.842328346449e-11      -8.514299478660e-14      -1.453041022804e-13 
