# Matter power spectrum P(k) at redshift z=3
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       3.947665582757e+00 
       1.148600363139e-05       4.126181027521e+00 
       1.202732230544e-05       4.312769006561e+00 
       1.259415254264e-05       4.507794396481e+00 
       1.318769666591e-05       4.711638881789e+00 
       1.380921366191e-05       4.924701179298e+00 
       1.446002185152e-05       5.147398151317e+00 
       1.514150168616e-05       5.380165421049e+00 
       1.585509867594e-05       5.623458287491e+00 
       1.660232645574e-05       5.877752790355e+00 
       1.738476999587e-05       6.143546397617e+00 
       1.820408896397e-05       6.421358901716e+00 
       1.906202124544e-05       6.711733883015e+00 
       1.996038662965e-05       7.015239394054e+00 
       2.090109067004e-05       7.332469032062e+00 
       2.188612872600e-05       7.664043379368e+00 
       2.291759019531e-05       8.010611024747e+00 
       2.399766294604e-05       8.372849907423e+00 
       2.512863795730e-05       8.751468511800e+00 
       2.631291417873e-05       9.147207372139e+00 
       2.755300361896e-05       9.560840623184e+00 
       2.885153667396e-05       9.993177182946e+00 
       3.021126770644e-05       1.044506264378e+01 
       3.163508088822e-05       1.091738082111e+01 
       3.312599631796e-05       1.141105538045e+01 
       3.468717642716e-05       1.192705178346e+01 
       3.632193268816e-05       1.246637902585e+01 
       3.803373263815e-05       1.303009184579e+01 
       3.982620723435e-05       1.361929227228e+01 
       4.170315855567e-05       1.423513256921e+01 
       4.366856786754e-05       1.487881676440e+01 
       4.572660406660e-05       1.555160302324e+01 
       4.788163252356e-05       1.625480686275e+01 
       5.013822434270e-05       1.698980258802e+01 
       5.250116605782e-05       1.775802684711e+01 
       5.497546978510e-05       1.856098110393e+01 
       5.756638385449e-05       1.940023440809e+01 
       6.027940394210e-05       2.027742658832e+01 
       6.312028472726e-05       2.119427152607e+01 
       6.609505209902e-05       2.215255999714e+01 
       6.921001593779e-05       2.315416387820e+01 
       7.247178349952e-05       2.420103891290e+01 
       7.588727343051e-05       2.529522926250e+01 
       7.946373044283e-05       2.643887086458e+01 
       8.320874068131e-05       2.763419569785e+01 
       8.713024781476e-05       2.888353608318e+01 
       9.123656988559e-05       3.018932925192e+01 
       9.553641695344e-05       3.155412152797e+01 
       1.000389095704e-04       3.298057379748e+01 
       1.047535981271e-04       3.447146599961e+01 
       1.096904831099e-04       3.602970262215e+01 
       1.148600363139e-04       3.765831826957e+01 
       1.202732230545e-04       3.936048300385e+01 
       1.259415254264e-04       4.113950846683e+01 
       1.318769666591e-04       4.299885401033e+01 
       1.380921366191e-04       4.494213305191e+01 
       1.446002185152e-04       4.697311964843e+01 
       1.514150168616e-04       4.909575557022e+01 
       1.585509867594e-04       5.131415702076e+01 
       1.660232645574e-04       5.363262252620e+01 
       1.738476999587e-04       5.605564013520e+01 
       1.820408896397e-04       5.858789572857e+01 
       1.906202124544e-04       6.123428081007e+01 
       1.996038662965e-04       6.399990128601e+01 
       2.090109067004e-04       6.689008596835e+01 
       2.188612872600e-04       6.991039544362e+01 
       2.291759019531e-04       7.306663158337e+01 
       2.399766294604e-04       7.636484667990e+01 
       2.512863795730e-04       7.981135320380e+01 
       2.631291417873e-04       8.341273379310e+01 
       2.755300361896e-04       8.717585096511e+01 
       2.885153667396e-04       9.110785764470e+01 
       3.021126770644e-04       9.521620772664e+01 
       3.163508088822e-04       9.950866557503e+01 
       3.312599631796e-04       1.039933176523e+02 
       3.468717642716e-04       1.086785822642e+02 
       3.632193268816e-04       1.135732203280e+02 
       3.803373263815e-04       1.186863455848e+02 
       3.982620723435e-04       1.240274344467e+02 
       4.170315855568e-04       1.296063368784e+02 
       4.366856786754e-04       1.354332839616e+02 
       4.572660406660e-04       1.415189001894e+02 
       4.788163252356e-04       1.478742074942e+02 
       5.013822434270e-04       1.545106371231e+02 
       5.250116605782e-04       1.614400342765e+02 
       5.497546978510e-04       1.686746647179e+02 
       5.756638385449e-04       1.762272203151e+02 
       6.027940394210e-04       1.841108212008e+02 
       6.312028472726e-04       1.923390193217e+02 
       6.609505209902e-04       2.009257990968e+02 
       6.921001593779e-04       2.098855745139e+02 
       7.247178349952e-04       2.192331879432e+02 
       7.588727343051e-04       2.289839069825e+02 
