# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       1.096904831099e-05      -4.063557314131e-04      -3.048112702052e-04      -3.048112755718e-04      -4.063544652108e-04      -3.047456616962e-04      -3.048201846778e-04      -3.049101024575e-04       5.974504327672e-01       5.968409079305e-01       6.096225511436e-04       1.560835058161e-07       9.999988608466e-01      -6.047491147881e-11       1.848604755836e-10      -1.737820224131e-14      -2.290218242856e-11      -2.782265144069e-15      -2.355249277994e-11      -1.480108070462e-14      -3.090189758012e-14 
       1.148600363139e-05      -4.455538867433e-04      -3.342188813628e-04      -3.342188878150e-04      -4.455523644354e-04      -3.341469270147e-04      -3.342286561617e-04      -3.343272427965e-04       5.974503585075e-01       5.968408462436e-01       6.684377756299e-04       1.711421417772e-07       9.999987509456e-01      -6.630885553082e-11       2.026920308328e-10      -1.905461652499e-14      -2.753419283628e-11      -3.345035339468e-15      -2.831603285468e-11      -1.779480676513e-14      -3.715187748855e-14 
       1.202732230544e-05      -4.885325356445e-04      -3.664636818851e-04      -3.664636896424e-04      -4.885307054369e-04      -3.663847662160e-04      -3.664743999855e-04      -3.665824906506e-04       5.974502804466e-01       5.968407819563e-01       7.329273792848e-04       1.876536022392e-07       9.999986304426e-01      -7.270514431047e-11       2.222432473098e-10      -2.089272706851e-14      -3.310300039876e-11      -4.021596311081e-15      -3.404297513073e-11      -2.139405938866e-14      -4.466587797720e-14 
       1.259415254264e-05      -5.356561460132e-04      -4.018193906339e-04      -4.018193999600e-04      -5.356539456650e-04      -4.017328381263e-04      -4.018311431062e-04      -4.019496532160e-04       5.974501878466e-01       5.968407043094e-01       8.036387999201e-04       2.057580574143e-07       9.999984983134e-01      -7.971890802120e-11       2.436799160333e-10      -2.290812223295e-14      -3.979808078260e-11      -4.835002157756e-15      -4.092815113541e-11      -2.572130827821e-14      -5.369955413464e-14 
       1.318769666591e-05      -5.873243153103e-04      -4.405861479881e-04      -4.405861592005e-04      -5.873216699307e-04      -4.404912171611e-04      -4.405990346333e-04      -4.407289676844e-04       5.974500900033e-01       5.968406229197e-01       8.811723184011e-04       2.256091903194e-07       9.999983534376e-01      -8.740902000978e-11       2.671837426740e-10      -2.511790049624e-14      -4.784717207476e-11      -5.812890412533e-15      -4.920579228569e-11      -3.092380510552e-14      -6.456020042222e-14 
       1.380921366191e-05      -6.439751168383e-04      -4.830930407573e-04      -4.830930542375e-04      -6.439719364667e-04      -4.829889176463e-04      -4.831071710660e-04      -4.832496269550e-04       5.974499818774e-01       5.968405328118e-01       9.661861084749e-04       2.473755185492e-07       9.999981945854e-01      -9.584013180228e-11       2.929539728048e-10      -2.754080154100e-14      -5.752410913340e-11      -6.988557418906e-15      -5.915749339433e-11      -3.717854563088e-14      -7.761730037976e-14 
       1.446002185152e-05      -7.060888208653e-04      -5.297009109018e-04      -5.297009271085e-04      -7.060849972832e-04      -5.295867018671e-04      -5.297164049063e-04      -5.298725892439e-04       5.974498654844e-01       5.968404361705e-01       1.059401854217e-03       2.712418133790e-07       9.999980204067e-01      -1.050854085094e-10       3.212090189872e-10      -3.019737307371e-14      -6.915807758961e-11      -8.401964346155e-15      -7.112178871967e-11      -4.469846069472e-14      -9.331502240384e-14 
       1.514150168616e-05      -7.741919366151e-04      -5.808054090073e-04      -5.808054284915e-04      -7.741873397931e-04      -5.806801328242e-04      -5.808223982284e-04      -5.809936325207e-04       5.974497377623e-01       5.968403300159e-01       1.161610856983e-03       2.974106754575e-07       9.999978294263e-01      -1.152215266825e-10       3.521883391328e-10      -3.311013892017e-14      -8.314484646352e-11      -1.010111004469e-14      -8.550566697378e-11      -5.373934035240e-14      -1.121873582090e-13 
       1.585509867594e-05      -8.488616585254e-04      -6.368403548271e-04      -6.368403782523e-04      -8.488561320087e-04      -6.367029339553e-04      -6.368589840393e-04      -6.370467161100e-04       5.974495942028e-01       5.968402103322e-01       1.273680756505e-03       3.261042531465e-07       9.999976200220e-01      -1.263359101333e-10       3.861543313942e-10      -3.630380451081e-14      -9.996012508281e-11      -1.214423807063e-14      -1.027984041109e-10      -6.460886480077e-14      -1.348762779265e-13 
       1.660232645574e-05      -9.307307496356e-04      -6.982814315942e-04      -6.982814597571e-04      -9.307241054420e-04      -6.981306825488e-04      -6.983018589259e-04      -6.985076761589e-04       5.974494394490e-01       5.968400816466e-01       1.396562919514e-03       3.575661193248e-07       9.999973904175e-01      -1.385212431668e-10       4.233948073352e-10      -3.980543565218e-14      -1.201759403476e-10      -1.460035671865e-14      -1.235882060121e-10      -7.767690702602e-14      -1.621535202065e-13 
       1.738476999587e-05      -1.020492855713e-03      -7.656502090862e-04      -7.656502429455e-04      -1.020484867770e-03      -7.654848318198e-04      -7.656726081963e-04      -7.658982499629e-04       5.974492720840e-01       5.968399429186e-01       1.531300485891e-03       3.920633502686e-07       9.999971386645e-01      -1.518809384671e-10       4.642251271126e-10      -4.364471939826e-14      -1.444798551521e-10      -1.755320770675e-14      -1.485822013381e-10      -9.338811599146e-14      -1.949468670983e-13 
       1.820408896397e-05      -1.118908340370e-03      -8.395185657526e-04      -8.395186064591e-04      -1.118898737174e-03      -8.393371319257e-04      -8.395431269488e-04      -8.397904994655e-04       5.974490836278e-01       5.968397856467e-01       1.679037212918e-03       4.298887965889e-07       9.999968626193e-01      -1.665307977970e-10       5.089911086440e-10      -4.785418340016e-14      -1.736986237441e-10      -2.110307761574e-14      -1.786304722753e-10      -1.122771463910e-13      -2.343717791772e-13 
       1.906202124544e-05      -1.226810722809e-03      -9.205135709528e-04      -9.205136198920e-04      -1.226799177590e-03      -9.203145109764e-04      -9.205405031615e-04      -9.208116950174e-04       5.974488780718e-01       5.968396144511e-01       1.841027239784e-03       4.713635482459e-07       9.999965599503e-01      -1.825927193906e-10       5.580715921828e-10      -5.246951424784e-14      -2.088258182351e-10      -2.537094538855e-14      -2.147549715991e-10      -1.349867203189e-13      -2.817690015333e-13 
       1.996038662965e-05      -1.345113656638e-03      -1.009322785435e-03      -1.009322844272e-03      -1.345099776687e-03      -1.009104374144e-03      -1.009352317752e-03      -1.009649617485e-03       5.974486550890e-01       5.968394291562e-01       2.018645688543e-03       5.168396768985e-07       9.999962280844e-01      -2.002029846765e-10       6.118819975923e-10      -5.752981062996e-14      -2.510561079365e-10      -3.050197291782e-14      -2.581842354874e-10      -1.622895985950e-13      -3.387504919465e-13 
       2.090109067004e-05      -1.474818600864e-03      -1.106700093073e-03      -1.106700163809e-03      -1.474801914092e-03      -1.106460433886e-03      -1.106732476696e-03      -1.107058391785e-03       5.974484084311e-01       5.968392238087e-01       2.213400327619e-03       5.667032278769e-07       9.999958642015e-01      -2.195107359464e-10       6.708776017877e-10      -6.307793659065e-14      -3.018256357769e-10      -3.667061389448e-14      -3.103951351585e-10      -1.951148639904e-13      -4.072540270638e-13 
       2.188612872600e-05      -1.617023252500e-03      -1.213472120138e-03      -1.213472205181e-03      -1.617003191210e-03      -1.213209127504e-03      -1.213507630792e-03      -1.213864908113e-03       5.974481379673e-01       5.968389987023e-01       2.426944410362e-03       6.213774821268e-07       9.999954652195e-01      -2.406798993469e-10       7.355573454593e-10      -6.916088549095e-14      -3.628607425401e-10      -4.408705621159e-14      -3.731630773063e-10      -2.345794436942e-13      -4.896090639368e-13 
       2.291759019531e-05      -1.772930732491e-03      -1.330545239293e-03      -1.330545341534e-03      -1.772906614710e-03      -1.330256619250e-03      -1.330584178932e-03      -1.330975828068e-03       5.974478417773e-01       5.968387521389e-01       2.661090683069e-03       6.813265584847e-07       9.999950277502e-01      -2.638895464932e-10       8.064681712676e-10      -7.583015393995e-14      -4.362368943137e-10      -5.300282229287e-14      -4.486223000488e-10      -2.820262467534e-13      -5.886158919004e-13 
       2.399766294604e-05      -1.943859669232e-03      -1.458913268089e-03      -1.458913391008e-03      -1.943830674536e-03      -1.458596496704e-03      -1.458955968130e-03      -1.459385285477e-03       5.974475184919e-01       5.968384832996e-01       2.917826782016e-03       7.470593495988e-07       9.999945480831e-01      -2.893379834956e-10       8.842093212284e-10      -8.314220736542e-14      -5.244487480915e-10      -6.372144259405e-14      -5.393383890572e-10      -3.390697718882e-13      -7.076406920920e-13 
       2.512863795730e-05      -2.131255211095e-03      -1.599665894795e-03      -1.599666042570e-03      -2.131220354080e-03      -1.599318194223e-03      -1.599712718357e-03      -1.600183314737e-03       5.974471635113e-01       5.968381878969e-01       3.199332085140e-03       8.191338488930e-07       9.999940221471e-01      -3.172363882301e-10       9.694376460677e-10      -9.115891550924e-14      -6.304954913658e-10      -7.660654380731e-14      -6.483953974424e-10      -4.076510494402e-13      -8.507300722213e-13 
       2.631291417873e-05      -2.336701108355e-03      -1.753997935273e-03      -1.753998112936e-03      -2.336659203034e-03      -1.753616247165e-03      -1.754049281911e-03      -1.754565110465e-03       5.974467724142e-01       5.968378623347e-01       3.507996225872e-03       8.981618811696e-07       9.999934454804e-01      -3.478236095246e-10       1.062872590937e-09      -9.994812946708e-14      -7.579815746145e-10      -9.209901860553e-14      -7.795005863011e-10      -4.901037321786e-13      -1.022748219410e-12 
       2.755300361896e-05      -2.561932933964e-03      -1.923219490350e-03      -1.923219703938e-03      -2.561882556423e-03      -1.922800446238e-03      -1.923275796546e-03      -1.923841187827e-03       5.974463459535e-01       5.968375075114e-01       3.846439407875e-03       9.848142838130e-07       9.999928131939e-01      -3.813591303949e-10       1.165303016447e-09      -1.095841511376e-13      -9.112410867752e-10      -1.107215799537e-13      -9.371102933045e-10      -5.892334685929e-13      -1.229542274071e-12 
       2.885153667396e-05      -2.808852484639e-03      -2.108767028220e-03      -2.108767285000e-03      -2.808791921793e-03      -2.108306916581e-03      -2.108828774416e-03      -2.109448468217e-03       5.974458769670e-01       5.968371171992e-01       4.217534570001e-03       1.079826629205e-06       9.999921199205e-01      -4.181248770323e-10       1.277592655633e-09      -1.201484793518e-13      -1.095482265260e-09      -1.331113059330e-13      -1.126581162863e-09      -7.084133758685e-13      -1.478140678946e-12 
       3.021126770644e-05      -3.079543622159e-03      -2.312215612706e-03      -2.312215921412e-03      -3.079470815213e-03      -2.311710342190e-03      -2.312283324894e-03      -2.312962511012e-03       5.974453626029e-01       5.968366890316e-01       4.624431842824e-03       1.184005440967e-06       9.999913597818e-01      -4.584334477360e-10       1.400688223364e-09      -1.317303794250e-13      -1.316966659879e-09      -1.600266949412e-13      -1.354351957170e-09      -8.516988171714e-13      -1.776991696773e-12 
       3.163508088822e-05      -3.376289532598e-03      -2.535292258831e-03      -2.535292629967e-03      -3.376202006130e-03      -2.534737317231e-03      -2.535366514989e-03      -2.536110872980e-03       5.974447993446e-01       5.968362203986e-01       5.070585259934e-03       1.298235049267e-06       9.999905263299e-01      -5.026237675378e-10       1.535626489811e-09      -1.444277138783e-13      -1.583219420172e-09      -1.923856142422e-13      -1.628161977791e-09      -1.023965313221e-12      -2.136249934283e-12 
       3.312599631796e-05      -3.701591595530e-03      -2.779890583468e-03      -2.779891029652e-03      -3.701486375237e-03      -2.779280991813e-03      -2.779972016843e-03      -2.780787763024e-03       5.974441816210e-01       5.968357063413e-01       5.559782059303e-03       1.423485102200e-06       9.999896124954e-01      -5.510695720951e-10       1.683543506538e-09      -1.583476729272e-13      -1.903286992240e-09      -2.312853647353e-13      -1.957313553078e-09      -1.231074608257e-12      -2.568121309648e-12 
       3.468717642716e-05      -4.058190039745e-03      -3.048086891287e-03      -3.048087427693e-03      -4.058063549676e-03      -3.047417152469e-03      -3.048176196683e-03      -3.049070132620e-03       5.974435048044e-01       5.968351431579e-01       6.096174855386e-03       1.560818784848e-06       9.999886105316e-01      -6.041792854003e-10       1.845683323524e-09      -1.736077380337e-13      -2.288041578557e-09      -2.780477743761e-13      -2.352987447232e-09      -1.480073976460e-12      -3.087276073346e-12 
       3.632193268816e-05      -4.449086457720e-03      -3.342157780229e-03      -3.342158425095e-03      -4.448934400394e-03      -3.341421821362e-03      -3.342255720454e-03      -3.343235286074e-03       5.974427618853e-01       5.968345248099e-01       6.684316850189e-03       1.711401855271e-06       9.999875119399e-01      -6.624016338374e-10       2.023408422919e-09      -1.903366222193e-13      -2.750550782049e-09      -3.342636550175e-13      -2.828621773691e-09      -1.779436013067e-12      -3.711346997921e-12 
       3.803373263815e-05      -4.877568464522e-03      -3.664599497164e-03      -3.664600272406e-03      -4.877385675762e-03      -3.663790604847e-03      -3.664706908084e-03      -3.665780241367e-03       5.974419494189e-01       5.968338488303e-01       7.329200544812e-03       1.876512512486e-06       9.999863074061e-01      -7.262280654210e-10       2.218210917557e-09      -2.086753258775e-13      -3.306520666555e-09      -4.018375077959e-13      -3.400367337880e-09      -2.139346875997e-12      -4.461525745631e-12 
