# Matter power spectrum P(k) at redshift z=4
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       2.536741479396e+00 
       1.148600363139e-05       2.651454251079e+00 
       1.202732230544e-05       2.771354354523e+00 
       1.259415254264e-05       2.896676329765e+00 
       1.318769666591e-05       3.027665365912e+00 
       1.380921366191e-05       3.164577734059e+00 
       1.446002185152e-05       3.307681251101e+00 
       1.514150168616e-05       3.457255882798e+00 
       1.585509867594e-05       3.613594215595e+00 
       1.660232645574e-05       3.777002123680e+00 
       1.738476999587e-05       3.947799284908e+00 
       1.820408896397e-05       4.126319751820e+00 
       1.906202124544e-05       4.312912791294e+00 
       1.996038662965e-05       4.507943408592e+00 
       2.090109067004e-05       4.711793098340e+00 
       2.188612872600e-05       4.924860651572e+00 
       2.291759019531e-05       5.147562801626e+00 
       2.399766294604e-05       5.380335206285e+00 
       2.512863795730e-05       5.623633159697e+00 
       2.631291417873e-05       5.877932546049e+00 
       2.755300361896e-05       6.143730772885e+00 
       2.885153667396e-05       6.421547704758e+00 
       3.021126770644e-05       6.711926720811e+00 
       3.163508088822e-05       7.015435718470e+00 
       3.312599631796e-05       7.332668296005e+00 
       3.468717642716e-05       7.664244860548e+00 
       3.632193268816e-05       8.010813800675e+00 
       3.803373263815e-05       8.373052894096e+00 
       3.982620723435e-05       8.751670368732e+00 
       4.170315855567e-05       9.147406624109e+00 
       4.366856786754e-05       9.561035416117e+00 
       4.572660406660e-05       9.993365339637e+00 
       4.788163252356e-05       1.044524160633e+01 
       5.013822434270e-05       1.091754758815e+01 
       5.250116605782e-05       1.141120644942e+01 
       5.497546978510e-05       1.192718301456e+01 
       5.756638385449e-05       1.246648564223e+01 
       6.027940394210e-05       1.303016822695e+01 
       6.312028472726e-05       1.361933206724e+01 
       6.609505209902e-05       1.423512818991e+01 
       6.921001593779e-05       1.487875944128e+01 
       7.247178349952e-05       1.555148276110e+01 
       7.588727343051e-05       1.625461189697e+01 
       7.946373044283e-05       1.698951955973e+01 
       8.320874068131e-05       1.775764023151e+01 
       8.713024781476e-05       1.856047288698e+01 
       9.123656988559e-05       1.939958394746e+01 
       9.553641695344e-05       2.027661001497e+01 
       1.000389095704e-04       2.119326131201e+01 
       1.047535981271e-04       2.215132465613e+01 
       1.096904831099e-04       2.315266692397e+01 
       1.148600363139e-04       2.419923872013e+01 
       1.202732230545e-04       2.529307775479e+01 
       1.259415254264e-04       2.643631277448e+01 
       1.318769666591e-04       2.763116759570e+01 
       1.380921366191e-04       2.887996513344e+01 
       1.446002185152e-04       3.018513165981e+01 
       1.514150168616e-04       3.154920143744e+01 
       1.585509867594e-04       3.297482087980e+01 
       1.660232645574e-04       3.446475391085e+01 
       1.738476999587e-04       3.602188631277e+01 
       1.820408896397e-04       3.764923142210e+01 
       1.906202124544e-04       3.934993485706e+01 
       1.996038662965e-04       4.112728044159e+01 
       2.090109067004e-04       4.298469562897e+01 
       2.188612872600e-04       4.492575716367e+01 
       2.291759019531e-04       4.695419744250e+01 
       2.399766294604e-04       4.907391026896e+01 
       2.512863795730e-04       5.128895731150e+01 
       2.631291417873e-04       5.360357455321e+01 
       2.755300361896e-04       5.602217857843e+01 
       2.885153667396e-04       5.854937353538e+01 
       3.021126770644e-04       6.118995804206e+01 
       3.163508088822e-04       6.394893129524e+01 
       3.312599631796e-04       6.683150071427e+01 
       3.468717642716e-04       6.984308840120e+01 
       3.632193268816e-04       7.298933825913e+01 
       3.803373263815e-04       7.627612248696e+01 
       3.982620723435e-04       7.970954834618e+01 
       4.170315855568e-04       8.329596522920e+01 
       4.366856786754e-04       8.704196966426e+01 
       4.572660406660e-04       9.095441343863e+01 
       4.788163252356e-04       9.504040638913e+01 
       5.013822434270e-04       9.930732419902e+01 
       5.250116605782e-04       1.037628115005e+02 
       5.497546978510e-04       1.084147862986e+02 
       5.756638385449e-04       1.132714435937e+02 
       6.027940394210e-04       1.183412567291e+02 
       6.312028472726e-04       1.236329798432e+02 
       6.609505209902e-04       1.291556478178e+02 
       6.921001593779e-04       1.349185744402e+02 
       7.247178349952e-04       1.409313511581e+02 
       7.588727343051e-04       1.472038443657e+02 
       7.946373044283e-04       1.537461864195e+02 
       8.320874068131e-04       1.605687730283e+02 
       8.713024781476e-04       1.676822500350e+02 
       9.123656988559e-04       1.750975035670e+02 
       9.553641695344e-04       1.828256527569e+02 
       1.000389095704e-03       1.908780245244e+02 
       1.047535981271e-03       1.992661422232e+02 
       1.096904831099e-03       2.080017070270e+02 
       1.148600363139e-03       2.170965723982e+02 
       1.202732230545e-03       2.265627191216e+02 
       1.259415254264e-03       2.364122278644e+02 
       1.318769666591e-03       2.466572518525e+02 
       1.380921366191e-03       2.573099687450e+02 
       1.446002185152e-03       2.683825543690e+02 
       1.514150168616e-03       2.798871331217e+02 
       1.585509867594e-03       2.918357152116e+02 
       1.660232645574e-03       3.042401455584e+02 
       1.738476999587e-03       3.171120468720e+02 
       1.820408896397e-03       3.304626878754e+02 
       1.906202124544e-03       3.443029585077e+02 
       1.996038662965e-03       3.586432114923e+02 
       2.090109067004e-03       3.734931594032e+02 
       2.188612872600e-03       3.888617323478e+02 
       2.291759019531e-03       4.047569546761e+02 
       2.399766294604e-03       4.211857519520e+02 
       2.512863795730e-03       4.381538293846e+02 
       2.631291417873e-03       4.556654484398e+02 
       2.755300361896e-03       4.737233423243e+02 
       2.885153667396e-03       4.923284876482e+02 
       3.021126770644e-03       5.114799373834e+02 
       3.163508088822e-03       5.311747158186e+02 
       3.312599631796e-03       5.514075251725e+02 
       3.468717642716e-03       5.721706229094e+02 
       3.632193268816e-03       5.934535867841e+02 
       3.803373263814e-03       6.152430390525e+02 
       3.982620723431e-03       6.375223412212e+02 
       4.170315855554e-03       6.602715206939e+02 
       4.366856786707e-03       6.834669608227e+02 
       4.572660406506e-03       7.070812624095e+02 
       4.788163251864e-03       7.310830404871e+02 
       5.013822432762e-03       7.554369057714e+02 
       5.250116601328e-03       7.801026358133e+02 
       5.497546965834e-03       8.050371301955e+02 
       5.756638350631e-03       8.301900534799e+02 
       6.027940301843e-03       8.555076902590e+02 
       6.312028235853e-03       8.809309589613e+02 
       6.609504622134e-03       9.063956051946e+02 
       6.921000181360e-03       9.318317271018e+02 
       7.247175060160e-03       9.571642694425e+02 
       7.588719909568e-03       9.823117578304e+02 
       7.946356736254e-03       1.007186946581e+03 
       8.320839302068e-03       1.031695970328e+03 
       8.712952702774e-03       1.055738712915e+03 
       9.123511543240e-03       1.079207925895e+03 
       9.553355826116e-03       1.101989728645e+03 
       1.000334327259e-02       1.123962151092e+03 
       1.047433630144e-02       1.144998619621e+03 
       1.096718134364e-02       1.164959174181e+03 
       1.148267766018e-02       1.183700439481e+03 
       1.202153254843e-02       1.201073165468e+03 
       1.258430008717e-02       1.216920178094e+03 
       1.317130184694e-02       1.231084479434e+03 
       1.378253084068e-02       1.243409623225e+03 
       1.441754485614e-02       1.253748798382e+03 
       1.507536209159e-02       1.261969206672e+03 
       1.575437942368e-02       1.267968915154e+03 
       1.645233873034e-02       1.271680246689e+03 
       1.716636530373e-02       1.273084710908e+03 
       1.789309116626e-02       1.272215513535e+03 
       1.862885571852e-02       1.269159522697e+03 
       1.936995326311e-02       1.264051824355e+03 
       2.011288192339e-02       1.257062722410e+03 
       2.085454900126e-02       1.248386503435e+03 
       2.159240335812e-02       1.238232140256e+03 
       2.232448768201e-02       1.226802059860e+03 
       2.304942252117e-02       1.214293753062e+03 
       2.376634395220e-02       1.200890016147e+03 
       2.447481770068e-02       1.186747624101e+03 
       2.517474787071e-02       1.172020108790e+03 
       2.586629197025e-02       1.156826396768e+03 
       2.654978813385e-02       1.141276162933e+03 
       2.722569633342e-02       1.125468197947e+03 
       2.789455293640e-02       1.109480056493e+03 
       2.855693681082e-02       1.093374179588e+03 
       2.921344482475e-02       1.077220380238e+03 
       2.986467467311e-02       1.061062524663e+03 
       3.051121324598e-02       1.044941327639e+03 
       3.115362908813e-02       1.028899698169e+03 
       3.179246781784e-02       1.012968043446e+03 
       3.242824964662e-02       9.971669890249e+02 
       3.306146836151e-02       9.815331815577e+02 
       3.369259130286e-02       9.660853672810e+02 
       3.432206000051e-02       9.508372930596e+02 
       3.495029122750e-02       9.358088321747e+02 
       3.557767830186e-02       9.210183013733e+02 
       3.620459251805e-02       9.064754569991e+02 
       3.683138462739e-02       8.921953827265e+02 
       3.745838631308e-02       8.781884786998e+02 
       3.808591162448e-02       8.644596653151e+02 
       3.871425834856e-02       8.510232630559e+02 
       3.934370930598e-02       8.378847867384e+02 
       3.997453356526e-02       8.250495055482e+02 
       4.060698757339e-02       8.125228203354e+02 
       4.124131620360e-02       8.003121146937e+02 
       4.187775372335e-02       7.884155678314e+02 
       4.251652468637e-02       7.768418331366e+02 
       4.315784475339e-02       7.655904698478e+02 
       4.380192144653e-02       7.546599116298e+02 
       4.444895484213e-02       7.440560181162e+02 
       4.509913820710e-02       7.337721451466e+02 
       4.575265858315e-02       7.238128889813e+02 
       4.640969732355e-02       7.141698074775e+02 
       4.707043058632e-02       7.048470213869e+02 
       4.773502978774e-02       6.958375465665e+02 
       4.840366201971e-02       6.871344443076e+02 
       4.907649043405e-02       6.787339582728e+02 
       4.975367459674e-02       6.706243676335e+02 
       5.043537081486e-02       6.628132772930e+02 
       5.112173243845e-02       6.552746994929e+02 
       5.181291013972e-02       6.480125543590e+02 
       5.250905217143e-02       6.410100996386e+02 
       5.321030460638e-02       6.342602499457e+02 
       5.391681155968e-02       6.277463936159e+02 
       5.462871539508e-02       6.214610671869e+02 
       5.534615691701e-02       6.153921268065e+02 
       5.606927554935e-02       6.095232050899e+02 
       5.679820950211e-02       6.038410881290e+02 
       5.753309592701e-02       5.983295916571e+02 
       5.827407106296e-02       5.929746600899e+02 
       5.902127037216e-02       5.877606423070e+02 
       5.977482866757e-02       5.826707267460e+02 
       6.053488023263e-02       5.776841293721e+02 
       6.130155893359e-02       5.727862831078e+02 
       6.207499832521e-02       5.679595180761e+02 
       6.285533175027e-02       5.631840903936e+02 
       6.364269243341e-02       5.584400380528e+02 
       6.443721356965e-02       5.537122342432e+02 
       6.523902840810e-02       5.489788814841e+02 
       6.604827033112e-02       5.442241128078e+02 
       6.686507292931e-02       5.394284747117e+02 
       6.768957007262e-02       5.345747390772e+02 
       6.852189597788e-02       5.296452855670e+02 
       6.936218527295e-02       5.246251403335e+02 
       7.021057305780e-02       5.194978802693e+02 
       7.106719496263e-02       5.142502589676e+02 
       7.193218720333e-02       5.088685498568e+02 
       7.280568663443e-02       5.033408359888e+02 
       7.368783079963e-02       4.976597972775e+02 
       7.457875798024e-02       4.918141090268e+02 
       7.547860724140e-02       4.857991504301e+02 
