# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       1.996038662965e-05      -5.162362704080e-05      -3.871824960324e-05      -3.871825415339e-05      -5.162354238289e-05      -3.974340447564e-05      -3.885615444214e-05      -3.904306894192e-05       6.111610892872e-01       5.974444367772e-01       7.743650830677e-05       1.050916228069e-07       9.999986571355e-01      -8.765760970705e-10       2.908231353500e-09      -1.485591831896e-12      -1.618168702024e-12      -1.452764362623e-15      -1.724407595103e-12      -3.205235765272e-13      -5.746185758558e-14 
       2.090109067004e-05      -5.660410601805e-05      -4.245371589900e-05      -4.245372136945e-05      -5.660400423700e-05      -4.357775530615e-05      -4.260492558298e-05      -4.280987144331e-05       6.111610366813e-01       5.974444141070e-01       8.490744273891e-05       1.152306457141e-07       9.999985275771e-01      -9.611467033774e-10       3.188806939579e-09      -1.628917608174e-12      -1.945464763763e-12      -1.746677390354e-15      -2.073191594681e-12      -3.853532582731e-13      -6.908428037248e-14 
       2.188612872600e-05      -6.206507209224e-05      -4.654956917221e-05      -4.654957574915e-05      -6.206494972466e-05      -4.778202905133e-05      -4.671536730327e-05      -4.694008378992e-05       6.111609285191e-01       5.974443381304e-01       9.309915149831e-05       1.263478732254e-07       9.999983855212e-01      -1.053875181539e-09       3.496450766225e-09      -1.786070637394e-12      -2.338960552564e-12      -2.099964222256e-15      -2.492521503337e-12      -4.632962429307e-13      -8.305748311587e-14 
       2.291759019531e-05      -6.805288303343e-05      -5.104058213054e-05      -5.104059003778e-05      -6.805273591557e-05      -5.239191767499e-05      -5.122237618774e-05      -5.146877028471e-05       6.111608111100e-01       5.974442562564e-01       1.020811800756e-04       1.385376669299e-07       9.999982297597e-01      -1.155549706689e-09       3.833774173767e-09      -1.958385126138e-12      -2.812045773766e-12      -2.524714912809e-15      -2.996665904405e-12      -5.570041956827e-13      -9.985693974677e-14 
       2.399766294604e-05      -7.461836400161e-05      -5.596487890963e-05      -5.596488841618e-05      -7.461818712697e-05      -5.744655299617e-05      -5.616421215464e-05      -5.643437474816e-05       6.111606828664e-01       5.974441669702e-01       1.119297768324e-04       1.519035052457e-07       9.999980589720e-01      -1.267033482447e-09       4.203640349114e-09      -2.147323725715e-12      -3.380817966263e-12      -3.035374722297e-15      -3.602779773082e-12      -6.696658396139e-13      -1.200542877743e-13 
       2.512863795730e-05      -8.181724326204e-05      -6.136426204008e-05      -6.136427346941e-05      -8.181703061306e-05      -6.298884225090e-05      -6.158282655415e-05      -6.187905022277e-05       6.111605475796e-01       5.974440736553e-01       1.227285469388e-04       1.665588487395e-07       9.999978717049e-01      -1.389274008536e-09       4.609188760337e-09      -2.354490165804e-12      -4.064632003410e-12      -3.649310467188e-15      -4.331486817065e-12      -8.051145708701e-13      -1.443368009295e-13 
       2.631291417873e-05      -8.971062299710e-05      -6.728456576681e-05      -6.728457950880e-05      -8.971036733566e-05      -6.906583068959e-05      -6.752421766692e-05      -6.784901525083e-05       6.111603928976e-01       5.974439674526e-01       1.345691590176e-04       1.826281092398e-07       9.999976663699e-01      -1.523304994610e-09       5.053861086161e-09      -2.581643146717e-12      -4.886753030859e-12      -4.387763634443e-15      -5.207582922065e-12      -9.679596314410e-13      -1.735307332097e-13 
       2.755300361896e-05      -9.836550026863e-05      -7.377604704338e-05      -7.377606356422e-05      -9.836519289786e-05      -7.572910282649e-05      -7.403881971887e-05      -7.439494813680e-05       6.111602154776e-01       5.974438411166e-01       1.475521271284e-04       2.002476984548e-07       9.999974412286e-01      -1.670268949500e-09       5.541432078722e-09      -2.830710354312e-12      -5.875160075563e-12      -5.274993683961e-15      -6.260879796910e-12      -1.163742444277e-12      -2.086294544804e-13 
       2.885153667396e-05      -1.078553376717e-04      -8.089381381447e-05      -8.089383367658e-05      -1.078549681332e-04      -8.303522195804e-05      -8.118193815190e-05      -8.157241881978e-05       6.111600353945e-01       5.974437159702e-01       1.617876673532e-04       2.195671793530e-07       9.999971943644e-01      -1.831409639434e-09       6.076039999029e-09      -3.103806077022e-12      -7.063484268562e-12      -6.341821695934e-15      -7.527217201424e-12      -1.399124484061e-12      -2.508273165851e-13 
       3.021126770644e-05      -1.182606774917e-04      -8.869828601979e-05      -8.869830989928e-05      -1.182602332097e-04      -9.104620323100e-05      -8.901420803473e-05      -8.944235372829e-05       6.111598277191e-01       5.974435698762e-01       1.773966197986e-04       2.407505623265e-07       9.999969236848e-01      -2.008096631013e-09       6.662221664929e-09      -3.403248434503e-12      -8.492158184054e-12      -7.624480993761e-15      -9.049684590790e-12      -1.682115623722e-12      -3.015601272008e-13 
