# Matter power spectrum P(k) at redshift z=3
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       3.947725145911e+00 
       1.148600363139e-05       4.126243278147e+00 
       1.202732230544e-05       4.312834065359e+00 
       1.259415254264e-05       4.507862389422e+00 
       1.318769666591e-05       4.711709940432e+00 
       1.380921366191e-05       4.924775440864e+00 
       1.446002185152e-05       5.147475759334e+00 
       1.514150168616e-05       5.380246525055e+00 
       1.585509867594e-05       5.623543043501e+00 
       1.660232645574e-05       5.877841361326e+00 
       1.738476999587e-05       6.143638953433e+00 
       1.820408896397e-05       6.421455619653e+00 
       1.906202124544e-05       6.711834947839e+00 
       1.996038662965e-05       7.015344998410e+00 
       2.090109067004e-05       7.332579376774e+00 
       2.188612872600e-05       7.664158673606e+00 
       2.291759019531e-05       8.010731486500e+00 
       2.399766294604e-05       8.372975763633e+00 
       2.512863795730e-05       8.751599998740e+00 
       2.631291417873e-05       9.147344735443e+00 
       2.755300361896e-05       9.560984118581e+00 
       2.885153667396e-05       9.993327076000e+00 
       3.021126770644e-05       1.044521921052e+01 
       3.163508088822e-05       1.091754434796e+01 
       3.312599631796e-05       1.141122616469e+01 
       3.468717642716e-05       1.192723013323e+01 
       3.632193268816e-05       1.246656526026e+01 
       3.803373263815e-05       1.303028629511e+01 
       3.982620723435e-05       1.361949527760e+01 
       4.170315855567e-05       1.423534448292e+01 
       4.366856786754e-05       1.487903794977e+01 
       4.572660406660e-05       1.555183385390e+01 
       4.788163252356e-05       1.625504772282e+01 
       5.013822434270e-05       1.699005387137e+01 
       5.250116605782e-05       1.775828895652e+01 
       5.497546978510e-05       1.856125445062e+01 
       5.756638385449e-05       1.940051941045e+01 
       6.027940394210e-05       2.027772367017e+01 
       6.312028472726e-05       2.119458111570e+01 
       6.609505209902e-05       2.215288252486e+01 
       6.921001593779e-05       2.315449977395e+01 
       7.247178349952e-05       2.420138860380e+01 
       7.588727343051e-05       2.529559316850e+01 
       7.946373044283e-05       2.643924939497e+01 
       8.320874068131e-05       2.763458924666e+01 
       8.713024781476e-05       2.888394502295e+01 
       9.123656988559e-05       3.018975392747e+01 
       9.553641695344e-05       3.155456224817e+01 
       1.000389095704e-04       3.298103082688e+01 
       1.047535981271e-04       3.447193954692e+01 
