# Matter power spectrum P(k) at redshift z=4
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       2.536810385367e+00 
       1.148600363139e-05       2.651526268566e+00 
       1.202732230544e-05       2.771429623637e+00 
       1.259415254264e-05       2.896754996789e+00 
       1.318769666591e-05       3.027747583643e+00 
       1.380921366191e-05       3.164663662022e+00 
       1.446002185152e-05       3.307771056144e+00 
       1.514150168616e-05       3.457349738897e+00 
       1.585509867594e-05       3.613692304401e+00 
       1.660232645574e-05       3.777104634980e+00 
       1.738476999587e-05       3.947906416753e+00 
       1.820408896397e-05       4.126431710991e+00 
       1.906202124544e-05       4.313029793525e+00 
       1.996038662965e-05       4.508065679033e+00 
       2.090109067004e-05       4.711920871920e+00 
       2.188612872600e-05       4.924994173287e+00 
       2.291759019531e-05       5.147702327135e+00 
       2.399766294604e-05       5.380481002060e+00 
       2.512863795730e-05       5.623785503652e+00 
       2.631291417873e-05       5.878091727592e+00 
       2.755300361896e-05       6.143897093871e+00 
       2.885153667396e-05       6.421721479340e+00 
       3.021126770644e-05       6.712108276188e+00 
       3.163508088822e-05       7.015625395120e+00 
       3.312599631796e-05       7.332866448277e+00 
       3.468717642716e-05       7.664451856870e+00 
       3.632193268816e-05       8.011030023960e+00 
       3.803373263815e-05       8.373278742186e+00 
       3.982620723435e-05       8.751906254304e+00 
       4.170315855567e-05       9.147652975549e+00 
       4.366856786754e-05       9.561292677469e+00 
       4.572660406660e-05       9.993633970391e+00 
       4.788163252356e-05       1.044552208224e+01 
       5.013822434270e-05       1.091784040059e+01 
       5.250116605782e-05       1.141151210549e+01 
       5.497546978510e-05       1.192750203713e+01 
       5.756638385449e-05       1.246681856931e+01 
       6.027940394210e-05       1.303051561085e+01 
       6.312028472726e-05       1.361969447459e+01 
       6.609505209902e-05       1.423550619983e+01 
       6.921001593779e-05       1.487915364441e+01 
       7.247178349952e-05       1.555189375846e+01 
       7.588727343051e-05       1.625504029719e+01 
       7.946373044283e-05       1.698996597712e+01 
       8.320874068131e-05       1.775810528285e+01 
       8.713024781476e-05       1.856095718807e+01 
       9.123656988559e-05       1.940008810869e+01 
       9.553641695344e-05       2.027713463666e+01 
       1.000389095704e-04       2.119380697809e+01 
       1.047535981271e-04       2.215189192697e+01 
       1.096904831099e-04       2.315325632840e+01 
       1.148600363139e-04       2.419985074517e+01 
       1.202732230545e-04       2.529371283429e+01 
       1.259415254264e-04       2.643697127676e+01 
       1.318769666591e-04       2.763184980670e+01 
       1.380921366191e-04       2.888067123943e+01 
       1.446002185152e-04       3.018586172642e+01 
       1.514150168616e-04       3.154995538443e+01 
       1.585509867594e-04       3.297559845463e+01 
       1.660232645574e-04       3.446555465418e+01 
       1.738476999587e-04       3.602270952284e+01 
       1.820408896397e-04       3.765007610905e+01 
       1.906202124544e-04       3.935079969533e+01 
       1.996038662965e-04       4.112816370956e+01 
       2.090109067004e-04       4.298559514397e+01 
       2.188612872600e-04       4.492667020577e+01 
       2.291759019531e-04       4.695512066456e+01 
       2.399766294604e-04       4.907483959652e+01 
       2.512863795730e-04       5.128988782549e+01 
       2.631291417873e-04       5.360450035591e+01 
       2.755300361896e-04       5.602309264065e+01 
       2.885153667396e-04       5.855026751904e+01 
       3.021126770644e-04       6.119082209616e+01 
       3.163508088822e-04       6.394975382435e+01 
       3.312599631796e-04       6.683226811249e+01 
       3.468717642716e-04       6.984378474558e+01 
       3.632193268816e-04       7.298994495709e+01 
       3.803373263815e-04       7.627661787881e+01 
       3.982620723435e-04       7.970990724267e+01 
       4.170315855568e-04       8.329615838465e+01 
       4.366856786754e-04       8.704196317598e+01 
       4.572660406660e-04       9.095416805691e+01 
       4.788163252356e-04       9.503987673047e+01 
       5.013822434270e-04       9.930645784488e+01 
       5.250116605782e-04       1.037615479697e+02 
       5.497546978510e-04       1.084130558728e+02 
       5.756638385449e-04       1.132691659765e+02 
       6.027940394210e-04       1.183383395202e+02 
       6.312028472726e-04       1.236293167921e+02 
       6.609505209902e-04       1.291511168423e+02 
       6.921001593779e-04       1.349130353660e+02 
       7.247178349952e-04       1.409246431475e+02 
       7.588727343051e-04       1.471957829951e+02 
       7.946373044283e-04       1.537365603619e+02 
       8.320874068131e-04       1.605573402889e+02 
       8.713024781476e-04       1.676687336835e+02 
       9.123656988559e-04       1.750815869104e+02 
       9.553641695344e-04       1.828069738709e+02 
       1.000389095704e-03       1.908561700936e+02 
       1.047535981271e-03       1.992406405886e+02 
       1.096904831099e-03       2.079720203580e+02 
       1.148600363139e-03       2.170620879033e+02 
       1.202732230545e-03       2.265227391946e+02 
       1.259415254264e-03       2.363659590581e+02 
       1.318769666591e-03       2.466037925670e+02 
       1.380921366191e-03       2.572482955436e+02 
       1.446002185152e-03       2.683115067735e+02 
       1.514150168616e-03       2.798053967942e+02 
       1.585509867594e-03       2.917418034407e+02 
       1.660232645574e-03       3.041323789206e+02 
       1.738476999587e-03       3.169885309778e+02 
       1.820408896397e-03       3.303212892700e+02 
       1.906202124544e-03       3.441412784771e+02 
       1.996038662965e-03       3.584585580201e+02 
       2.090109067004e-03       3.732825172104e+02 
       2.188612872600e-03       3.886217312049e+02 
       2.291759019531e-03       4.044838361273e+02 
       2.399766294604e-03       4.208753348718e+02 
       2.512863795730e-03       4.378014746328e+02 
       2.631291417873e-03       4.552660232842e+02 
       2.755300361896e-03       4.732711851379e+02 
       2.885153667396e-03       4.918173738415e+02 
       3.021126770644e-03       5.109030474107e+02 
       3.163508088822e-03       5.305246064082e+02 
       3.312599631796e-03       5.506761048991e+02 
       3.468717642716e-03       5.713491334773e+02 
       3.632193268816e-03       5.925325909498e+02 
       3.803373263814e-03       6.142124165975e+02 
       3.982620723431e-03       6.363712936729e+02 
       4.170315855554e-03       6.589885849110e+02 
       4.366856786707e-03       6.820400317430e+02 
       4.572660406506e-03       7.054976243647e+02 
       4.788163251864e-03       7.293294060023e+02 
       5.013822432762e-03       7.534994596467e+02 
       5.250116601328e-03       7.779670846796e+02 
       5.497546965834e-03       8.026887457587e+02 
       5.756638350631e-03       8.276137258097e+02 
       6.027940301843e-03       8.526879634269e+02 
       6.312028235853e-03       8.778520601317e+02 
       6.609504622134e-03       9.030414750403e+02 
       6.921000181360e-03       9.281860071456e+02 
       7.247175060160e-03       9.532105827368e+02 
       7.588719909568e-03       9.780334319133e+02 
       7.946356736254e-03       1.002567424760e+03 
       8.320839302068e-03       1.026719381245e+03 
       8.712952702774e-03       1.050390009376e+03 
       9.123511543240e-03       1.073472980091e+03 
       9.553355826116e-03       1.095855460309e+03 
       1.000334327259e-02       1.117416652177e+03 
       1.047433630144e-02       1.138031254377e+03 
       1.096718134364e-02       1.157560663655e+03 
       1.148267766018e-02       1.175862884556e+03 
       1.202153254843e-02       1.192790037956e+03 
       1.258430008717e-02       1.208186348455e+03 
       1.317130184694e-02       1.221896287855e+03 
       1.378253084068e-02       1.233765144692e+03 
       1.441754485614e-02       1.243648312618e+03 
       1.507536209159e-02       1.251415895322e+03 
       1.575437942368e-02       1.256969601071e+03 
       1.645233873034e-02       1.260246039784e+03 
       1.716636530373e-02       1.261231219882e+03 
       1.789309116626e-02       1.259962554443e+03 
       1.862885571852e-02       1.256530333504e+03 
       1.936995326311e-02       1.251072034388e+03 
       2.011288192339e-02       1.243759405933e+03 
       2.085454900126e-02       1.234787491153e+03 
       2.159240335812e-02       1.224365607502e+03 
       2.232448768201e-02       1.212696438177e+03 
       2.304942252117e-02       1.199977581707e+03 
       2.376634395220e-02       1.186391754811e+03 
       2.447481770068e-02       1.172095429903e+03 
       2.517474787071e-02       1.157241207985e+03 
       2.586629197025e-02       1.141946796918e+03 
       2.654978813385e-02       1.126320104989e+03 
       2.722569633342e-02       1.110457742572e+03 
       2.789455293640e-02       1.094434971005e+03 
       2.855693681082e-02       1.078311922826e+03 
       2.921344482475e-02       1.062155933271e+03 
       2.986467467311e-02       1.046008799285e+03 
       3.051121324598e-02       1.029909347934e+03 
       3.115362908813e-02       1.013898743876e+03 
       3.179246781784e-02       9.980060126390e+02 
       3.242824964662e-02       9.822507150129e+02 
       3.306146836151e-02       9.666683339821e+02 
       3.369259130286e-02       9.512768281406e+02 
       3.432206000051e-02       9.360893146491e+02 
       3.495029122750e-02       9.211249961466e+02 
       3.557767830186e-02       9.064015854958e+02 
       3.620459251805e-02       8.919284123117e+02 
       3.683138462739e-02       8.777200846809e+02 
       3.745838631308e-02       8.637866522289e+02 
       3.808591162448e-02       8.501328450944e+02 
       3.871425834856e-02       8.367726490778e+02 
       3.934370930598e-02       8.237114783297e+02 
       3.997453356526e-02       8.109545375219e+02 
       4.060698757339e-02       7.985071950757e+02 
       4.124131620360e-02       7.863767524100e+02 
       4.187775372335e-02       7.745614404394e+02 
       4.251652468637e-02       7.630697248098e+02 
       4.315784475339e-02       7.519010707742e+02 
       4.380192144653e-02       7.410537279112e+02 
       4.444895484213e-02       7.305331514366e+02 
       4.509913820710e-02       7.203324144634e+02 
       4.575265858315e-02       7.104555491152e+02 
       4.640969732355e-02       7.008937306307e+02 
       4.707043058632e-02       6.916504410803e+02 
       4.773502978774e-02       6.827182757788e+02 
