# Matter power spectrum P(k) at redshift z=2
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.096904831099e-05       6.928495647226e+00 
       1.148600363139e-05       7.241805770784e+00 
       1.202732230544e-05       7.569283597481e+00 
       1.259415254264e-05       7.911569816536e+00 
       1.318769666591e-05       8.269334746328e+00 
       1.380921366191e-05       8.643277326176e+00 
       1.446002185152e-05       9.034129644402e+00 
       1.514150168616e-05       9.442656050435e+00 
       1.585509867594e-05       9.869655975961e+00 
       1.660232645574e-05       1.031596464776e+01 
       1.738476999587e-05       1.078245490157e+01 
       1.820408896397e-05       1.127003938816e+01 
       1.906202124544e-05       1.177967241670e+01 
       1.996038662965e-05       1.231235020068e+01 
       2.090109067004e-05       1.286911523005e+01 
       2.188612872600e-05       1.345105595514e+01 
       2.291759019531e-05       1.405931134134e+01 
       2.399766294604e-05       1.469507104223e+01 
       2.512863795730e-05       1.535957824419e+01 
       2.631291417873e-05       1.605413274154e+01 
       2.755300361896e-05       1.678009332511e+01 
       2.885153667396e-05       1.753887956981e+01 
       3.021126770644e-05       1.833197570382e+01 
       3.163508088822e-05       1.916093255557e+01 
       3.312599631796e-05       2.002737129619e+01 
       3.468717642716e-05       2.093298631528e+01 
       3.632193268816e-05       2.187954852400e+01 
       3.803373263815e-05       2.286890820767e+01 
       3.982620723435e-05       2.390300157527e+01 
       4.170315855567e-05       2.498384874025e+01 
       4.366856786754e-05       2.611356314908e+01 
       4.572660406660e-05       2.729435387553e+01 
       4.788163252356e-05       2.852852855396e+01 
       5.013822434270e-05       2.981849948818e+01 
       5.250116605782e-05       3.116678787199e+01 
       5.497546978510e-05       3.257602861632e+01 
       5.756638385449e-05       3.404897514124e+01 
       6.027940394210e-05       3.558850545861e+01 
       6.312028472726e-05       3.719762771126e+01 
       6.609505209902e-05       3.887948343055e+01 
       6.921001593779e-05       4.063735814812e+01 
       7.247178349952e-05       4.247468352281e+01 
       7.588727343051e-05       4.439504690971e+01 
       7.946373044283e-05       4.640219613542e+01 
       8.320874068131e-05       4.850004843741e+01 
       8.713024781476e-05       5.069269550511e+01 
       9.123656988559e-05       5.298441414738e+01 
       9.553641695344e-05       5.537967276584e+01 
       1.000389095704e-04       5.788313959561e+01 
       1.047535981271e-04       6.049969226716e+01 
       1.096904831099e-04       6.323442681291e+01 
       1.148600363139e-04       6.609266718408e+01 
       1.202732230545e-04       6.907997493231e+01 
       1.259415254264e-04       7.220215975090e+01 
       1.318769666591e-04       7.546529021333e+01 
       1.380921366191e-04       7.887570484730e+01 
       1.446002185152e-04       8.244002365926e+01 
       1.514150168616e-04       8.616516046550e+01 
       1.585509867594e-04       9.005833459892e+01 
       1.660232645574e-04       9.412708473584e+01 
       1.738476999587e-04       9.837928143199e+01 
       1.820408896397e-04       1.028231413930e+02 
       1.906202124544e-04       1.074672413709e+02 
       1.996038662965e-04       1.123205332467e+02 
       2.090109067004e-04       1.173923586564e+02 
       2.188612872600e-04       1.226924647907e+02 
       2.291759019531e-04       1.282310204824e+02 
       2.399766294604e-04       1.340186322491e+02 
       2.512863795730e-04       1.400663612179e+02 
       2.631291417873e-04       1.463857401969e+02 
       2.755300361896e-04       1.529887907489e+02 
       2.885153667396e-04       1.598880410862e+02 
       3.021126770644e-04       1.670965442935e+02 
       3.163508088822e-04       1.746278948520e+02 
       3.312599631796e-04       1.824962485070e+02 
       3.468717642716e-04       1.907163389926e+02 
       3.632193268816e-04       1.993034963171e+02 
       3.803373263815e-04       2.082736647549e+02 
       3.982620723435e-04       2.176434191271e+02 
       4.170315855568e-04       2.274299836871e+02 
       4.366856786754e-04       2.376512450317e+02 
       4.572660406660e-04       2.483257732719e+02 
       4.788163252356e-04       2.594728286770e+02 
       5.013822434270e-04       2.711123823774e+02 
       5.250116605782e-04       2.832651244016e+02 
       5.497546978510e-04       2.959524752956e+02 
       5.756638385449e-04       3.091965961186e+02 
