# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       4.537327026525e-05      -3.031419114959e-04      -2.273745831088e-04      -2.273747358966e-04      -3.031391136733e-04      -2.295373032208e-04       6.121761426644e-01       5.968349036648e-01       4.547494717931e-04       6.113346907132e-07       9.999918963174e-01      -5.529227506363e-09      -5.490781180672e-11      -4.837477813832e-14      -5.838734042477e-11      -2.131248255455e-12 
       4.751164661317e-05      -3.323857601870e-04      -2.493111405416e-04      -2.493113242327e-04      -3.323823964975e-04      -2.516824514092e-04       6.121755467630e-01       5.968345079415e-01       4.986226484654e-04       6.703146349645e-07       9.999911145088e-01      -6.062642973797e-09      -6.601333116427e-11      -5.815926285880e-14      -7.019656511695e-11      -2.562308481752e-12 
       4.975080153356e-05      -3.644504439314e-04      -2.733640667319e-04      -2.733642875774e-04      -3.644463999324e-04      -2.759640797162e-04       6.121748833463e-01       5.968340645766e-01       5.467285751549e-04       7.349847672851e-07       9.999902572729e-01      -6.647510409678e-09      -7.936497967752e-11      -6.992235556366e-14      -8.439422471999e-11      -3.080551729625e-12 
       5.209548457420e-05      -3.996080112812e-04      -2.997375482647e-04      -2.997378137788e-04      -3.996031493773e-04      -3.025883124728e-04       6.121741685415e-01       5.968335904395e-01       5.994756275575e-04       8.058940123312e-07       9.999893173408e-01      -7.288799471028e-09      -9.541703391340e-11      -8.406531773256e-14      -1.014633853454e-10      -3.703610940209e-12 
       5.455066912219e-05      -4.381567144096e-04      -3.286554548081e-04      -3.286557740261e-04      -4.381508691920e-04      -3.317811433657e-04       6.121733809175e-01       5.968330662723e-01       6.573115480521e-04       8.836443090023e-07       9.999882867254e-01      -7.991946121130e-09      -1.147156453849e-10      -1.010690078752e-13      -1.219847732000e-10      -4.452684408026e-12 
       5.712156295313e-05      -4.804235646075e-04      -3.603632618681e-04      -3.603636456535e-04      -4.804165371733e-04      -3.637903762801e-04       6.121725168050e-01       5.968324913629e-01       7.207272913070e-04       9.688956317161e-07       9.999871566826e-01      -8.762920756885e-09      -1.379173852565e-10      -1.215116018577e-13      -1.466566038125e-10      -5.353257489161e-12 
       5.981361927751e-05      -5.267670843641e-04      -3.951301222825e-04      -3.951305836916e-04      -5.267586356878e-04      -3.988877162553e-04       6.121715631444e-01       5.968318562206e-01       7.902611673831e-04       1.062371637754e-06       9.999859176281e-01      -9.608257163597e-09      -1.658116623794e-10      -1.460883459419e-13      -1.763181689807e-10      -6.435968877010e-12 
       6.263254830773e-05      -5.775803557674e-04      -4.332511613172e-04      -4.332517160534e-04      -5.775701983986e-04      -4.373710861368e-04       6.121705215723e-01       5.968311635486e-01       8.665034321069e-04       1.164865767015e-06       9.999845590355e-01      -1.053512992465e-08      -1.993474719384e-10      -1.756351009330e-13      -2.119786506328e-10      -7.737654554111e-12 
       6.558432937020e-05      -6.332943285179e-04      -4.750499684221e-04      -4.750506353628e-04      -6.332821168768e-04      -4.795671416729e-04       6.121693832279e-01       5.968304060626e-01       9.501012707257e-04       1.277248026034e-06       9.999830693874e-01      -1.155140798353e-08      -2.396657555959e-10      -2.111619431886e-13      -2.548512470839e-10      -9.302600235144e-12 
       6.867522358831e-05      -6.943814679355e-04      -5.208813460420e-04      -5.208821478813e-04      -6.943667865842e-04      -5.258340460628e-04       6.121681282601e-01       5.968295691015e-01       1.041764295763e-03       1.400472360822e-06       9.999814360281e-01      -1.266570919432e-08      -2.881381563956e-10      -2.538722364772e-13      -3.063944505610e-10      -1.118404438620e-11 
       7.191178716309e-05      -7.613597743012e-04      -5.711343396150e-04      -5.711353036181e-04      -7.613421238443e-04      -5.765645282576e-04       6.121667612507e-01       5.968286575583e-01       1.142270607236e-03       1.535584679066e-06       9.999796451043e-01      -1.388748194328e-08      -3.464138140655e-10      -3.052120679548e-13      -3.683617316176e-10      -1.344599464899e-11 
       7.530088527984e-05      -8.347971189233e-04      -6.262355077575e-04      -6.262366667642e-04      -8.347758989177e-04      -6.321891837368e-04       6.121652506781e-01       5.968276547242e-01       1.252473333528e-03       1.683731846525e-06       9.999776814178e-01      -1.522708215230e-08      -4.164748614226e-10      -3.669554977939e-13      -4.428608088064e-10      -1.616539139573e-11 
       7.884970667002e-05      -9.153160671750e-04      -6.866525626876e-04      -6.866539561252e-04      -9.152905556616e-04      -6.931801486554e-04       6.121635997426e-01       5.968265535338e-01       1.373307912250e-03       1.846171339366e-06       9.999755282986e-01      -1.669588566414e-08      -5.007050012901e-10      -4.411768986394e-13      -5.324264040691e-10      -1.943475362025e-11 
       8.256577885962e-05      -1.003599138439e-03      -7.528983412547e-04      -7.529000165187e-04      -1.003568467965e-03      -7.600551079217e-04       6.121617872397e-01       5.968253448592e-01       1.505800033037e-03       2.024281905613e-06       9.999731674626e-01      -1.830633755023e-08      -6.019695578314e-10      -5.303998315015e-13      -6.401045983190e-10      -2.336528615282e-11 
       8.645698413597e-05      -1.100394562441e-03      -8.255351542297e-04      -8.255371683545e-04      -1.100357689278e-03      -8.333816848089e-04       6.121598045146e-01       5.968240274171e-01       1.651074336709e-03       2.219575272015e-06       9.999705789136e-01      -2.007209827721e-08      -7.237125792933e-10      -6.376887630914e-13      -7.695585719972e-10      -2.809068792947e-11 
       9.053157626715e-05      -1.206522559244e-03      -9.051795361072e-04      -9.051819576160e-04      -1.206478229341e-03      -9.137822345375e-04       6.121576299355e-01       5.968225794883e-01       1.810363915232e-03       2.433709053971e-06       9.999677406438e-01      -2.200813940336e-08      -8.700757226699e-10      -7.666700088739e-13      -9.251911554485e-10      -3.377169418161e-11 
       9.479819800938e-05      -1.322882295646e-03      -9.925075078738e-04      -9.925104191610e-04      -1.322829001252e-03      -1.001939155715e-03       6.121552453276e-01       5.968209915360e-01       1.985020838322e-03       2.668500695613e-06       9.999646286178e-01      -2.413085506590e-08      -1.046037171435e-09      -9.217355455088e-13      -1.112295738132e-09      -4.060153000629e-11 
       9.926589943941e-05      -1.450459437932e-03      -1.088260298437e-03      -1.088263798513e-03      -1.450395366945e-03      -1.098600664243e-03       6.121526358397e-01       5.968192516574e-01       2.176527597026e-03       2.925942942294e-06       9.999612163663e-01      -2.645827039613e-08      -1.257582380537e-09      -1.108135847764e-12      -1.337235755934e-09      -4.881249707324e-11 
       1.039441571510e-04      -1.590334442877e-03      -1.193250628113e-03      -1.193254836187e-03      -1.590257415574e-03      -1.204587134650e-03       6.121497632490e-01       5.968173417826e-01       2.386509672375e-03       3.208220764195e-06       9.999574750042e-01      -2.901007404151e-08      -1.511904295850e-09      -1.332299974601e-12      -1.607660882831e-09      -5.868381753794e-11 
       1.088428943559e-04      -1.743691658213e-03      -1.308369618782e-03      -1.308374677981e-03      -1.743599055475e-03      -1.320798072766e-03       6.121466199394e-01       5.968152491122e-01       2.616749355962e-03       3.517729830252e-06       9.999533727519e-01      -3.180789868060e-08      -1.817653989025e-09      -1.601765499690e-12      -1.932767631687e-09      -7.055122714107e-11 
       1.139725019325e-04      -1.911829253380e-03      -1.434594335495e-03      -1.434600417903e-03      -1.911717926521e-03      -1.448219726394e-03       6.121431719713e-01       5.968129532254e-01       2.869200835805e-03       3.857096894108e-06       9.999488748151e-01      -3.487545021579e-08      -2.185228679908e-09      -1.925710494184e-12      -2.323610860461e-09      -8.481827759412e-11 
       1.193438604663e-04      -2.096170133200e-03      -1.572996089611e-03      -1.573003402299e-03      -2.096036296321e-03      -1.587933463565e-03       6.121393918316e-01       5.968104360461e-01       3.146006804599e-03       4.229202011856e-06       9.999439430640e-01      -3.823871890228e-08      -2.627127369618e-09      -2.315211108284e-12      -2.793480394922e-09      -1.019701081661e-10 
       1.249683633289e-04      -2.298273867006e-03      -1.724749527938e-03      -1.724758319628e-03      -2.298112971986e-03      -1.741124943049e-03       6.121352454771e-01       5.968076768565e-01       3.449516639256e-03       4.637202954599e-06       9.999385356293e-01      -4.192615413960e-08      -3.158376917188e-09      -2.783455873863e-12      -3.358349029874e-09      -1.225898811838e-10 
