# Matter power spectrum P(k) at redshift z=99
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039438893066e-05       4.240133428753e-03 
       1.088426138884e-05       4.436489971195e-03 
       1.139722082470e-05       4.641939617992e-03 
       1.193435529399e-05       4.856902980366e-03 
       1.249680413092e-05       5.081821458103e-03 
       1.308576036488e-05       5.317155690530e-03 
       1.370247325102e-05       5.563387914672e-03 
       1.434825092005e-05       5.821022941237e-03 
       1.502446315298e-05       6.090588660602e-03 
       1.573254428662e-05       6.372637677985e-03 
       1.647399625600e-05       6.667748018024e-03 
       1.725039178014e-05       6.976524539892e-03 
       1.806337769805e-05       7.299600058834e-03 
       1.891467846185e-05       7.637636754224e-03 
       1.980609979461e-05       7.991328665306e-03 
       2.073953252048e-05       8.361398324395e-03 
       2.171695657542e-05       8.748605349630e-03 
       2.274044520691e-05       9.153743388084e-03 
       2.381216937154e-05       9.577642647244e-03 
       2.493440233996e-05       1.002117234290e-02 
       2.610952451876e-05       1.048524020848e-02 
       2.734002849963e-05       1.097079873689e-02 
       2.862852434649e-05       1.147884247515e-02 
       2.997774513178e-05       1.201041267528e-02 
       3.139055273368e-05       1.256659873148e-02 
       3.286994390653e-05       1.314854047743e-02 
       3.441905663736e-05       1.375743084726e-02 
       3.604117680196e-05       1.439451729140e-02 
       3.773974513469e-05       1.506110521236e-02 
       3.951836452669e-05       1.575856087922e-02 
       4.138080766818e-05       1.648831301019e-02 
       4.333102505076e-05       1.725185804920e-02 
       4.537315334696e-05       1.805075987971e-02 
       4.751152418469e-05       1.888665624302e-02 
       4.975067333520e-05       1.976125895831e-02 
       5.209535033404e-05       2.067636140536e-02 
       5.455052855549e-05       2.163383763215e-02 
       5.712141576172e-05       2.263564966164e-02 
       5.981346514918e-05       2.368384982979e-02 
       6.263238691556e-05       2.478058603036e-02 
       6.558416037185e-05       2.592810517956e-02 
       6.867504662531e-05       2.712875721668e-02 
       7.191160186009e-05       2.838500289646e-02 
       7.530069124377e-05       2.969941513473e-02 
       7.884950348932e-05       3.107468535493e-02 
       8.256556610330e-05       3.251363109461e-02 
       8.645676135275e-05       3.401919975449e-02 
       9.053134298449e-05       3.559447376454e-02 
       9.479795373245e-05       3.724267887905e-02 
       9.926564365005e-05       3.896718961722e-02 
       1.039438893066e-04       4.077153741701e-02 
       1.088426138884e-04       4.265941496737e-02 
       1.139722082470e-04       4.463468643625e-02 
       1.193435529399e-04       4.670139507399e-02 
       1.249680413092e-04       4.886376862741e-02 
       1.308576036488e-04       5.112623287266e-02 
       1.370247325102e-04       5.349341440185e-02 
       1.434825092005e-04       5.597015509392e-02 
       1.502446315298e-04       5.856151898631e-02 
       1.573254428662e-04       6.127280346899e-02 
       1.647399625600e-04       6.410955005835e-02 
       1.725039178014e-04       6.707755491567e-02 
       1.806337769805e-04       7.018288000032e-02 
       1.891467846185e-04       7.343186622985e-02 
       1.980609979461e-04       7.683114545598e-02 
       2.073953252048e-04       8.038765327316e-02 
       2.171695657542e-04       8.410864255892e-02 
       2.274044520691e-04       8.800169890513e-02 
       2.381216937154e-04       9.207475396198e-02 
       2.493440233996e-04       9.633610110365e-02 
       2.610952451876e-04       1.007944120365e-01 
       2.734002849963e-04       1.054587524755e-01 
       2.862852434649e-04       1.103386001125e-01 
       2.997774513178e-04       1.154438627378e-01 
       3.139055273368e-04       1.207848958652e-01 
       3.286994390653e-04       1.263725212244e-01 
       3.441905663736e-04       1.322180485512e-01 
       3.604117680196e-04       1.383332970154e-01 
       3.773974513469e-04       1.447306112611e-01 
       3.951836452669e-04       1.514228888676e-01 
       4.138080766818e-04       1.584235996815e-01 
       4.333102505076e-04       1.657468095832e-01 
       4.537315334696e-04       1.734072037752e-01 
       4.751152418469e-04       1.814201105677e-01 
       4.975067333520e-04       1.898015289417e-01 
       5.209535033404e-04       1.985681458659e-01 
       5.455052855549e-04       2.077373704105e-01 
       5.712141576172e-04       2.173273536861e-01 
       5.981346514918e-04       2.273570138656e-01 
       6.263238691556e-04       2.378460646969e-01 
       6.558416037185e-04       2.488150357191e-01 
       6.867504662531e-04       2.602853009011e-01 
       7.191160186009e-04       2.722790997223e-01 
       7.530069124377e-04       2.848195604085e-01 
       7.884950348932e-04       2.979307154522e-01 
       8.256556610330e-04       3.116375305494e-01 
       8.645676135275e-04       3.259659136187e-01 
       9.053134298449e-04       3.409427254025e-01 
       9.479795373245e-04       3.565957984906e-01 
       9.926564365005e-04       3.729539342357e-01 
       1.039438893066e-03       3.900469059577e-01 
       1.088426138884e-03       4.079054558925e-01 
       1.139722082470e-03       4.265612751070e-01 
       1.193435529399e-03       4.460469863212e-01 
       1.249680413092e-03       4.663961109980e-01 
       1.308576036488e-03       4.876430290901e-01 
       1.370247325102e-03       5.098229118349e-01 
       1.434825092005e-03       5.329716655418e-01 
       1.502446315298e-03       5.571258312915e-01 
       1.573254428662e-03       5.823224802482e-01 
       1.647399625600e-03       6.085990848245e-01 
