# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -4.167400437112e-04      -3.126017291471e-04      -3.126017346525e-04      -4.167387292071e-04      -3.126086877004e-04      -3.127239399987e-04       5.968784873364e-01       5.961528398067e-01       6.252034693049e-04       1.576066772871e-07       9.999987073325e-01      -7.233664498049e-11       2.230910431633e-10      -2.091948504604e-14      -2.370318442252e-11      -2.872643737022e-15      -2.437745072069e-11      -3.795548895114e-14 
       1.088426138884e-05      -4.569397408218e-04      -3.427609466174e-04      -3.427609532361e-04      -4.569381604739e-04      -3.427685768730e-04      -3.428949408332e-04       5.968784048580e-01       5.961527725263e-01       6.855219064722e-04       1.728122621907e-07       9.999985826209e-01      -7.931503851761e-11       2.446102106962e-10      -2.293750161191e-14      -2.849720468801e-11      -3.453615398848e-15      -2.930783301701e-11      -4.563205815152e-14 
       1.139722082470e-05      -5.010164888213e-04      -3.758298624183e-04      -3.758298703759e-04      -5.010145888294e-04      -3.758382294347e-04      -3.759767753554e-04       5.968783115434e-01       5.961526960794e-01       7.516597407518e-04       1.894848511732e-07       9.999984458786e-01      -8.696673297250e-11       2.682046147375e-10      -2.515016428224e-14      -3.426077433145e-11      -4.152167538633e-15      -3.523535790986e-11      -5.486117035646e-14 
       1.193435529399e-05      -5.493440680515e-04      -4.120891981563e-04      -4.120892077233e-04      -5.493417837768e-04      -4.120983730676e-04      -4.122502744096e-04       5.968782079144e-01       5.961526108654e-01       8.241784154467e-04       2.077659768200e-07       9.999982959454e-01      -9.535501861778e-11       2.940743370428e-10      -2.757623702367e-14      -4.118999024632e-11      -4.991976455510e-15      -4.236168053565e-11      -6.595680520934e-14 
       1.249680413092e-05      -6.023322673123e-04      -4.518467599077e-04      -4.518467714097e-04      -6.023295210706e-04      -4.518568207579e-04      -4.520233637893e-04       5.968780958410e-01       5.961525189165e-01       9.036935428193e-04       2.278108253922e-07       9.999981315486e-01      -1.045527033527e-10       3.224386878057e-10      -3.023629672952e-14      -4.952058186971e-11      -6.001620864397e-15      -5.092923443028e-11      -7.929643294701e-14 
       1.308576036488e-05      -6.604303445604e-04      -4.954400494711e-04      -4.954400632994e-04      -6.604270429091e-04      -4.954510818083e-04      -4.956336764874e-04       5.968779754775e-01       5.961524206121e-01       9.908801265989e-04       2.497895554410e-07       9.999979512901e-01      -1.146384911251e-10       3.535380837494e-10      -3.315290407655e-14      -5.953593927662e-11      -7.215409944276e-15      -6.122947401767e-11      -9.533383694658e-14 
       1.370247325102e-05      -7.241308113839e-04      -5.432391218538e-04      -5.432391384790e-04      -7.241268419980e-04      -5.432512197321e-04      -5.434514112721e-04       5.968778384791e-01       5.961523078589e-01       1.086478276958e-03       2.738887476444e-07       9.999977536418e-01      -1.256960936462e-10       3.876360762570e-10      -3.635079313308e-14      -7.157675656239e-11      -8.674779863933e-15      -7.361278802732e-11      -1.146145902159e-13 
       1.434825092005e-05      -7.939736195144e-04      -5.956497478854e-04      -5.956497678730e-04      -7.939688473555e-04      -5.956630142205e-04      -5.958824965042e-04       5.968776916656e-01       5.961521875833e-01       1.191299535746e-03       3.003129730107e-07       9.999975369263e-01      -1.378212607371e-10       4.250216261315e-10      -3.985707766660e-14      -8.605263272821e-11      -1.042921597468e-14      -8.850041489053e-11      -1.377945436235e-13 
       1.502446315298e-05      -8.705506864336e-04      -6.531168359247e-04      -6.531168599550e-04      -8.705449491481e-04      -6.531313837390e-04      -6.533720131419e-04       5.968775310471e-01       5.961520561015e-01       1.306233719910e-03       3.292865460947e-07       9.999972993045e-01      -1.511145536929e-10       4.660114506762e-10      -4.370148687964e-14      -1.034559559699e-10      -1.253849055464e-14      -1.063987630792e-10      -1.656621746084e-13 
       1.573254428662e-05      -9.545108987538e-04      -7.161282173980e-04      -7.161282462882e-04      -9.545040012116e-04      -7.161441705691e-04      -7.164079817100e-04       5.968773532266e-01       5.961519101690e-01       1.432256492576e-03       3.610554224944e-07       9.999970387565e-01      -1.656907896308e-10       5.109527832598e-10      -4.791660745003e-14      -1.243787156417e-10      -1.507426738678e-14      -1.279166280937e-10      -1.991653905777e-13 
       1.647399625600e-05      -1.046565587387e-03      -7.852187927973e-04      -7.852188275302e-04      -1.046557294991e-03      -7.852362872544e-04      -7.855255098631e-04       5.968771585253e-01       5.961517503887e-01       1.570437655060e-03       3.958892832164e-07       9.999967530771e-01      -1.816722056741e-10       5.602262252770e-10      -5.253816711480e-14      -1.495325657191e-10      -1.812281790504e-14      -1.537858967012e-10      -2.394437472651e-13 
