# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -3.342272666893e-04      -2.507004147528e-04      -2.507004180070e-04      -3.342265752951e-04      -2.507071850977e-04      -2.508229051197e-04       5.988548088322e-01       5.979469677225e-01       5.014008360140e-04       1.415265690151e-07       9.999987706484e-01      -8.094472421693e-11       2.477954593634e-10      -2.506467138910e-14      -1.698985224691e-11      -2.521102461136e-15      -1.744692119021e-11      -3.396440537104e-14 
       1.088426138884e-05      -3.664686504441e-04      -2.748875131772e-04      -2.748875170896e-04      -3.664678192225e-04      -2.748949368250e-04      -2.750218152296e-04       5.988547292272e-01       5.979469032468e-01       5.497750341791e-04       1.551807776139e-07       9.999986520450e-01      -8.875322950003e-11       2.716985503200e-10      -2.748262363047e-14      -2.042613162283e-11      -3.030959110519e-15      -2.097563632184e-11      -4.083385527622e-14 
       1.139722082470e-05      -4.018197622633e-04      -3.014081334170e-04      -3.014081381208e-04      -4.018187629147e-04      -3.014162736438e-04      -3.015553855185e-04       5.988546405613e-01       5.979468314629e-01       6.028162762415e-04       1.701523162570e-07       9.999985219999e-01      -9.731506485264e-11       2.979069638667e-10      -3.013381214826e-14      -2.455738144083e-11      -3.644018799483e-15      -2.521802886112e-11      -4.909264079833e-14 
       1.193435529399e-05      -4.405804486437e-04      -3.304874082696e-04      -3.304874139248e-04      -4.405792471666e-04      -3.304963342709e-04      -3.306488583671e-04       5.988545420896e-01       5.979467514946e-01       6.609748278496e-04       1.865682778891e-07       9.999983794094e-01      -1.067027312926e-10       3.266429937669e-10      -3.304072456313e-14      -2.952416268696e-11      -4.381074622587e-15      -3.031843243570e-11      -5.902174022314e-14 
       1.249680413092e-05      -4.830794514516e-04      -3.623721922016e-04      -3.623721990006e-04      -4.830780069902e-04      -3.623819797191e-04      -3.625492083487e-04       5.988544356035e-01       5.979466650652e-01       7.247443980011e-04       2.045680157661e-07       9.999982230640e-01      -1.169959967554e-10       3.581503527807e-10      -3.622801594783e-14      -3.549546831090e-11      -5.267128074368e-15      -3.645036913603e-11      -7.095896165790e-14 
       1.308576036488e-05      -5.296771833477e-04      -3.973331530101e-04      -3.973331611841e-04      -5.296754467513e-04      -3.973438852544e-04      -3.975272348947e-04       5.988543181076e-01       5.979465696096e-01       7.946663223682e-04       2.243043295751e-07       9.999980516333e-01      -1.282813791720e-10       3.926961471127e-10      -3.972272805966e-14      -4.267443001829e-11      -6.332385521671e-15      -4.382244912847e-11      -8.531040666799e-14 
       1.370247325102e-05      -5.807687793413e-04      -4.356670727460e-04      -4.356670825733e-04      -5.807666915249e-04      -4.356788410772e-04      -4.358798643196e-04       5.988541886375e-01       5.979464644253e-01       8.713341651467e-04       2.459447597662e-07       9.999978636643e-01      -1.406565701227e-10       4.305732334574e-10      -4.355450553102e-14      -5.130526676445e-11      -7.613157039302e-15      -5.268546903450e-11      -1.025643103473e-13 
       1.434825092005e-05      -6.367874361735e-04      -4.776993668786e-04      -4.776993786935e-04      -6.367849261088e-04      -4.777122713326e-04      -4.779326701884e-04       5.988540471160e-01       5.979463494821e-01       9.553987573871e-04       2.696730098457e-07       9.999976575616e-01      -1.542245991765e-10       4.721027170480e-10      -4.775584321944e-14      -6.168160315142e-11      -9.152928253066e-15      -6.334093887947e-11      -1.233076332014e-13 
       1.502446315298e-05      -6.982080703642e-04      -5.237868454329e-04      -5.237868596375e-04      -6.982050526466e-04      -5.238009957494e-04      -5.240426357720e-04       5.988538925056e-01       5.979462240058e-01       1.047573719275e-03       2.956905067937e-07       9.999974315761e-01      -1.691000229411e-10       5.176365778634e-10      -5.236237209768e-14      -7.415641910866e-11      -1.100409287244e-14      -7.615133639339e-11      -1.482460210066e-13 
       1.573254428662e-05      -7.655513264686e-04      -5.743207404188e-04      -5.743207574961e-04      -7.655476984776e-04      -5.743362569263e-04      -5.746011829152e-04       5.988537217561e-01       5.979460851517e-01       1.148641514992e-03       3.242181120642e-07       9.999971837867e-01      -1.854116518253e-10       5.675606938141e-10      -5.741315289448e-14      -8.915408326359e-11      -1.322959733876e-14      -9.155243162830e-11      -1.782278128290e-13 
       1.647399625600e-05      -8.393879778736e-04      -6.297300317878e-04      -6.297300523189e-04      -8.393836161952e-04      -6.297470464898e-04      -6.300374995729e-04       5.988535351356e-01       5.979459334931e-01       1.259460104638e-03       3.554979922419e-07       9.999969120963e-01      -2.032962083329e-10       6.222980591590e-10      -6.295101200219e-14      -1.071847509840e-10      -1.590516370284e-14      -1.100681097629e-10      -2.142728677220e-13 
       1.725039178014e-05      -9.203437319412e-04      -6.904850819169e-04      -6.904851066007e-04      -9.203384881357e-04      -6.905037400182e-04      -6.908221760119e-04       5.988533288669e-01       5.979457658067e-01       1.380970213201e-03       3.897956804897e-07       9.999966141962e-01      -2.229060865569e-10       6.823122866578e-10      -6.902290998643e-14      -1.288616701414e-10      -1.912223440169e-14      -1.323281754303e-10      -2.576072456360e-13 
       1.806337769805e-05      -1.009104517151e-03      -7.571016379140e-04      -7.571016675902e-04      -1.009098212863e-03      -7.571220980028e-04      -7.574712090032e-04       5.988531043249e-01       5.979455833992e-01       1.514203335180e-03       4.274023224781e-07       9.999962875579e-01      -2.444060082565e-10       7.481117936931e-10      -7.568030209085e-14      -1.549222375534e-10      -2.298963063845e-14      -1.590897699562e-10      -3.097049075873e-13 
       1.891467846185e-05      -1.106422250638e-03      -8.301452013454e-04      -8.301452370234e-04      -1.106414671479e-03      -8.301676373815e-04      -8.305503736039e-04       5.988528599369e-01       5.979453851122e-01       1.660290474047e-03       4.686371545514e-07       9.999959294097e-01      -2.679785386275e-10       8.202537439301e-10      -8.297961581593e-14      -1.862528336097e-10      -2.763881337627e-14      -1.912631096997e-10      -3.723377975201e-13 
       1.980609979461e-05      -1.213121162885e-03      -9.102358249385e-04      -9.102358678316e-04      -1.213112051106e-03      -9.102604280031e-04      -9.106800221033e-04       5.988525899530e-01       5.979451656424e-01       1.820471735663e-03       5.138502165106e-07       9.999955367132e-01      -2.938244598183e-10       8.993488498552e-10      -9.098270984129e-14      -2.239190235262e-10      -3.322816216309e-14      -2.299424241422e-10      -4.476361259470e-13 
       2.073953252048e-05      -1.330104750787e-03      -9.980533912267e-04      -9.980534427950e-04      -1.330093796389e-03      -9.980803711631e-04      -9.985403651311e-04       5.988522951136e-01       5.979449263257e-01       1.996106885590e-03       5.634253098744e-07       9.999951061340e-01      -3.221612020097e-10       9.860664537178e-10      -9.975740527868e-14      -2.692017214894e-10      -3.994813185220e-14      -2.764431480477e-10      -5.381606762860e-13 
       2.171695657542e-05      -1.458363346431e-03      -1.094343366268e-03      -1.094343428266e-03      -1.458350176882e-03      -1.094372953002e-03      -1.094877228039e-03       5.988519707581e-01       5.979446628265e-01       2.188686856531e-03       6.177832702172e-07       9.999946340200e-01      -3.532316617638e-10       1.081140324586e-09      -1.093780283134e-13      -3.236409156596e-10      -4.802695860943e-14      -3.323466260678e-10      -6.469899353906e-13 
       2.274044520691e-05      -1.598982449166e-03      -1.199923140654e-03      -1.199923215190e-03      -1.598966616458e-03      -1.199955586890e-03      -1.200508394840e-03       5.988516152709e-01       5.979443742022e-01       2.399846430380e-03       6.773855281370e-07       9.999941163665e-01      -3.872981633444e-10       1.185374531061e-09      -1.199260757306e-13      -3.890876985060e-10      -5.774021765571e-14      -3.995538459157e-10      -7.778246391229e-13 
       2.381216937154e-05      -1.753151815274e-03      -1.315688958225e-03      -1.315689047836e-03      -1.753132781010e-03      -1.315724540617e-03      -1.316330540103e-03       5.988512246097e-01       5.979440567683e-01       2.631378095673e-03       7.427380337024e-07       9.999935487783e-01      -4.246469737075e-10       1.299650504799e-09      -1.314908529424e-13      -4.677675682085e-10      -6.941736303035e-14      -4.803500211860e-10      -9.351135317199e-13 
       2.493440233996e-05      -1.922175439848e-03      -1.442623535670e-03      -1.442623643405e-03      -1.922152556856e-03      -1.442662557480e-03      -1.443326852020e-03       5.988507981147e-01       5.979437104471e-01       2.885247286809e-03       8.143955407431e-07       9.999929264412e-01      -4.655953255601e-10       1.424934143686e-09      -1.441702622707e-13      -5.623557490772e-10      -8.345482396970e-14      -5.774822312528e-10      -1.124204475362e-12 
       2.610952451876e-05      -2.107482435553e-03      -1.581804382144e-03      -1.581804511664e-03      -2.107454925993e-03      -1.581847176258e-03      -1.582575355794e-03       5.988503288415e-01       5.979433289870e-01       3.163609023328e-03       8.929663336229e-07       9.999922440761e-01      -5.104881894451e-10       1.562283899482e-09      -1.580716156291e-13      -6.760680498284e-10      -1.003299487355e-13      -6.942527118951e-10      -1.351526148117e-12 
