# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.647403870647e-05      -3.996483295115e-05      -2.997394004150e-05      -2.997394268403e-05      -3.996478284332e-05      -3.025911182238e-05       6.121930413289e-01       5.968440503600e-01       5.994788536806e-05       8.059021431112e-08       9.999989252636e-01      -7.293190387849e-10      -9.540524486793e-13      -8.391990329157e-16      -1.016265094806e-12      -3.705840926766e-14 
       1.725043623124e-05      -4.382052034413e-05      -3.286576936572e-05      -3.286577254274e-05      -4.382046010134e-05      -3.317845288024e-05       6.121929619092e-01       5.968439973133e-01       6.573154508548e-05       8.836540375795e-08       9.999988215754e-01      -7.996817740054e-10      -1.147022461124e-12      -1.008937601681e-15      -1.221818344104e-12      -4.455397192607e-14 
       1.806342424406e-05      -4.804818796268e-05      -3.603659675940e-05      -3.603660057900e-05      -4.804811553500e-05      -3.637944606300e-05       6.121928760156e-01       5.968439402456e-01       7.207320115800e-05       9.689072736784e-08       9.999987078836e-01      -8.768327258121e-10      -1.379023183618e-12      -1.213006328318e-15      -1.468947382213e-12      -5.356560924635e-14 
       1.891472720151e-05      -5.268372171264e-05      -3.951333926115e-05      -3.951334385330e-05      -5.268363463557e-05      -3.988926442079e-05       6.121927808602e-01       5.968438769557e-01       7.902668770660e-05       1.062385567351e-07       9.999985832230e-01      -9.614268556481e-10      -1.657949019510e-12      -1.458351567775e-15      -1.766061359415e-12      -6.439996454179e-14 
       1.980615083129e-05      -5.776646936335e-05      -4.332551083484e-05      -4.332551635588e-05      -5.776636467378e-05      -4.373770261966e-05       6.121926760249e-01       5.968438067721e-01       8.665103271176e-05       1.164882455113e-07       9.999984465355e-01      -1.054182655026e-09      -1.993291132503e-12      -1.753339171435e-15      -2.123270369607e-12      -7.742570753140e-14 
       2.073958596245e-05      -6.333957568763e-05      -4.750547383185e-05      -4.750548046957e-05      -6.333944982335e-05      -4.795743079249e-05       6.121925711171e-01       5.968437402514e-01       9.501096093915e-05       1.277267994589e-07       9.999982966603e-01      -1.155888445559e-09      -2.396460426098e-12      -2.107991282571e-15      -2.552729265183e-12      -9.308606924360e-14 
       2.171701253604e-05      -6.945034309771e-05      -5.208870959560e-05      -5.208871757584e-05      -6.945019177591e-05      -5.258426771435e-05       6.121924359458e-01       5.968436465998e-01       1.041774351517e-04       1.400496309154e-07       9.999981323266e-01      -1.267402806014e-09      -2.881175797311e-12      -2.534321114714e-15      -3.069051502486e-12      -1.119139262190e-13 
       2.274050380486e-05      -7.615064401375e-05      -5.711412789254e-05      -5.711413748690e-05      -7.615046208543e-05      -5.765749317210e-05       6.121923055009e-01       5.968435616163e-01       1.142282749738e-04       1.535613368973e-07       9.999979521374e-01      -1.389678068257e-09      -3.463930823794e-12      -3.046944410749e-15      -3.689805926138e-12      -1.345499533767e-13 
       2.381223073113e-05      -8.349734911381e-05      -6.262438828541e-05      -6.262439982030e-05      -8.349713038851e-05      -6.322017238920e-05       6.121921626456e-01       5.968434694604e-01       1.252487996406e-04       1.683766214597e-07       9.999977545639e-01      -1.523750131794e-09      -4.164554884200e-12      -3.663244781356e-15      -4.436115152803e-12      -1.617643803812e-13 
       2.493446659134e-05      -9.155281434458e-05      -6.866626561141e-05      -6.866627948024e-05      -9.155255137792e-05      -6.931952497476e-05       6.121919925379e-01       5.968433562033e-01       1.373325589605e-04       1.846212564417e-07       9.999975379284e-01      -1.670755157934e-09      -5.006886606540e-12      -4.404464726710e-15      -5.333373573300e-12      -1.944832358539e-13 
