# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -2.613525516203e-04      -1.960326939251e-04      -1.960326953905e-04      -2.613522512052e-04      -1.961552866038e-04       6.000831049920e-01       5.989200938217e-01       3.920653907811e-04       1.253829786123e-07       9.999988434931e-01      -9.141985015807e-11      -1.176485494438e-11      -1.755343508170e-15      -1.201428215177e-11      -2.995235855321e-14 
       1.088428943559e-05      -2.865647705389e-04      -2.149455554574e-04      -2.149455572192e-04      -2.865644093652e-04      -2.150799709117e-04       6.000830270923e-01       5.989200312301e-01       4.298911144384e-04       1.374796867881e-07       9.999987319186e-01      -1.002391826245e-10      -1.414437439734e-11      -2.110382125425e-15      -1.444424974897e-11      -3.601042165911e-14 
       1.139725019325e-05      -3.142088926168e-04      -2.356830921680e-04      -2.356830942862e-04      -3.142084583936e-04      -2.358304700786e-04       6.000829423408e-01       5.989199631665e-01       4.713661885724e-04       1.507434601577e-07       9.999986095788e-01      -1.099092949423e-10      -1.700515862101e-11      -2.537205974484e-15      -1.736568318602e-11      -4.329374007101e-14 
       1.193438604663e-05      -3.445194368364e-04      -2.584213445435e-04      -2.584213470901e-04      -3.445189147931e-04      -2.585829343511e-04       6.000828498314e-01       5.989198890737e-01       5.168426941803e-04       1.652868945158e-07       9.999984754355e-01      -1.205122085279e-10      -2.044453700468e-11      -3.050393561025e-15      -2.087797877041e-11      -5.205011868686e-14 
       1.249683633289e-05      -3.777535264582e-04      -2.833533368582e-04      -2.833533399200e-04      -3.777528988246e-04      -2.835305083139e-04       6.000827480386e-01       5.989198074260e-01       5.667066798400e-04       1.812334487171e-07       9.999983283539e-01      -1.321378994859e-10      -2.457952809858e-11      -3.667362985686e-15      -2.510063570112e-11      -6.257747059638e-14 
       1.308579408449e-05      -4.141930659067e-04      -3.106907160498e-04      -3.106907197308e-04      -4.141923113409e-04      -3.108849707752e-04       6.000826362126e-01       5.989197175485e-01       6.213814394617e-04       1.987184923050e-07       9.999981670801e-01      -1.448849241831e-10      -2.955082169109e-11      -4.409051124181e-15      -3.017731589819e-11      -7.523396092214e-14 
       1.370250855978e-05      -4.541471262897e-04      -3.406655482637e-04      -3.406655526892e-04      -4.541462191179e-04      -3.408785324169e-04       6.000825136558e-01       5.989196191625e-01       6.813311053784e-04       2.178904547518e-07       9.999979902481e-01      -1.588618423732e-10      -3.552753939159e-11      -5.300789709204e-15      -3.628073751834e-11      -9.045018617327e-14 
       1.434828789286e-05      -4.979545600698e-04      -3.735322888136e-04      -3.735322941343e-04      -4.979534694205e-04      -3.737658069660e-04       6.000823795662e-01       5.989195118293e-01       7.470645882685e-04       2.389120854058e-07       9.999977963565e-01      -1.741862315538e-10      -4.271300176663e-11      -6.373020403659e-15      -4.361854435884e-11      -1.087438135038e-13 
       1.502450186827e-05      -5.459868657204e-04      -4.095699414492e-04      -4.095699478459e-04      -5.459855545055e-04      -4.098259717861e-04       6.000822322159e-01       5.989193932648e-01       8.191398956919e-04       2.619618356962e-07       9.999975837588e-01      -1.909891430060e-10      -5.135171347875e-11      -7.661739140064e-15      -5.244037103765e-11      -1.307372005911e-13 
       1.573258482650e-05      -5.986513301148e-04      -4.490844279817e-04      -4.490844356724e-04      -5.986497536963e-04      -4.493651389545e-04       6.000820707619e-01       5.989192641410e-01       8.981688713448e-04       2.872353727439e-07       9.999973506520e-01      -2.094124394744e-10      -6.173746320595e-11      -9.211693679486e-15      -6.304632977992e-11      -1.571785497498e-13 
