# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -1.591054226814e-05      -1.193295669315e-05      -1.193295711400e-05      -1.591053456047e-05      -1.193456488760e-05      -1.204645962034e-05       6.121790193842e-01       5.968395668600e-01       2.386591422800e-05       3.208332073672e-08       9.999995747839e-01      -2.901264120809e-10       9.922931656335e-10      -5.009241828353e-13      -1.512413411322e-13      -1.332748997974e-16      -1.608280175623e-13      -5.868910600197e-15 
       1.088426138884e-05      -1.744555522825e-05      -1.308422652484e-05      -1.308422703081e-05      -1.744554596160e-05      -1.308598988885e-05      -1.320867983246e-05       6.121789916997e-01       5.968395486755e-01       2.616845406162e-05       3.517865996938e-08       9.999995337598e-01      -3.181160729151e-10       1.088027263283e-09      -5.492522535817e-13      -1.818320464728e-13      -1.602295133067e-16      -1.933577536669e-13      -7.055980485804e-15 
       1.139722082470e-05      -1.912866198748e-05      -1.434656875108e-05      -1.434656935939e-05      -1.912865084655e-05      -1.434850230311e-05      -1.448302887640e-05       6.121789599256e-01       5.968395299818e-01       2.869313871879e-05       3.857263153916e-08       9.999994887776e-01      -3.488071471871e-10       1.192997416895e-09      -6.022429428263e-13      -2.186101249403e-13      -1.926399116692e-16      -2.324670241426e-13      -8.483150964889e-15 
       1.193435529399e-05      -2.097414912372e-05      -1.573069871894e-05      -1.573069945030e-05      -2.097413572939e-05      -1.573281885998e-05      -1.588032400845e-05       6.121789000336e-01       5.968394826174e-01       3.146139890061e-05       4.229404960584e-08       9.999994394557e-01      -3.824596171367e-10       1.308094778725e-09      -6.603459606448e-13      -2.628270861669e-13      -2.316029296037e-16      -2.794867104530e-13      -1.019898653918e-14 
       1.249680413092e-05      -2.299768417614e-05      -1.724836758019e-05      -1.724836845947e-05      -2.299766807258e-05      -1.725069233851e-05      -1.741242813922e-05       6.121788621184e-01       5.968394578327e-01       3.449673691895e-05       4.637450049383e-08       9.999993853761e-01      -4.193572588815e-10       1.434296410603e-09      -7.240546281082e-13      -3.159875298925e-13      -2.784485336386e-16      -3.360168291602e-13      -1.226187442669e-14 
       1.308576036488e-05      -2.521644366235e-05      -1.891245832094e-05      -1.891245937807e-05      -2.521642430159e-05      -1.891500745736e-05      -1.909234677628e-05       6.121788215779e-01       5.968394322013e-01       3.782491875615e-05       5.084862520565e-08       9.999993260783e-01      -4.598160569293e-10       1.572673528169e-09      -7.939097441027e-13      -3.799003982249e-13      -3.347702441155e-16      -4.039809286682e-13      -1.474200955830e-14 
       1.370247325102e-05      -2.764926172597e-05      -2.073709726780e-05      -2.073709853876e-05      -2.764923844928e-05      -2.073989243779e-05      -2.093434059013e-05       6.121787713478e-01       5.968393991905e-01       4.147419707752e-05       5.575440522198e-08       9.999992610597e-01      -5.041760962876e-10       1.724400726230e-09      -8.705042944701e-13      -4.567405246480e-13      -4.024828182793e-16      -4.856915933756e-13      -1.772378433847e-14 
       1.434825092005e-05      -3.031679008124e-05      -2.273777407074e-05      -2.273777559876e-05      -3.031676209655e-05      -2.274083901543e-05      -2.295404653751e-05       6.121787205684e-01       5.968393669434e-01       4.547555119751e-05       6.113348467297e-08       9.999991897683e-01      -5.528201335935e-10       1.890766010902e-09      -9.544884607109e-13      -5.491226084352e-13      -4.838889591770e-16      -5.839293475216e-13      -2.130866315323e-14 
       1.502446315298e-05      -3.324167189962e-05      -2.493147214741e-05      -2.493147398451e-05      -3.324163825476e-05      -2.493483295496e-05      -2.516860954575e-05       6.121786591520e-01       5.968393268280e-01       4.986294796901e-05       6.703152786374e-08       9.999991115979e-01      -6.061537608882e-10       2.073181492191e-09      -1.046575183127e-12      -6.601902051278e-13      -5.817670325796e-16      -7.020368917234e-13      -2.561863095790e-14 
       1.573254428662e-05      -3.644873566131e-05      -2.733681410725e-05      -2.733681631592e-05      -3.644869521116e-05      -2.734049932120e-05      -2.759682931859e-05       6.121785977085e-01       5.968392858474e-01       5.467363263185e-05       7.349860211932e-08       9.999990258873e-01      -6.646338748274e-10       2.273195826760e-09      -1.147546048638e-12      -7.937226880362e-13      -6.994374403210e-16      -8.440335931308e-13      -3.080035123806e-14 
