# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -4.167400438518e-04      -3.126017302021e-04      -3.126017357097e-04      -4.167387376021e-04      -3.126086888607e-04      -3.127239410585e-04       5.968784712691e-01       5.961528325217e-01       6.252034714194e-04       1.576066775437e-07       9.999987100125e-01      -7.233549319272e-11       2.230898594747e-10      -2.091962045694e-14      -2.370344926504e-11      -2.872686405295e-15      -2.437609214604e-11      -3.795487202580e-14 
       1.088426138884e-05      -4.569397429002e-04      -3.427609492915e-04      -3.427609559132e-04      -4.569381724417e-04      -3.427685797477e-04      -3.428949435138e-04       5.968783911865e-01       5.961527678454e-01       6.855219118265e-04       1.728122614607e-07       9.999985855593e-01      -7.931320760810e-11       2.446088827812e-10      -2.293765378773e-14      -2.849750696838e-11      -3.453704976336e-15      -2.930619976497e-11      -4.563130755017e-14 
       1.139722082470e-05      -5.010164912090e-04      -3.758298655649e-04      -3.758298735259e-04      -5.010146031270e-04      -3.758382327248e-04      -3.759767785097e-04       5.968782982347e-01       5.961526916508e-01       7.516597470518e-04       1.894848503534e-07       9.999984491009e-01      -8.696423122101e-11       2.682031767301e-10      -2.515032912237e-14      -3.426114699905e-11      -4.152237351871e-15      -3.523339426877e-11      -5.486027051694e-14 
       1.193435529399e-05      -5.493440686242e-04      -4.120892002315e-04      -4.120892098026e-04      -5.493417986895e-04      -4.120983752898e-04      -4.122502764934e-04       5.968781928301e-01       5.961526045737e-01       8.241784196052e-04       2.077659770856e-07       9.999982994778e-01      -9.535353014076e-11       2.940727752896e-10      -2.757641587797e-14      -4.119044914583e-11      -4.992054782602e-15      -4.235931958932e-11      -6.595573256447e-14 
       1.249680413092e-05      -6.023322666174e-04      -4.518467613494e-04      -4.518467728564e-04      -6.023295375951e-04      -4.518568223992e-04      -4.520233652409e-04       5.968780796299e-01       5.961525115448e-01       9.036935457127e-04       2.278108264937e-07       9.999981354211e-01      -1.045512836787e-10       3.224369661409e-10      -3.023649382801e-14      -4.952112745748e-11      -6.001737546335e-15      -5.092639595910e-11      -7.929514117513e-14 
       1.308576036488e-05      -6.604303404740e-04      -4.954400487717e-04      -4.954400626060e-04      -6.604270595239e-04      -4.954510813985e-04      -4.956336757990e-04       5.968779566351e-01       5.961524106364e-01       9.908801252121e-04       2.497895585561e-07       9.999979555362e-01      -1.146364927435e-10       3.535361893205e-10      -3.315312067513e-14      -5.953659282866e-11      -7.215596455287e-15      -6.122606156189e-11      -9.533228913742e-14 
       1.370247325102e-05      -7.241308129931e-04      -5.432391258943e-04      -5.432391425267e-04      -7.241268684953e-04      -5.432512239681e-04      -5.434514153277e-04       5.968778247827e-01       5.961523029688e-01       1.086478285053e-03       2.738887477885e-07       9.999977582974e-01      -1.256949495493e-10       3.876340154025e-10      -3.635102953222e-14      -7.157755040917e-11      -8.674915356478e-15      -7.360868592919e-11      -1.146127230087e-13 
       1.434825092005e-05      -7.939736185467e-04      -5.956497505592e-04      -5.956497705556e-04      -7.939688762946e-04      -5.956630172057e-04      -5.958824991955e-04       5.968776762289e-01       5.961521810058e-01       1.191299541111e-03       3.003129748050e-07       9.999975420317e-01      -1.378189707851e-10       4.250193523598e-10      -3.985733829771e-14      -8.605357513705e-11      -1.042945516461e-14      -8.849548300214e-11      -1.377922997285e-13 
       1.502446315298e-05      -8.705506855866e-04      -6.531168394362e-04      -6.531168634766e-04      -8.705449843395e-04      -6.531313873800e-04      -6.533720166740e-04       5.968775162033e-01       5.961520499765e-01       1.306233726953e-03       3.292865480115e-07       9.999973049010e-01      -1.511126639716e-10       4.660089974336e-10      -4.370176824036e-14      -1.034571243739e-10      -1.253859516994e-14      -1.063928331473e-10      -1.656594805072e-13 
       1.573254428662e-05      -9.545108983280e-04      -7.161282220515e-04      -7.161282509540e-04      -9.545040440823e-04      -7.161441754276e-04      -7.164079863886e-04       5.968773390156e-01       5.961519047011e-01       1.432256501908e-03       3.610554245165e-07       9.999970448964e-01      -1.656882099846e-10       5.109500864669e-10      -4.791691696733e-14      -1.243801131439e-10      -1.507445167888e-14      -1.279095023849e-10      -1.991621563802e-13 
