# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.891467846185e-05      -1.824723756582e-03      -1.369443756477e-03      -1.369443855682e-03      -1.824694863576e-03      -1.369465098000e-03      -1.369844652245e-03       5.917545395485e-01       5.912132969416e-01       2.738887711364e-03       5.962569440273e-07       9.999954632301e-01      -2.058611942933e-10       6.498225167934e-10      -5.797287062555e-14      -3.976890190301e-10      -3.282825173827e-14      -4.086141873933e-10      -4.770885515567e-13 
       1.980609979461e-05      -2.000642055474e-03      -1.501564675395e-03      -1.501564794664e-03      -2.000607319917e-03      -1.501588084273e-03      -1.502004144602e-03       5.917542452569e-01       5.912130529103e-01       3.003129589327e-03       6.537824469647e-07       9.999950255720e-01      -2.257127740049e-10       7.124614281035e-10      -6.356266728472e-14      -4.781053360443e-10      -3.946743027821e-14      -4.912394622216e-10      -5.735602301511e-13 
       2.073953252048e-05      -2.193506745634e-03      -1.646432229173e-03      -1.646432372561e-03      -2.193464986898e-03      -1.646457905779e-03      -1.646913972220e-03       5.917539073365e-01       5.912127699398e-01       3.292864745122e-03       7.168578745092e-07       9.999945457026e-01      -2.474756995989e-10       7.811326375719e-10      -6.969107474282e-14      -5.747802986039e-10      -4.744778515854e-14      -5.905696109310e-10      -6.895362801542e-13 
       2.171695657542e-05      -2.404947700711e-03      -1.805276270104e-03      -1.805276442493e-03      -2.404897497728e-03      -1.805304436269e-03      -1.805804340175e-03       5.917535589822e-01       5.912124820658e-01       3.610552884987e-03       7.860185974308e-07       9.999940195469e-01      -2.713365753927e-10       8.564156775780e-10      -7.640994860946e-14      -6.909994594856e-10      -5.704385767041e-14      -7.099811498279e-10      -8.289590835784e-13 
       2.274044520691e-05      -2.636750792423e-03      -1.979445157394e-03      -1.979445364644e-03      -2.636690439336e-03      -1.979476055289e-03      -1.980023993572e-03       5.917531817667e-01       5.912121710149e-01       3.958890729287e-03       8.618517250472e-07       9.999934426404e-01      -2.974982940285e-10       9.389459866077e-10      -8.377606904339e-14      -8.307138223705e-10      -6.857945523827e-14      -8.535327777758e-10      -9.965676984063e-13 
       2.381216937154e-05      -2.890872907266e-03      -2.170417318313e-03      -2.170417567473e-03      -2.890800352152e-03      -2.170451214173e-03      -2.171051781792e-03       5.917527566693e-01       5.912118184557e-01       4.340835134946e-03       9.450010155530e-07       9.999928100930e-01      -3.261787530082e-10       1.029419431080e-09      -9.185168949766e-14      -9.986714415791e-10      -8.244702740648e-14      -1.026103123164e-09      -1.198058284107e-12 
       2.493440233996e-05      -3.169458273483e-03      -2.379813862826e-03      -2.379814162373e-03      -3.169371049966e-03      -2.379851048969e-03      -2.380509276396e-03       5.917522816068e-01       5.912114228952e-01       4.759628324745e-03       1.036172299016e-06       9.999921165362e-01      -3.576197858522e-10       1.128598485268e-09      -1.007050232381e-13      -1.200579944638e-09      -9.911740383469e-14      -1.233556368695e-09      -1.440277842144e-12 
       2.610952451876e-05      -3.474856300260e-03      -2.609412400191e-03      -2.609412760313e-03      -3.474751442520e-03      -2.609453199247e-03      -2.610174591309e-03       5.917517779202e-01       5.912110064888e-01       5.218825520626e-03       1.136139432308e-06       9.999913560921e-01      -3.920923654677e-10       1.237318268888e-09      -1.104108372589e-13      -1.443299023132e-09      -1.191611188445e-13      -1.482941126519e-09      -1.731456519286e-12 
       2.734002849963e-05      -3.809640585729e-03      -2.861161825427e-03      -2.861162258374e-03      -3.809514529880e-03      -2.861206590579e-03      -2.861997173051e-03       5.917512176275e-01       5.912105418453e-01       5.722324516747e-03       1.245751056476e-06       9.999905223043e-01      -4.298818141690e-10       1.356493751202e-09      -1.210510180939e-13      -1.735075012999e-09      -1.432560313158e-13      -1.782729422303e-09      -2.081486192756e-12 
       2.862852434649e-05      -4.176630587356e-03      -3.137199205141e-03      -3.137199725633e-03      -4.176479050263e-03      -3.137248324854e-03      -3.138114690819e-03       5.917506077201e-01       5.912100367495e-01       6.274399451266e-03       1.365937583595e-06       9.999896081089e-01      -4.713122192272e-10       1.487126967647e-09      -1.327153031239e-13      -2.085818870514e-09      -1.722214584588e-13      -2.143103962324e-09      -2.502256502967e-12 
