# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.2
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -5.181077524842e-04      -3.886532793000e-04      -3.886532875112e-04      -5.181054745839e-04      -3.887748788986e-04       5.932777124318e-01       5.926988693943e-01       7.773065750224e-04       1.749055818057e-07       9.999986472727e-01      -6.440654759734e-11      -3.299942519663e-11      -2.995652176433e-15      -3.391994095397e-11      -4.225644539194e-14 
       1.088428943559e-05      -5.680835631842e-04      -4.261497936740e-04      -4.261498035461e-04      -5.680808245736e-04      -4.262831160052e-04       5.932776146193e-01       5.926987869754e-01       8.522996070922e-04       1.917801359211e-07       9.999985167693e-01      -7.061932478811e-11      -3.967349865870e-11      -3.601628136034e-15      -4.078020074590e-11      -5.080275869394e-14 
       1.139725019325e-05      -6.228788906011e-04      -4.672639097579e-04      -4.672639216265e-04      -6.228755981307e-04      -4.674100839991e-04       5.932775280339e-01       5.926987168896e-01       9.345278432529e-04       2.102827016824e-07       9.999983736745e-01      -7.743139777271e-11      -4.769738070087e-11      -4.329949116273e-15      -4.902787777565e-11      -6.107747744168e-14 
       1.193438604663e-05      -6.829582655766e-04      -5.123446252194e-04      -5.123446394885e-04      -6.829543072178e-04      -5.125048891162e-04       5.932774257455e-01       5.926986329657e-01       1.024689278977e-03       2.305703586552e-07       9.999982167745e-01      -8.490065391653e-11      -5.734395640503e-11      -5.205766390214e-15      -5.894353990853e-11      -7.343013233832e-14 
       1.249683633289e-05      -7.488309739286e-04      -5.617746251087e-04      -5.617746422639e-04      -7.488262150041e-04      -5.619503353793e-04       5.932773035490e-01       5.926985307551e-01       1.123549284528e-03       2.528153303399e-07       9.999980447413e-01      -9.309002216476e-11      -6.894142726210e-11      -6.258548322693e-15      -7.086449153452e-11      -8.828091440960e-14 
       1.308579408449e-05      -8.210553671120e-04      -6.159735394875e-04      -6.159735601124e-04      -8.210496457521e-04      -6.161661832203e-04       5.932771837838e-01       5.926984330273e-01       1.231947120225e-03       2.772064389942e-07       9.999978561094e-01      -1.020694400439e-10      -8.288425533251e-11      -7.524412196821e-15      -8.519623587168e-11      -1.061350079860e-13 
       1.370250855978e-05      -9.002434802430e-04      -6.754014363976e-04      -6.754014611939e-04      -9.002366018174e-04      -6.756126435070e-04       5.932770409857e-01       5.926983144159e-01       1.350802922388e-03       3.039507545607e-07       9.999976492813e-01      -1.119145297990e-10      -9.964671565162e-11      -9.046314723723e-15      -1.024262640369e-10      -1.275997099100e-13 
       1.434828789286e-05      -9.870662986977e-04      -7.405628069301e-04      -7.405628367417e-04      -9.870580291478e-04      -7.407943638193e-04       5.932768859949e-01       5.926981858351e-01       1.481125673483e-03       3.332752998443e-07       9.999974224990e-01      -1.227093710462e-10      -1.197990041105e-10      -1.087586631389e-14      -1.231406359252e-10      -1.534051224547e-13 
       1.502450186827e-05      -1.082259340046e-03      -8.120107951446e-04      -8.120108309849e-04      -1.082249398248e-03      -8.122646596402e-04       5.932767117672e-01       5.926980404308e-01       1.624021661970e-03       3.654290127624e-07       9.999971738395e-01      -1.345444090824e-10      -1.440265783907e-10      -1.307509704587e-14      -1.480438895070e-10      -1.844289376213e-13 
       1.573258482650e-05      -1.186628934164e-03      -8.903519579509e-04      -8.903520010409e-04      -1.186616981627e-03      -8.906302756745e-04       5.932765451268e-01       5.926979057484e-01       1.780704002082e-03       4.006848162592e-07       9.999969011933e-01      -1.475206766128e-10      -1.731532253860e-10      -1.571980845507e-14      -1.779830065103e-10      -2.217263006767e-13 
