# Matter power spectrum P(k) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039438893066e-05       5.091216988323e+00 
       1.088426138884e-05       5.326985476445e+00 
       1.139722082470e-05       5.573671817375e+00 
       1.193435529399e-05       5.831782160172e+00 
       1.249680413092e-05       6.101844960458e+00 
       1.308576036488e-05       6.384413981222e+00 
       1.370247325102e-05       6.680068098342e+00 
       1.434825092005e-05       6.989413268950e+00 
       1.502446315298e-05       7.313083469728e+00 
       1.573254428662e-05       7.651742462381e+00 
       1.647399625600e-05       8.006083704136e+00 
       1.725039178014e-05       8.376833723978e+00 
       1.806337769805e-05       8.764752055543e+00 
       1.891467846185e-05       9.170633518574e+00 
       1.980609979461e-05       9.595310714774e+00 
       2.073953252048e-05       1.003965243958e+01 
       2.171695657542e-05       1.050457079425e+01 
       2.274044520691e-05       1.099101796038e+01 
       2.381216937154e-05       1.149999014669e+01 
       2.493440233996e-05       1.203253023013e+01 
       2.610952451876e-05       1.258973044956e+01 
       2.734002849963e-05       1.317273148826e+01 
       2.862852434649e-05       1.378272828973e+01 
       2.997774513178e-05       1.442097029713e+01 
       3.139055273368e-05       1.508876520787e+01 
       3.286994390653e-05       1.578748109775e+01 
       3.441905663736e-05       1.651854916773e+01 
       3.604117680196e-05       1.728346678200e+01 
       3.773974513469e-05       1.808380198350e+01 
       3.951836452669e-05       1.892119244661e+01 
       4.138080766818e-05       1.979735381965e+01 
       4.333102505076e-05       2.071408030960e+01 
       4.537315334696e-05       2.167324912165e+01 
       4.751152418469e-05       2.267682424715e+01 
       4.975067333520e-05       2.372686020516e+01 
       5.209535033404e-05       2.482550624030e+01 
       5.455052855549e-05       2.597501215492e+01 
       5.712141576172e-05       2.717773000684e+01 
       5.981346514918e-05       2.843612008632e+01 
       6.263238691556e-05       2.975275792654e+01 
       6.558416037185e-05       3.113033687372e+01 
       6.867504662531e-05       3.257167423154e+01 
       7.191160186009e-05       3.407971742734e+01 
       7.530069124377e-05       3.565754992265e+01 
       7.884950348932e-05       3.730839539840e+01 
       8.256556610330e-05       3.903562833570e+01 
       8.645676135275e-05       4.084277624295e+01 
       9.053134298449e-05       4.273352956024e+01 
       9.479795373245e-05       4.471174833423e+01 
       9.926564365005e-05       4.678146892422e+01 
       1.039438893066e-04       4.894691286076e+01 
       1.088426138884e-04       5.121249509383e+01 
       1.139722082470e-04       5.358283209977e+01 
       1.193435529399e-04       5.606275112712e+01 
       1.249680413092e-04       5.865729962347e+01 
       1.308576036488e-04       6.137175472459e+01 
       1.370247325102e-04       6.421163331002e+01 
       1.434825092005e-04       6.718270269366e+01 
       1.502446315298e-04       7.029099120217e+01 
       1.573254428662e-04       7.354279942171e+01 
       1.647399625600e-04       7.694471202232e+01 
       1.725039178014e-04       8.050360959109e+01 
       1.806337769805e-04       8.422668114223e+01 
       1.891467846185e-04       8.812143692439e+01 
       1.980609979461e-04       9.219572154528e+01 
       2.073953252048e-04       9.645772778732e+01 
       2.171695657542e-04       1.009160103149e+02 
       2.274044520691e-04       1.055794999530e+02 
       2.381216937154e-04       1.104575187550e+02 
       2.493440233996e-04       1.155597942819e+02 
       2.610952451876e-04       1.208964753266e+02 
       2.734002849963e-04       1.264781469677e+02 
       2.862852434649e-04       1.323158465291e+02 
       2.997774513178e-04       1.384210788867e+02 
       3.139055273368e-04       1.448058324236e+02 
       3.286994390653e-04       1.514825950528e+02 
       3.441905663736e-04       1.584643691792e+02 
       3.604117680196e-04       1.657646878012e+02 
       3.773974513469e-04       1.733976292457e+02 
       3.951836452669e-04       1.813778321190e+02 
       4.138080766818e-04       1.897205092166e+02 
       4.333102505076e-04       1.984414615210e+02 
       4.537315334696e-04       2.075570889524e+02 
       4.751152418469e-04       2.170844082193e+02 
       4.975067333520e-04       2.270410529319e+02 
       5.209535033404e-04       2.374452917528e+02 
       5.455052855549e-04       2.483160341147e+02 
       5.712141576172e-04       2.596728340574e+02 
       5.981346514918e-04       2.715358960798e+02 
       6.263238691556e-04       2.839260793749e+02 
       6.558416037185e-04       2.968648965447e+02 
       6.867504662531e-04       3.103745114574e+02 
       7.191160186009e-04       3.244777353486e+02 
       7.530069124377e-04       3.391980230314e+02 
       7.884950348932e-04       3.545594618355e+02 
       8.256556610330e-04       3.705867565424e+02 
       8.645676135275e-04       3.873052193052e+02 
       9.053134298449e-04       4.047407494079e+02 
       9.479795373245e-04       4.229198084700e+02 
       9.926564365005e-04       4.418694004811e+02 
       1.039438893066e-03       4.616170240417e+02 
       1.088426138884e-03       4.821906518955e+02 
       1.139722082470e-03       5.036186693500e+02 
       1.193435529399e-03       5.259298158808e+02 
       1.249680413092e-03       5.491531370609e+02 
       1.308576036488e-03       5.733178498309e+02 
       1.370247325102e-03       5.984533287268e+02 
       1.434825092005e-03       6.245888715991e+02 
       1.502446315298e-03       6.517536535403e+02 
       1.573254428662e-03       6.799765391406e+02 
       1.647399625600e-03       7.092858955601e+02 
       1.725039178014e-03       7.397094081589e+02 
       1.806337769805e-03       7.712738664645e+02 
       1.891467846185e-03       8.040049455076e+02 
       1.980609979461e-03       8.379270663729e+02 
       2.073953252048e-03       8.730629517301e+02 
       2.171695657542e-03       9.094336403744e+02 
       2.274044520691e-03       9.470581633286e+02 
       2.381216937154e-03       9.859531497827e+02 
       2.493440233996e-03       1.026132678979e+03 
       2.610952451876e-03       1.067607800722e+03 
       2.734002849963e-03       1.110386310697e+03 
       2.862852434649e-03       1.154472208854e+03 
       2.997774513178e-03       1.199865147352e+03 
       3.139055273368e-03       1.246560075014e+03 
       3.286994390653e-03       1.294546930916e+03 
       3.441905663736e-03       1.343809947920e+03 
       3.604117680195e-03       1.394327226906e+03 
       3.773974513465e-03       1.446070218101e+03 
