# Matter power spectrum P(k) at redshift z=2.2
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039441571510e-05       4.496282013106e+00 
       1.088428943559e-05       4.704500065189e+00 
       1.139725019325e-05       4.922359987706e+00 
       1.193438604663e-05       5.150308739770e+00 
       1.249683633289e-05       5.388813285427e+00 
       1.308579408449e-05       5.638362701038e+00 
       1.370250855978e-05       5.899468205222e+00 
       1.434828789286e-05       6.172664944975e+00 
       1.502450186827e-05       6.458512566635e+00 
       1.573258482650e-05       6.757597704828e+00 
       1.647403870647e-05       7.070532486754e+00 
       1.725043623124e-05       7.397958278263e+00 
       1.806342424406e-05       7.740546654216e+00 
       1.891472720151e-05       8.098999108517e+00 
       1.980615083129e-05       8.474050445506e+00 
       2.073958596245e-05       8.866469239706e+00 
       2.171701253604e-05       9.277059564783e+00 
       2.274050380486e-05       9.706662684675e+00 
       2.381223073113e-05       1.015615906909e+01 
       2.493446659134e-05       1.062646967762e+01 
       2.610959179822e-05       1.111855798946e+01 
       2.734009894987e-05       1.163343306496e+01 
       2.862859811694e-05       1.217214886475e+01 
       2.997782237893e-05       1.273580946709e+01 
       3.139063362138e-05       1.332556964992e+01 
       3.287002860635e-05       1.394263761664e+01 
       3.441914532896e-05       1.458827755201e+01 
       3.604126967346e-05       1.526381167827e+01 
       3.773984238309e-05       1.597062422584e+01 
       3.951846635827e-05       1.671016228250e+01 
       4.138091429893e-05       1.748394100181e+01 
       4.333113670686e-05       1.829354465482e+01 
       4.537327026525e-05       1.914063105809e+01 
       4.751164661317e-05       2.002693538934e+01 
       4.975080153356e-05       2.095427138482e+01 
       5.209548457420e-05       2.192453770939e+01 
       5.455066912219e-05       2.293972041118e+01 
       5.712156295313e-05       2.400189741951e+01 
       5.981361927751e-05       2.511324236703e+01 
       6.263254830773e-05       2.627602865908e+01 
       6.558432937020e-05       2.749263482631e+01 
       6.867522358831e-05       2.876555039917e+01 
       7.191178716309e-05       3.009737760190e+01 
       7.530088527984e-05       3.149083897084e+01 
       7.884970667002e-05       3.294878341620e+01 
       8.256577885962e-05       3.447418972223e+01 
       8.645698413597e-05       3.607017403811e+01 
       9.053157626715e-05       3.773999598758e+01 
       9.479819800938e-05       3.948706413810e+01 
       9.926589943941e-05       4.131494382928e+01 
       1.039441571510e-04       4.322736361505e+01 
       1.088428943559e-04       4.522822270084e+01 
       1.139725019325e-04       4.732159861904e+01 
       1.193438604663e-04       4.951175504793e+01 
       1.249683633289e-04       5.180315006425e+01 
       1.308579408449e-04       5.420044467324e+01 
       1.370250855978e-04       5.670851194447e+01 
       1.434828789286e-04       5.933244590777e+01 
       1.502450186827e-04       6.207757136311e+01 
       1.573258482650e-04       6.494945371467e+01 
       1.647403870647e-04       6.795390934381e+01 
       1.725043623124e-04       7.109701607782e+01 
       1.806342424406e-04       7.438512440839e+01 
       1.891472720151e-04       7.782486865211e+01 
       1.980615083129e-04       8.142317880976e+01 
       2.073958596245e-04       8.518729233295e+01 
       2.171701253604e-04       8.912476692138e+01 
       2.274050380486e-04       9.324349259165e+01 
       2.381223073113e-04       9.755170523883e+01 
       2.493446659134e-04       1.020579994047e+02 
       2.610959179822e-04       1.067713420545e+02 
       2.734009894987e-04       1.117010861783e+02 
       2.862859811694e-04       1.168569842868e+02 
       2.997782237893e-04       1.222492029274e+02 
       3.139063362138e-04       1.278883360234e+02 
       3.287002860635e-04       1.337854196603e+02 
       3.441914532896e-04       1.399519450027e+02 
       3.604126967346e-04       1.463998726571e+02 
       3.773984238309e-04       1.531416460068e+02 
       3.951846635827e-04       1.601902040091e+02 
       4.138091429893e-04       1.675589941436e+02 
       4.333113670686e-04       1.752619839398e+02 
       4.537327026525e-04       1.833136727073e+02 
       4.751164661317e-04       1.917291013879e+02 
       4.975080153356e-04       2.005238617005e+02 
       5.209548457420e-04       2.097141057360e+02 
       5.455066912219e-04       2.193165499356e+02 
       5.712156295313e-04       2.293484836480e+02 
       5.981361927751e-04       2.398277713612e+02 
