# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -5.513124049422e-04      -4.135664871969e-04      -4.135664962457e-04      -5.513097597565e-04      -4.135729159031e-04      -4.136877635932e-04       5.917566748366e-01       5.912150653397e-01       8.271329924915e-04       1.800672982218e-07       9.999986262953e-01      -6.219038415735e-11       1.963529775349e-10      -1.751410296405e-14      -3.628141902123e-11      -2.994574003940e-15      -3.727985201389e-11      -4.352585692150e-14 
       1.088426138884e-05      -6.044903740681e-04      -4.534665859255e-04      -4.534665968045e-04      -6.044871938988e-04      -4.534736355633e-04      -4.535995533361e-04       5.917565854959e-01       5.912149911761e-01       9.069331936091e-04       1.974398397739e-07       9.999984937657e-01      -6.818938395299e-11       2.152917604384e-10      -1.920352881646e-14      -4.361925462108e-11      -3.600216175061e-15      -4.481961071786e-11      -5.232885955576e-14 
       1.139722082470e-05      -6.627964881448e-04      -4.972161550849e-04      -4.972161681644e-04      -6.627926647879e-04      -4.972238858060e-04      -4.973619395110e-04       5.917564768089e-01       5.912148991468e-01       9.944323363287e-04       2.164884531306e-07       9.999983484528e-01      -7.476709808840e-11       2.360567065332e-10      -2.105588583630e-14      -5.244107852746e-11      -4.328399117788e-15      -5.388419322428e-11      -6.291217123500e-14 
       1.193435529399e-05      -7.267250593582e-04      -5.451866087140e-04      -5.451866244388e-04      -7.267204627710e-04      -5.451950863698e-04      -5.453464444100e-04       5.917563782654e-01       5.912148188408e-01       1.090373248878e-03       2.373748250948e-07       9.999981891203e-01      -8.197907360696e-11       2.588238115018e-10      -2.308688180981e-14      -6.304699324012e-11      -5.203832803970e-15      -6.478195615674e-11      -7.563580544619e-14 
       1.249680413092e-05      -7.968179251324e-04      -5.977851421875e-04      -5.977851610928e-04      -7.968123989161e-04      -5.977944390148e-04      -5.979603820113e-04       5.917562605349e-01       5.912147211024e-01       1.195570322186e-03       2.602762739443e-07       9.999980144187e-01      -8.988660076664e-11       2.837859839251e-10      -2.531373537658e-14      -7.579777159141e-11      -6.256289163207e-15      -7.788360056407e-11      -9.093257101397e-14 
       1.308576036488e-05      -8.736691358183e-04      -6.554582759269e-04      -6.554582986558e-04      -8.736624919932e-04      -6.554684713114e-04      -6.556504026994e-04       5.917561367058e-01       5.912146192110e-01       1.310916597312e-03       2.853872002113e-07       9.999978228614e-01      -9.855679009629e-11       3.111547030204e-10      -2.775532586767e-14      -9.112713655015e-11      -7.521663026690e-15      -9.363478228581e-11      -1.093228077196e-13 
       1.370247325102e-05      -9.579298789917e-04      -7.186955819613e-04      -7.186956092870e-04      -9.579218915842e-04      -7.187067627882e-04      -7.189062208835e-04       5.917559948069e-01       5.912145013101e-01       1.437391218574e-03       3.129207761185e-07       9.999976128252e-01      -1.080634267304e-10       3.411618087362e-10      -3.043234679996e-14      -1.095565237021e-10      -9.042853127103e-15      -1.125712623138e-10      -1.314320345980e-13 
       1.434825092005e-05      -1.050314019627e-03      -7.880338791362e-04      -7.880339119887e-04      -1.050304416844e-03      -7.880461408540e-04      -7.882648113938e-04       5.917558357192e-01       5.912143685791e-01       1.576067823977e-03       3.431107312139e-07       9.999973825276e-01      -1.184857461600e-10       3.740613955957e-10      -3.336748852025e-14      -1.317127356431e-10      -1.087167741873e-14      -1.353371209230e-10      -1.580122368382e-13 
       1.502446315298e-05      -1.151604090820e-03      -8.640617748261e-04      -8.640618143225e-04      -1.151592546165e-03      -8.640752221114e-04      -8.643149524722e-04       5.917556588873e-01       5.912142205970e-01       1.728123628645e-03       3.762133454584e-07       9.999971300138e-01      -1.299137007729e-10       4.101320390710e-10      -3.658562049886e-14      -1.583493866936e-10      -1.307029139932e-14      -1.627066521930e-10      -1.899674701868e-13 
       1.573254428662e-05      -1.262657917565e-03      -9.474246902034e-04      -9.474247376878e-04      -1.262644038269e-03      -9.474394381136e-04      -9.477022524560e-04       5.917554798830e-01       5.912140732807e-01       1.894849475376e-03       4.125096068889e-07       9.999968531400e-01      -1.424432802001e-10       4.496790338992e-10      -4.011401219438e-14      -1.903723198742e-10      -1.571366307815e-14      -1.956106822719e-10      -2.283845085983e-13 
       1.647399625600e-05      -1.384415709507e-03      -1.038830250127e-03      -1.038830307215e-03      -1.384399023423e-03      -1.038846424991e-03      -1.039134541169e-03       5.917552739506e-01       5.912139021607e-01       2.077660614429e-03       4.523076519636e-07       9.999965495582e-01      -1.561808266617e-10       4.930370102675e-10      -4.398255060801e-14      -2.288705521114e-10      -1.889182598597e-14      -2.351682006363e-10      -2.745698421418e-13 
       1.725039178014e-05      -1.517908119299e-03      -1.139054410544e-03      -1.139054479178e-03      -1.517888058764e-03      -1.139072150699e-03      -1.139387999031e-03       5.917550533906e-01       5.912137197395e-01       2.278108958357e-03       4.959453062922e-07       9.999962166916e-01      -1.712431558931e-10       5.405727949121e-10      -4.822399673431e-14      -2.751532947324e-10      -2.271256069985e-14      -2.827243896313e-10      -3.300940255361e-13 
       1.806337769805e-05      -1.664264757951e-03      -1.248947946186e-03      -1.248948028702e-03      -1.664240640832e-03      -1.248967403455e-03      -1.249313646546e-03       5.917548073271e-01       5.912135154231e-01       2.497896057403e-03       5.437930135891e-07       9.999958517151e-01      -1.877570758468e-10       5.926884003572e-10      -5.287426004522e-14      -3.307944063004e-10      -2.730573965153e-14      -3.398963281335e-10      -3.968451269044e-13 
       1.891467846185e-05      -1.824723721727e-03      -1.369443716389e-03      -1.369443815593e-03      -1.824694727815e-03      -1.369465057846e-03      -1.369844612124e-03       5.917545296601e-01       5.912132835935e-01       2.738887631185e-03       5.962569523155e-07       9.999954515345e-01      -2.058645312055e-10       6.498243261652e-10      -5.797270902145e-14      -3.976856587066e-10      -3.282815208725e-14      -4.086279310428e-10      -4.770927968385e-13 
