# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.647399625600e-05      -1.384415710072e-03      -1.038830250420e-03      -1.038830307494e-03      -1.384399012415e-03      -1.038846425076e-03      -1.039134541447e-03       5.917552767493e-01       5.912139034650e-01       2.077660614989e-03       4.523076542849e-07       9.999965516961e-01      -1.561821248664e-10       4.930376070649e-10      -4.398249853963e-14      -2.288705630849e-10      -1.889159546204e-14      -2.351701672069e-10      -2.745707567567e-13 
       1.725039178014e-05      -1.517908094158e-03      -1.139054391512e-03      -1.139054460130e-03      -1.517888019685e-03      -1.139072131485e-03      -1.139387979975e-03       5.917550461136e-01       5.912137109886e-01       2.278108920260e-03       4.959453212809e-07       9.999962190360e-01      -1.712436665865e-10       5.405734350795e-10      -4.822393922606e-14      -2.751532941576e-10      -2.271234314677e-14      -2.827267520360e-10      -3.300951240406e-13 
       1.806337769805e-05      -1.664264761250e-03      -1.248947948425e-03      -1.248948030920e-03      -1.664240627330e-03      -1.248967405632e-03      -1.249313648763e-03       5.917548111951e-01       5.912135178596e-01       2.497896061841e-03       5.437930156117e-07       9.999958542864e-01      -1.877577002263e-10       5.926890880030e-10      -5.287420018204e-14      -3.307943549753e-10      -2.730567638051e-14      -3.398991739370e-10      -3.968464463786e-13 
       1.891467846185e-05      -1.824723761193e-03      -1.369443745787e-03      -1.369443844966e-03      -1.824694747184e-03      -1.369465087141e-03      -1.369844641503e-03       5.917545451481e-01       5.912132976358e-01       2.738887689932e-03       5.962569379612e-07       9.999954543525e-01      -2.058646288017e-10       6.498250947097e-10      -5.797264432139e-14      -3.976856115703e-10      -3.282802553435e-14      -4.086313569125e-10      -4.770943874802e-13 
       1.980609979461e-05      -2.000642061583e-03      -1.501564663225e-03      -1.501564782461e-03      -2.000607180903e-03      -1.501588071533e-03      -1.502004132368e-03       5.917542508898e-01       5.912130535584e-01       3.003129564921e-03       6.537824389924e-07       9.999950158429e-01      -2.257147160455e-10       7.124643000564e-10      -6.356241501732e-14      -4.781013523969e-10      -3.946651041721e-14      -4.912601030919e-10      -5.735672221508e-13 
       2.073953252048e-05      -2.193506771120e-03      -1.646432227924e-03      -1.646432371273e-03      -2.193464837615e-03      -1.646457904259e-03      -1.646913970899e-03       5.917539172109e-01       5.912127748994e-01       3.292864742547e-03       7.168578566538e-07       9.999945350332e-01      -2.474786808796e-10       7.811357446040e-10      -6.969080254205e-14      -5.747753929379e-10      -4.744734119400e-14      -5.905944246994e-10      -6.895447088975e-13 
       2.171695657542e-05      -2.404947746141e-03      -1.805276280248e-03      -1.805276452588e-03      -2.404897333785e-03      -1.805304445895e-03      -1.805804350233e-03       5.917535726433e-01       5.912124907342e-01       3.610552905177e-03       7.860185686954e-07       9.999940078472e-01      -2.713411327539e-10       8.564191403800e-10      -7.640964587370e-14      -6.909937594106e-10      -5.704288892890e-14      -7.100109766262e-10      -8.289692835559e-13 
       2.274044520691e-05      -2.636750800483e-03      -1.979445134019e-03      -1.979445341214e-03      -2.636690194891e-03      -1.979476031467e-03      -1.980023970088e-03       5.917531850980e-01       5.912121694191e-01       3.958890682428e-03       8.618517127927e-07       9.999934298137e-01      -2.975022768351e-10       9.389497235116e-10      -8.377573915464e-14      -8.307067828964e-10      -6.857855997360e-14      -8.535686154567e-10      -9.965798634757e-13 
       2.381216937154e-05      -2.890872901506e-03      -2.170417278245e-03      -2.170417527341e-03      -2.890800042305e-03      -2.170451173820e-03      -2.171051741590e-03       5.917527560253e-01       5.912118129381e-01       4.340835054682e-03       9.450010083587e-07       9.999927960281e-01      -3.261819972841e-10       1.029423478701e-09      -9.185133050520e-14      -9.986628077408e-10      -8.244646131735e-14      -1.026146203681e-09      -1.198072868788e-12 
       2.493440233996e-05      -3.169458314260e-03      -2.379813850333e-03      -2.379814149803e-03      -3.169370725045e-03      -2.379851036451e-03      -2.380509263753e-03       5.917522888025e-01       5.912114252472e-01       4.759628299606e-03       1.036172267913e-06       9.999921011145e-01      -3.576248765203e-10       1.128602902706e-09      -1.007046335369e-13      -1.200569454027e-09      -9.911751191254e-14      -1.233608156013e-09      -1.440295421345e-12 
