# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.2
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -5.181077396270e-04      -3.886532685164e-04      -3.886532767274e-04      -5.181054531155e-04      -3.887748681095e-04       5.932777045094e-01       5.926988576137e-01       7.773065534549e-04       1.749055873497e-07       9.999986437416e-01      -6.440703924310e-11      -3.299912009796e-11      -2.995678115557e-15      -3.392115631790e-11      -4.225684587597e-14 
       1.088428943559e-05      -5.680835774270e-04      -4.261498029202e-04      -4.261498127920e-04      -5.680808284692e-04      -4.262831252518e-04       5.932776358424e-01       5.926988040463e-01       8.522996255839e-04       1.917801281193e-07       9.999985128946e-01      -7.062046306262e-11      -3.967316450798e-11      -3.601521750465e-15      -4.078166350711e-11      -5.080324351121e-14 
       1.139725019325e-05      -6.228788916550e-04      -4.672639088781e-04      -4.672639207463e-04      -6.228755867731e-04      -4.674100831160e-04       5.932775354965e-01       5.926987202715e-01       9.345278414926e-04       2.102827000746e-07       9.999983694269e-01      -7.743222150653e-11      -4.769697154313e-11      -4.329862427799e-15      -4.902963520415e-11      -6.107806071674e-14 
       1.193438604663e-05      -6.829582651173e-04      -5.123446228403e-04      -5.123446371091e-04      -6.829542918006e-04      -5.125048867328e-04       5.932774315492e-01       5.926986347428e-01       1.024689274218e-03       2.305703575791e-07       9.999982121174e-01      -8.490146104482e-11      -5.734345390941e-11      -5.205689969951e-15      -5.894565290138e-11      -7.343083018380e-14 
       1.249683633289e-05      -7.488309759583e-04      -5.617746242181e-04      -5.617746413730e-04      -7.488261990455e-04      -5.619503344843e-04       5.932773110827e-01       5.926985344356e-01       1.123549282746e-03       2.528153278017e-07       9.999980396351e-01      -9.309095313010e-11      -6.894078920112e-11      -6.258632661481e-15      -7.086703063647e-11      -8.828175529211e-14 
       1.308579408449e-05      -8.210553651976e-04      -6.159735351126e-04      -6.159735557369e-04      -8.210496222232e-04      -6.161661788391e-04       5.932771885432e-01       5.926984337780e-01       1.231947111474e-03       2.772064378971e-07       9.999978505098e-01      -1.020702773136e-10      -8.288352818564e-11      -7.524348459489e-15      -8.519928903221e-11      -1.061360228798e-13 
       1.370250855978e-05      -9.002434858706e-04      -6.754014370142e-04      -6.754014618098e-04      -9.002365814448e-04      -6.756126441177e-04       5.932770501079e-01       5.926983194446e-01       1.350802923620e-03       3.039507495656e-07       9.999976431413e-01      -1.119158622489e-10      -9.964586196552e-11      -9.046078709849e-15      -1.024299361346e-10      -1.276009209226e-13 
       1.434828789286e-05      -9.870663085070e-04      -7.405628100728e-04      -7.405628398833e-04      -9.870580077618e-04      -7.407943669552e-04       5.932768966873e-01       5.926981924547e-01       1.481125679767e-03       3.332752924600e-07       9.999974157675e-01      -1.227103606418e-10      -1.197979682796e-10      -1.087560991425e-14      -1.231450490334e-10      -1.534065749811e-13 
       1.502450186827e-05      -1.082259339015e-03      -8.120107892146e-04      -8.120108250543e-04      -1.082249359600e-03      -8.122646536998e-04       5.932767159897e-01       5.926980406703e-01       1.624021650109e-03       3.654290100184e-07       9.999971664589e-01      -1.345457865502e-10      -1.440252986347e-10      -1.307497072721e-14      -1.480491928101e-10      -1.844306856600e-13 
       1.573258482650e-05      -1.186628922431e-03      -8.903519430491e-04      -8.903519861377e-04      -1.186616924798e-03      -8.906302607571e-04       5.932765437783e-01       5.926979003567e-01       1.780703972275e-03       4.006848180719e-07       9.999968931005e-01      -1.475225755707e-10      -1.731517236445e-10      -1.571957658469e-14      -1.779893812093e-10      -2.217284166067e-13 
       1.647403870647e-05      -1.301058796782e-03      -9.762512511935e-04      -9.762513029959e-04      -1.301044373086e-03      -9.765563733995e-04       5.932763420424e-01       5.926977333938e-01       1.952502605992e-03       4.393420320074e-07       9.999965933729e-01      -1.617506975816e-10      -2.081680032414e-10      -1.889856877618e-14      -2.139838427727e-10      -2.665682450832e-13 
       1.725043623124e-05      -1.426517730195e-03      -1.070437905181e-03      -1.070437967461e-03      -1.426500389636e-03      -1.070772408408e-03       5.932761123639e-01       5.926975418976e-01       2.140875934921e-03       4.817288070273e-07       9.999962647305e-01      -1.773496724261e-10      -2.502648189091e-10      -2.272046677975e-14      -2.572566438532e-10      -3.204750186498e-13 
       1.806342424406e-05      -1.564067638451e-03      -1.173711486733e-03      -1.173711561608e-03      -1.564046791347e-03      -1.174078194170e-03       5.932758759391e-01       5.926973474204e-01       2.347423123216e-03       5.282049309905e-07       9.999959043851e-01      -1.944537201258e-10      -3.008736677915e-10      -2.731568092234e-14      -3.092792894533e-10      -3.852819092449e-13 
       1.891472720151e-05      -1.714872327290e-03      -1.286948630202e-03      -1.286948720221e-03      -1.714847264260e-03      -1.287350635086e-03       5.932756079650e-01       5.926971254939e-01       2.573897440442e-03       5.791649589071e-07       9.999955092863e-01      -2.132059428033e-10      -3.617153473998e-10      -3.284027814710e-14      -3.718206950867e-10      -4.631924721455e-13 
       1.980615083129e-05      -1.880207433150e-03      -1.411110608344e-03      -1.411110716567e-03      -1.880177302424e-03      -1.411551299564e-03       5.932753161444e-01       5.926968839463e-01       2.822221433134e-03       6.350414685467e-07       9.999950760685e-01      -2.337650434661e-10      -4.348588770188e-10      -3.948103604760e-14      -4.470072860524e-10      -5.568558050082e-13 
       2.073958596245e-05      -2.061470994456e-03      -1.547251412560e-03      -1.547251542669e-03      -2.061434771264e-03      -1.547734502615e-03       5.932749977097e-01       5.926966206903e-01       3.094503085337e-03       6.963087835464e-07       9.999946010676e-01      -2.563062989156e-10      -5.227907001630e-10      -4.746498464408e-14      -5.373952523449e-10      -6.694562563391e-13 
       2.171701253604e-05      -2.260195144556e-03      -1.696526710616e-03      -1.696526867039e-03      -2.260151596678e-03      -1.697056266162e-03       5.932746475620e-01       5.926963311527e-01       3.393053734078e-03       7.634869917603e-07       9.999940802479e-01      -2.810199255410e-10      -6.284999451885e-10      -5.706402505686e-14      -6.460573041968e-10      -8.048216547732e-13 
       2.274050380486e-05      -2.478058900959e-03      -1.860203661793e-03      -1.860203849848e-03      -2.478006548469e-03      -1.860784136986e-03       5.932742602723e-01       5.926960101964e-01       3.720407699695e-03       8.371463572157e-07       9.999935091942e-01      -3.081146075173e-10      -7.555803245983e-10      -6.860346149353e-14      -7.766870395074e-10      -9.675534924512e-13 
       2.381223073113e-05      -2.716902187267e-03      -2.039671698583e-03      -2.039671924670e-03      -2.716839249313e-03      -2.040307971513e-03       5.932738375750e-01       5.926956603274e-01       4.079343849341e-03       9.179121430507e-07       9.999928830614e-01      -3.378200431401e-10      -9.083505804064e-10      -8.247672565568e-14      -9.337243105157e-10      -1.163182552664e-12 
       2.493446659134e-05      -2.978741058155e-03      -2.236454272025e-03      -2.236454543836e-03      -2.978665395285e-03      -2.237151684420e-03       5.932733736183e-01       5.926952761924e-01       4.472909087671e-03       1.006469949268e-06       9.999921965356e-01      -3.703864395623e-10      -1.092002860946e-09      -9.915490346584e-14      -1.122505889850e-09      -1.398357341058e-12 
       2.610959179822e-05      -3.265784443821e-03      -2.452221795389e-03      -2.452222122159e-03      -3.265693485085e-03      -2.452986195929e-03       5.932728598461e-01       5.926948497593e-01       4.904444244318e-03       1.103571524584e-06       9.999914438020e-01      -4.060894881637e-10      -1.312778356992e-09      -1.192019930817e-13      -1.349446573405e-09      -1.681069177745e-12 
       2.734009894987e-05      -3.580452591139e-03      -2.688805938089e-03      -2.688806330942e-03      -3.580343243272e-03      -2.689643729680e-03       5.932723124770e-01       5.926943984057e-01       5.377612661884e-03       1.210041069893e-06       9.999906184653e-01      -4.452340466155e-10      -1.578176535222e-09      -1.433078478116e-13      -1.622256745562e-09      -2.020923582548e-12 
       2.862859811694e-05      -3.925396647098e-03      -2.948214879210e-03      -2.948215351503e-03      -3.925265194256e-03      -2.949133070323e-03       5.932717021353e-01       5.926938932200e-01       5.896430703006e-03       1.326782426583e-06       9.999897135341e-01      -4.881454614541e-10      -1.897214519810e-09      -1.722842853013e-13      -1.950203779083e-09      -2.429465457230e-12 
       2.997782237893e-05      -4.303520934404e-03      -3.232650681644e-03      -3.232651249439e-03      -4.303362909625e-03      -3.233656942354e-03       5.932710330571e-01       5.926933394124e-01       6.465302498877e-03       1.454786531068e-06       9.999887213361e-01      -5.351879382382e-10      -2.280728235547e-09      -2.071182422758e-13      -2.344426277612e-09      -2.920571148933e-12 
       3.139063362138e-05      -4.718006549530e-03      -3.544527801014e-03      -3.544528483617e-03      -4.717816583739e-03      -3.545630523871e-03       5.932702994644e-01       5.926927321812e-01       7.089056967234e-03       1.595139943301e-06       9.999876334588e-01      -5.867583232076e-10      -2.741741555964e-09      -2.489935128470e-13      -2.818311416574e-09      -3.510918233133e-12 
       3.287002860635e-05      -5.172337444941e-03      -3.886493617866e-03      -3.886494438487e-03      -5.172109084262e-03      -3.887701984061e-03       5.932694951437e-01       5.926920663958e-01       7.772988876974e-03       1.749034041956e-06       9.999864406752e-01      -6.432912233947e-10      -3.295906947511e-09      -2.993332253695e-13      -3.387948382646e-09      -4.220550412987e-12 
       3.441914532896e-05      -5.670328848016e-03      -4.261450919978e-03      -4.261451906518e-03      -5.670054335267e-03      -4.262774971184e-03       5.932686152641e-01       5.926913383851e-01       8.522903813035e-03       1.917775126170e-06       9.999851328815e-01      -7.052602761249e-10      -3.962035675022e-09      -3.598462149814e-13      -4.072673140388e-09      -5.073556064955e-12 
       3.604126967346e-05      -6.216158130244e-03      -4.672582458686e-03      -4.672583644676e-03      -6.215828145159e-03      -4.674033174939e-03       5.932676458385e-01       5.926905354116e-01       9.345167289352e-03       2.102795552307e-06       9.999836989921e-01      -7.731912432068e-10      -4.762735341559e-09      -4.325897462144e-13      -4.895722641401e-09      -6.098884808117e-12 
       3.773984238309e-05      -6.814398847444e-03      -5.123378153602e-03      -5.123379579378e-03      -6.814002179909e-03      -5.124967537774e-03       5.932665886438e-01       5.926896607732e-01       1.024675915876e-02       2.305665763893e-06       9.999821268545e-01      -8.476552059165e-10      -5.725169895790e-09      -5.200374857177e-13      -5.885020802349e-09      -7.331323009271e-12 
       3.951846635827e-05      -7.470057096880e-03      -5.617664404747e-03      -5.617666118773e-03      -7.469580282813e-03      -5.619405573750e-03       5.932654235823e-01       5.926886957976e-01       1.123533223755e-02       2.528107815085e-06       9.999804031490e-01      -9.292757656772e-10      -6.881986602573e-09      -6.251568278737e-13      -7.074122193877e-09      -8.812675002616e-12 
       4.138091429893e-05      -8.188612072289e-03      -6.159636922852e-03      -6.159638983375e-03      -8.188038928477e-03      -6.161544206336e-03       5.932641505514e-01       5.926876420976e-01       1.231927796675e-02       2.772009750421e-06       9.999785132824e-01      -1.018741550542e-09      -8.272410110512e-09      -7.515162883358e-13      -8.503345736013e-09      -1.059317002685e-11 
