# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.2
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.647403870647e-05      -1.301058799595e-03      -9.762512530698e-04      -9.762513048585e-04      -1.301044364923e-03      -9.765563752610e-04       5.932763463360e-01       5.926977361086e-01       1.952502609717e-03       4.393420330774e-07       9.999965955082e-01      -1.617511727976e-10      -2.081679330033e-10      -1.889861834653e-14      -2.139857457210e-10      -2.665691750826e-13 
       1.725043623124e-05      -1.426517754614e-03      -1.070437923259e-03      -1.070437985521e-03      -1.426500400905e-03      -1.070772426473e-03       5.932761252749e-01       5.926975532619e-01       2.140875971043e-03       4.817287981831e-07       9.999962670732e-01      -1.773507889540e-10      -2.502647140512e-10      -2.272066313228e-14      -2.572589357878e-10      -3.204761449073e-13 
       1.806342424406e-05      -1.564067633371e-03      -1.173711482610e-03      -1.173711557465e-03      -1.564046770427e-03      -1.174078190023e-03       5.932758767191e-01       5.926973465457e-01       2.347423114930e-03       5.282049372276e-07       9.999959069562e-01      -1.944541789904e-10      -3.008736276988e-10      -2.731540456170e-14      -3.092820399811e-10      -3.852832446729e-13 
       1.891472720151e-05      -1.714872335640e-03      -1.286948636479e-03      -1.286948726472e-03      -1.714847254093e-03      -1.287350641336e-03       5.932756136955e-01       5.926971294368e-01       2.573897452944e-03       5.791649591384e-07       9.999955121016e-01      -2.132064049270e-10      -3.617154675066e-10      -3.283948351864e-14      -3.718240009539e-10      -4.631941284774e-13 
       1.980615083129e-05      -1.880207429985e-03      -1.411110605508e-03      -1.411110713702e-03      -1.880177276476e-03      -1.411551296694e-03       5.932753180736e-01       5.926968842601e-01       2.822221427404e-03       6.350414753413e-07       9.999950791591e-01      -2.337661029400e-10      -4.348587974979e-10      -3.948117016122e-14      -4.470112637002e-10      -5.568578033522e-13 
       2.073958596245e-05      -2.061471005542e-03      -1.547251420485e-03      -1.547251550559e-03      -2.061434755024e-03      -1.547734510503e-03       5.932750039467e-01       5.926966253087e-01       3.094503101118e-03       6.963087841440e-07       9.999946044557e-01      -2.563075810773e-10      -5.227905980097e-10      -4.746495084366e-14      -5.374000345430e-10      -6.694586235936e-13 
       2.171701253604e-05      -2.260195142783e-03      -1.696526709088e-03      -1.696526865468e-03      -2.260151562401e-03      -1.697056264585e-03       5.932746505317e-01       5.926963324756e-01       3.393053730937e-03       7.634869994626e-07       9.999940839641e-01      -2.810209384955e-10      -6.284999115751e-10      -5.706406552087e-14      -6.460630534339e-10      -8.048245789399e-13 
       2.274050380486e-05      -2.478058908335e-03      -1.860203666378e-03      -1.860203854385e-03      -2.478006515841e-03      -1.860784141519e-03       5.932742649471e-01       5.926960133296e-01       3.720407708770e-03       8.371463625330e-07       9.999935132689e-01      -3.081161300760e-10      -7.555799959044e-10      -6.860410264056e-14      -7.766939497189e-10      -9.675568873169e-13 
       2.381223073113e-05      -2.716902167550e-03      -2.039671683486e-03      -2.039671909510e-03      -2.716839182633e-03      -2.040307956341e-03       5.932738362601e-01       5.926956572772e-01       4.079343819021e-03       9.179121631103e-07       9.999928875282e-01      -3.378201681783e-10      -9.083507184706e-10      -8.247493384722e-14      -9.337326076476e-10      -1.163186622601e-12 
       2.493446659134e-05      -2.978741094175e-03      -2.236454298802e-03      -2.236454570535e-03      -2.978665374967e-03      -2.237151711119e-03       5.932733837889e-01       5.926952846639e-01       4.472909141070e-03       1.006469944045e-06       9.999922014339e-01      -3.703873976787e-10      -1.092002899104e-09      -9.915372299712e-14      -1.122515882164e-09      -1.398362300114e-12 
