# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       2.610959179822e-05      -1.648198804032e-03      -1.236876657984e-03      -1.236876716311e-03      -1.648186682227e-03      -1.237648663158e-03       6.000788731365e-01       5.989166862834e-01       2.473753432622e-03       7.911081396515e-07       9.999926812468e-01      -5.766250732935e-10      -4.681924952562e-10      -6.985790339506e-14      -4.781590984371e-10      -1.192021539695e-12 
       2.734009894987e-05      -1.807110454122e-03      -1.356207530367e-03      -1.356207600491e-03      -1.807095881348e-03      -1.357053828402e-03       6.000783844055e-01       5.989162940679e-01       2.712415200982e-03       8.674322011886e-07       9.999919752182e-01      -6.322308475372e-10      -5.628680171442e-10      -8.398637374453e-14      -5.748499322725e-10      -1.433066366408e-12 
       2.862859811694e-05      -1.981332666664e-03      -1.487051077220e-03      -1.487051161526e-03      -1.981315147488e-03      -1.487978797581e-03       6.000778485449e-01       5.989158638659e-01       2.974102323051e-03       9.511197440421e-07       9.999912010874e-01      -6.931952605937e-10      -6.766858193641e-10      -1.009704093589e-13      -6.910903246508e-10      -1.722847268260e-12 
       2.997782237893e-05      -2.172338342349e-03      -1.630517989553e-03      -1.630518090908e-03      -2.172317281167e-03      -1.631534941825e-03       6.000772610056e-01       5.989153921167e-01       3.261036181815e-03       1.042881158149e-06       9.999903522897e-01      -7.600360216769e-10      -8.135153087136e-10      -1.213880348263e-13      -8.308320604292e-10      -2.071215898613e-12 
       3.139063362138e-05      -2.381741629044e-03      -1.787826109755e-03      -1.787826231607e-03      -2.381716309942e-03      -1.788940847703e-03       6.000766168368e-01       5.989148748552e-01       3.575652463214e-03       1.143495365273e-06       9.999894216243e-01      -8.333182994753e-10      -9.780078830592e-10      -1.459332953816e-13      -9.988254553625e-10      -2.490014652946e-12 
       3.287002860635e-05      -2.611311375779e-03      -1.960310767642e-03      -1.960310914136e-03      -2.611280938124e-03      -1.961532659128e-03       6.000759104419e-01       5.989143076306e-01       3.920621828272e-03       1.253816430190e-06       9.999884011917e-01      -9.136621648872e-10      -1.175754639147e-09      -1.754411539023e-13      -1.200780624909e-09      -2.993478618653e-12 
       3.441914532896e-05      -2.862985851447e-03      -2.149436114995e-03      -2.149436291115e-03      -2.862949260709e-03      -2.150775418273e-03       6.000751359992e-01       5.989136856977e-01       4.298872582229e-03       1.374780808139e-06       9.999872823398e-01      -1.001744848563e-09      -1.413476578826e-09      -2.109128407783e-13      -1.443561333580e-09      -3.598718948514e-12 
       3.604126967346e-05      -3.138888836947e-03      -2.356807549836e-03      -2.356807761569e-03      -3.138844849984e-03      -2.358275496740e-03       6.000742867804e-01       5.989130036860e-01       4.713615523137e-03       1.507415294301e-06       9.999860555840e-01      -1.098314690006e-09      -1.699252165870e-09      -2.535553603216e-13      -1.735417886248e-09      -4.326303590772e-12 
       3.773984238309e-05      -3.441347230626e-03      -2.584185345884e-03      -2.584185600435e-03      -3.441294352347e-03      -2.585794232515e-03       6.000733558801e-01       5.989122563028e-01       5.168371200871e-03       1.652845733875e-06       9.999847105157e-01      -1.204182222892e-09      -2.042791008206e-09      -3.048228237864e-13      -2.086267001835e-09      -5.200954556857e-12 
       3.951846635827e-05      -3.772910271521e-03      -2.833499584997e-03      -2.833499891023e-03      -3.772846705936e-03      -2.835262870472e-03       6.000723350147e-01       5.989114366907e-01       5.666999782045e-03       1.812306582326e-06       9.999832357264e-01      -1.320246531096e-09      -2.455764699564e-09      -3.664568655496e-13      -2.508028157860e-09      -6.252387232470e-12 
       4.138091429893e-05      -4.136370571305e-03      -3.106866544861e-03      -3.106866912767e-03      -4.136294159010e-03      -3.108798958827e-03       6.000712156966e-01       5.989105377986e-01       6.213733825533e-03       1.987151374151e-06       9.999816187205e-01      -1.447486852824e-09      -2.952202235661e-09      -4.405405142626e-13      -3.015027748974e-09      -7.516316687444e-12 
       4.333113670686e-05      -4.534787064449e-03      -3.406606654488e-03      -3.406607096783e-03      -4.534695211155e-03      -3.408724314048e-03       6.000699886695e-01       5.989095522071e-01       6.813214193565e-03       2.178864212075e-06       9.999798457834e-01      -1.586973116826e-09      -3.548964731572e-09      -5.295857768229e-13      -3.624484565814e-09      -9.035669559619e-12 
       4.537327026525e-05      -4.971510077930e-03      -3.735264182689e-03      -3.735264714422e-03      -4.971399663167e-03      -3.737584719480e-03       6.000686431386e-01       5.989084719540e-01       7.470529428844e-03       2.389072363284e-06       9.999779018940e-01      -1.739885263912e-09      -4.266311794720e-09      -6.366604194323e-13      -4.357093204333e-09      -1.086203778249e-11 
       4.751164661317e-05      -5.450208696308e-03      -4.095628837222e-03      -4.095629476467e-03      -5.450075972564e-03      -4.098171535350e-03       6.000671679730e-01       5.989072872688e-01       8.191258952935e-03       2.619560058807e-06       9.999757705661e-01      -1.907509811804e-09      -5.128601823045e-09      -7.653526626686e-13      -5.237724808126e-09      -1.305742486476e-11 
       4.975080153356e-05      -5.974900608429e-03      -4.490759428951e-03      -4.490760197442e-03      -5.974741070841e-03      -4.493545374631e-03       6.000655505934e-01       5.989059883382e-01       8.981520394884e-03       2.872283639698e-06       9.999734337495e-01      -2.091258955667e-09      -6.165100980131e-09      -9.200498004022e-13      -6.296269059004e-09      -1.569634642567e-11 
       5.209548457420e-05      -6.549984655869e-03      -4.924009831177e-03      -4.924010755030e-03      -6.549792892167e-03      -4.927062074799e-03       6.000637772946e-01       5.989045638482e-01       9.848021510059e-03       3.149388150883e-06       9.999708716414e-01      -2.292678386728e-09      -7.410984734228e-09      -1.105970398235e-12      -7.568645262487e-09      -1.886834971882e-11 
       5.455066912219e-05      -7.180276305901e-03      -5.399057433962e-03      -5.399058544600e-03      -7.180045808559e-03      -5.402401165473e-03       6.000618330532e-01       5.989030025639e-01       1.079811708920e-02       3.453225541882e-06       9.999680625415e-01      -2.513462024736e-09      -8.908509884190e-09      -1.329521471707e-12      -9.098016893759e-09      -2.268104411313e-11 
       5.712156295313e-05      -7.871046276697e-03      -5.919934350137e-03      -5.919935685308e-03      -7.870769229328e-03      -5.923597088400e-03       6.000597014180e-01       5.989012904233e-01       1.183987137062e-02       3.786374614598e-06       9.999649826517e-01      -2.755463156674e-09      -1.070847344374e-08      -1.598190474830e-12      -1.093625018610e-08      -2.726373243150e-11 
