# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -1.591054218808e-05      -1.193295662094e-05      -1.193295704175e-05      -1.591053427846e-05      -1.193456455010e-05      -1.204645954552e-05       6.121885827870e-01       5.968448808337e-01       2.386591408350e-05       3.208332075386e-08       9.999995713427e-01      -2.902511418473e-10       9.924122353580e-10      -5.008639780734e-13      -1.512135149642e-13      -1.332529120962e-16      -1.610322601693e-13      -5.871433452671e-15 
       1.088426138884e-05      -1.744555517919e-05      -1.308422647344e-05      -1.308422697936e-05      -1.744554566977e-05      -1.308598954876e-05      -1.320867977826e-05       6.121885550673e-01       5.968448640741e-01       2.616845395871e-05       3.517865985281e-08       9.999995299860e-01      -3.182527890659e-10       1.088157779008e-09      -5.491862671861e-13      -1.817985960632e-13      -1.602032776483e-16      -1.936032731106e-13      -7.059013214439e-15 
       1.139722082470e-05      -1.912866193753e-05      -1.434656869606e-05      -1.434656930429e-05      -1.912865050468e-05      -1.434850192456e-05      -1.448302881805e-05       6.121885247345e-01       5.968448454134e-01       2.869313860859e-05       3.857263137303e-08       9.999994846401e-01      -3.489570821067e-10       1.193140569668e-09      -6.021705632332e-13      -2.185699048106e-13      -1.926076758686e-16      -2.327622505021e-13      -8.486797639937e-15 
       1.193435529399e-05      -2.097414991732e-05      -1.573069929303e-05      -1.573070002430e-05      -2.097413617200e-05      -1.573281910883e-05      -1.588032458466e-05       6.121884901532e-01       5.968448231477e-01       3.146140004860e-05       4.229404692503e-08       9.999994349194e-01      -3.826235433393e-10       1.308251781988e-09      -6.602666344356e-13      -2.627787226445e-13      -2.315673873896e-16      -2.798416735565e-13      -1.020337146188e-14 
       1.249680413092e-05      -2.299768410667e-05      -1.724836750270e-05      -1.724836838189e-05      -2.299766758119e-05      -1.725069187864e-05      -1.741242805696e-05       6.121884258945e-01       5.968447730310e-01       3.449673676378e-05       4.637450024657e-08       9.999993804015e-01      -4.195376100706e-10       1.434468485973e-09      -7.239676253977e-13      -3.159293959757e-13      -2.784027290585e-16      -3.364435288201e-13      -1.226714514003e-14 
       1.308576036488e-05      -2.521644358277e-05      -1.891245823076e-05      -1.891245928776e-05      -2.521642371480e-05      -1.891500693576e-05      -1.909234668037e-05       6.121883840087e-01       5.968447466026e-01       3.782491857552e-05       5.084862489803e-08       9.999993206237e-01      -4.600140877731e-10       1.572862180016e-09      -7.938143589319e-13      -3.798305187344e-13      -3.347135829000e-16      -4.044938821009e-13      -1.474834558794e-14 
       1.370247325102e-05      -2.764926167830e-05      -2.073709719538e-05      -2.073709846617e-05      -2.764923779178e-05      -2.073989189298e-05      -2.093434051113e-05       6.121883349867e-01       5.968447144693e-01       4.147419693235e-05       5.575440471840e-08       9.999992550786e-01      -5.043943448021e-10       1.724607595096e-09      -8.703996986409e-13      -4.566565056972e-13      -4.024148018790e-16      -4.863083342234e-13      -1.773140236224e-14 
       1.434825092005e-05      -3.031678993130e-05      -2.273777391420e-05      -2.273777544202e-05      -3.031676121341e-05      -2.274083835275e-05      -2.295404637245e-05       6.121882830864e-01       5.968446806161e-01       4.547555088404e-05       6.113348432630e-08       9.999991832103e-01      -5.530559819744e-10       1.890992859237e-09      -9.543737546398e-13      -5.490215922561e-13      -4.838090388811e-16      -5.846708676373e-13      -2.131782277130e-14 
       1.502446315298e-05      -3.324167175097e-05      -2.493147198288e-05      -2.493147381975e-05      -3.324163722444e-05      -2.493483222687e-05      -2.516860937121e-05       6.121882234644e-01       5.968446408803e-01       4.986294763950e-05       6.703152735714e-08       9.999991044082e-01      -6.064143977245e-10       2.073430305543e-09      -1.046449363765e-12      -6.600687332516e-13      -5.816694660025e-16      -7.029285679674e-13      -2.562964515331e-14 
       1.573254428662e-05      -3.644873549138e-05      -2.733681391604e-05      -2.733681612445e-05      -3.644869398142e-05      -2.734049852215e-05      -2.759682911541e-05       6.121881595631e-01       5.968445992228e-01       5.467363224889e-05       7.349860148488e-08       9.999990180030e-01      -6.649195669176e-10       2.273468533262e-09      -1.147408151297e-12      -7.935766617602e-13      -6.993220585725e-16      -8.451053852946e-13      -3.081359016576e-14 
