# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -1.591039938013e-05      -1.193284951263e-05      -1.193284993339e-05      -1.591039147176e-05      -1.204638103014e-05       6.121915393523e-01       5.968440817927e-01       2.386569986678e-05       3.208354813589e-08       9.999995712636e-01      -2.903202724393e-10      -1.512093794986e-13      -1.332060447192e-16      -1.610264620201e-13      -5.872815559101e-15 
       1.088428943559e-05      -1.744539865703e-05      -1.308410907897e-05      -1.308410958484e-05      -1.744538914911e-05      -1.320859373570e-05       6.121915143251e-01       5.968440682348e-01       2.616821916967e-05       3.517890899302e-08       9.999995298995e-01      -3.183295619438e-10      -1.817936059082e-13      -1.601509564795e-16      -1.935963029619e-13      -7.060675086345e-15 
       1.139725019325e-05      -1.912849029804e-05      -1.434643996299e-05      -1.434644057118e-05      -1.912847886695e-05      -1.448293446152e-05       6.121914841942e-01       5.968440489545e-01       2.869288114235e-05       3.857290459281e-08       9.999994845454e-01      -3.490408984189e-10      -2.185639031232e-13      -1.925447149603e-16      -2.327538894515e-13      -8.488795882026e-15 
       1.193438604663e-05      -2.097396177482e-05      -1.573055818205e-05      -1.573055891325e-05      -2.097394803168e-05      -1.588022116710e-05       6.121914503439e-01       5.968440289183e-01       3.146111782650e-05       4.229434634583e-08       9.999994348148e-01      -3.827155887579e-10      -2.627715229887e-13      -2.314907477101e-16      -2.798315851327e-13      -1.020577353102e-14 
       1.249683633289e-05      -2.299747778854e-05      -1.724821275913e-05      -1.724821363824e-05      -2.299746126565e-05      -1.741231464315e-05       6.121913856748e-01       5.968439777956e-01       3.449642727649e-05       4.637482862369e-08       9.999993802872e-01      -4.196383199050e-10      -3.159207307150e-13      -2.783114951636e-16      -3.364314114733e-13      -1.227003316792e-14 
       1.308579408449e-05      -2.521621736044e-05      -1.891228855802e-05      -1.891228961492e-05      -2.521619749554e-05      -1.909222232469e-05       6.121913417457e-01       5.968439508896e-01       3.782457922983e-05       5.084898495412e-08       9.999993204985e-01      -4.601243873705e-10      -3.798200175709e-13      -3.346063502517e-16      -4.044793218690e-13      -1.475181639971e-14 
       1.370250855978e-05      -2.764901363118e-05      -2.073691115287e-05      -2.073691242355e-05      -2.764898974837e-05      -2.093420415767e-05       6.121912952802e-01       5.968439192050e-01       4.147382484710e-05       5.575479951094e-08       9.999992549417e-01      -5.045157234220e-10      -4.566439758607e-13      -4.022814875100e-16      -4.862908666698e-13      -1.773557723366e-14 
       1.434828789286e-05      -3.031651785927e-05      -2.273756985151e-05      -2.273757137922e-05      -3.031648914581e-05      -2.295389679192e-05       6.121912416745e-01       5.968438836351e-01       4.547514275844e-05       6.113391747883e-08       9.999991830601e-01      -5.531887398930e-10      -5.490065109056e-13      -4.836513017314e-16      -5.846498740170e-13      -2.132284217652e-14 
       1.502450186827e-05      -3.324137364094e-05      -2.493124839001e-05      -2.493125022671e-05      -3.324133911981e-05      -2.516844551810e-05       6.121911855026e-01       5.968438476214e-01       4.986250045343e-05       6.703200169403e-08       9.999991042433e-01      -6.065594745366e-10      -6.600506335597e-13      -5.814759682942e-16      -7.029033040326e-13      -2.563567956351e-14 
       1.573258482650e-05      -3.644840854243e-05      -2.733656869191e-05      -2.733657090010e-05      -3.644836703899e-05      -2.759664939385e-05       6.121911201644e-01       5.968438045707e-01       5.467314180020e-05       7.349912180634e-08       9.999990178223e-01      -6.650794843077e-10      -7.935549065255e-13      -6.990880160275e-16      -8.450749980512e-13      -3.082084481577e-14 
       1.647403870647e-05      -3.996484571549e-05      -2.997394962250e-05      -2.997395227733e-05      -3.996479581736e-05      -3.025912150683e-05       6.121910491523e-01       5.968437572275e-01       5.994790455467e-05       8.059017676064e-08       9.999989230643e-01      -7.292453790646e-10      -9.540621754609e-13      -8.404886915376e-16      -1.016002894416e-12      -3.705477961544e-14 
       1.725043623124e-05      -4.382053450851e-05      -3.286577999825e-05      -3.286578319010e-05      -4.382047451789e-05      -3.317846362875e-05       6.121909721945e-01       5.968437072488e-01       6.573156638020e-05       8.836536204074e-08       9.999988191630e-01      -7.996018039820e-10      -1.147034147509e-12      -1.010502221185e-15      -1.221503001769e-12      -4.454960841889e-14 
       1.806342424406e-05      -4.804820662086e-05      -3.603661076410e-05      -3.603661460152e-05      -4.804813449624e-05      -3.637946021870e-05       6.121909247122e-01       5.968436912902e-01       7.207322920304e-05       9.689067249715e-08       9.999987052368e-01      -8.767462539546e-10      -1.379036989083e-12      -1.214929368786e-15      -1.468568205686e-12      -5.356036326240e-14 
       1.891472720151e-05      -5.268373853514e-05      -3.951335189144e-05      -3.951335650500e-05      -5.268365182255e-05      -3.988927719259e-05       6.121907886572e-01       5.968435840426e-01       7.902671301001e-05       1.062385070363e-07       9.999985803233e-01      -9.613314700807e-10      -1.657965946569e-12      -1.460596230062e-15      -1.765605625463e-12      -6.439365672706e-14 
       1.980615083129e-05      -5.776649194520e-05      -4.332552778753e-05      -4.332553333425e-05      -5.776638769403e-05      -4.373771975922e-05       6.121907273611e-01       5.968435594873e-01       8.665106666850e-05       1.164881789278e-07       9.999984433526e-01      -1.054079193479e-09      -1.993311452703e-12      -1.756095350414e-15      -2.122722223844e-12      -7.741812830206e-14 
       2.073958596245e-05      -6.333959941969e-05      -4.750549165042e-05      -4.750549831904e-05      -6.333947408233e-05      -4.795744881138e-05       6.121906127024e-01       5.968434827485e-01       9.501099663809e-05       1.277267293208e-07       9.999982931715e-01      -1.155773557028e-09      -2.396484826558e-12      -2.111288977444e-15      -2.552070384173e-12      -9.307695600872e-14 
       2.171701253604e-05      -6.945037014391e-05      -5.208872990362e-05      -5.208873792108e-05      -6.945021945578e-05      -5.258428825262e-05       6.121904862099e-01       5.968433987792e-01       1.041774758422e-04       1.400495509075e-07       9.999981284992e-01      -1.267278843467e-09      -2.881205036430e-12      -2.538331624034e-15      -3.068259025332e-12      -1.119029694270e-13 
       2.274050380486e-05      -7.615067305856e-05      -5.711414970407e-05      -5.711415934316e-05      -7.615049189163e-05      -5.765751523567e-05       6.121903499397e-01       5.968433086218e-01       1.142283186863e-04       1.535612507796e-07       9.999979479422e-01      -1.389542139705e-09      -3.463965568903e-12      -3.051753894601e-15      -3.688853412589e-12      -1.345367733828e-13 
       2.381223073113e-05      -8.349737983314e-05      -6.262441135825e-05      -6.262442294697e-05      -8.349716202284e-05      -6.322019573513e-05       6.121901990256e-01       5.968432077581e-01       1.252488458939e-04       1.683765301089e-07       9.999977499646e-01      -1.523600340808e-09      -4.164596545693e-12      -3.669013217253e-15      -4.434970198337e-12      -1.617485333396e-13 
       2.493446659134e-05      -9.155284954794e-05      -6.866629205430e-05      -6.866630598787e-05      -9.155258768203e-05      -6.931955173363e-05       6.121900401301e-01       5.968431055859e-01       1.373326119757e-04       1.846211516319e-07       9.999975328839e-01      -1.670591767808e-09      -5.006937210344e-12      -4.411441015413e-15      -5.331996645188e-12      -1.944641952185e-13 
       2.610959179822e-05      -1.003854522024e-04      -7.529107877153e-05      -7.529109552232e-05      -1.003851373727e-04      -7.600735785696e-05       6.121898492080e-01       5.968429733932e-01       1.505821910446e-04       2.024330233337e-07       9.999972948664e-01      -1.831764043914e-09      -6.019653867906e-12      -5.303286782134e-15      -6.410458133168e-12      -2.337969449893e-13 
       2.734009894987e-05      -1.100701605036e-04      -8.255501242391e-05      -8.255503256285e-05      -1.100697819965e-04      -8.334038974038e-05       6.121896579410e-01       5.968428484611e-01       1.651100651257e-04       2.219633350628e-07       9.999970338805e-01      -2.008485818309e-09      -7.237202287518e-12      -6.376022962216e-15      -7.707049121867e-12      -2.810852044467e-13 
       2.862859811694e-05      -1.206891699161e-04      -9.051975330526e-05      -9.051977751761e-05      -1.206887148527e-04      -9.138089388141e-05       6.121894382467e-01       5.968427021315e-01       1.810395550352e-04       2.433778882827e-07       9.999967477152e-01      -2.202255968079e-09      -8.701012839416e-12      -7.665670541270e-15      -9.265888235920e-12      -3.379379899436e-13 
       2.997782237893e-05      -1.323326091699e-04      -9.925291442629e-05      -9.925294353591e-05      -1.323320620650e-04      -1.001971260401e-04       6.121891983810e-01       5.968425420290e-01       1.985058870718e-04       2.668584649960e-07       9.999964339442e-01      -2.414719845120e-09      -1.046089428608e-11      -9.216159235578e-15      -1.114001930391e-11      -4.062898497796e-13 
       3.139063362138e-05      -1.450992986420e-04      -1.088286308625e-04      -1.088286658599e-04      -1.450986408787e-04      -1.098639259843e-04       6.121889356322e-01       5.968423661602e-01       2.176573317198e-04       2.926043885818e-07       9.999960899037e-01      -2.647680703800e-09      -1.257672946120e-11      -1.108022564184e-14      -1.339321200381e-11      -4.884665534872e-13 
       3.287002860635e-05      -1.590975896651e-04      -1.193281899102e-04      -1.193282319864e-04      -1.590967988639e-04      -1.204633536195e-04       6.121886467265e-01       5.968421737104e-01       2.386564639728e-04       3.208342123985e-07       9.999957126676e-01      -2.903115716794e-09      -1.512051300200e-11      -1.332138706219e-14      -1.610213154126e-11      -5.872642568622e-13 
       3.441914532896e-05      -1.744462837318e-04      -1.308407212979e-04      -1.308407718845e-04      -1.744453329849e-04      -1.320853857394e-04       6.121883305132e-01       5.968419629150e-01       2.616815437691e-04       3.517875741506e-07       9.999952990373e-01      -3.183192310263e-09      -1.817880041364e-11      -1.601582724353e-14      -1.935895349850e-11      -7.060446844825e-13 
       3.604126967346e-05      -1.912756410167e-04      -1.434639545514e-04      -1.434640153698e-04      -1.912744979718e-04      -1.448286805656e-04       6.121879894342e-01       5.968417362994e-01       2.869280307396e-04       3.857272269182e-07       9.999948455053e-01      -3.490288875381e-09      -2.185565345388e-11      -1.925527405185e-14      -2.327449564928e-11      -8.488494942914e-13 
       3.773984238309e-05      -2.097284749306e-04      -1.573050410817e-04      -1.573051142013e-04      -2.097271006962e-04      -1.588014076180e-04       6.121875946004e-01       5.968414688844e-01       3.146102284027e-04       4.229412983412e-07       9.999943482166e-01      -3.827009600542e-09      -2.627617762841e-11      -2.314963089055e-14      -2.798198269981e-11      -1.020537559520e-12 
       3.951846635827e-05      -2.299613936959e-04      -1.724814867728e-04      -1.724815746821e-04      -2.299597415162e-04      -1.741221891296e-04       6.121871918672e-01       5.968412046726e-01       3.449631493641e-04       4.637456471751e-07       9.999938029469e-01      -4.196216548077e-09      -3.159079104884e-11      -2.783238913617e-14      -3.364158921929e-11      -1.226950969179e-12 
       4.138091429893e-05      -2.521460747265e-04      -1.891221094539e-04      -1.891222151438e-04      -2.521440883838e-04      -1.909210665713e-04       6.121867233874e-01       5.968408897626e-01       3.782444302875e-04       5.084866987084e-07       9.999932050768e-01      -4.601039353049e-09      -3.798031557934e-11      -3.346094606650e-14      -4.044588439124e-11      -1.475112487996e-12 
       4.333113670686e-05      -2.764707771789e-04      -2.073681753518e-04      -2.073683024200e-04      -2.764683890862e-04      -2.093406478526e-04       6.121862218023e-01       5.968405543188e-01       4.147366048400e-04       5.575442188215e-07       9.999925495272e-01      -5.044911754494e-09      -4.566216436733e-11      -4.022991116186e-14      -4.862638435419e-11      -1.773466492973e-12 
       4.537327026525e-05      -3.031418986979e-04      -2.273745690984e-04      -2.273747218678e-04      -3.031390276007e-04      -2.295372883747e-04       6.121856677219e-01       5.968401835086e-01       4.547494437356e-04       6.113346498249e-07       9.999918307367e-01      -5.531603921872e-09      -5.489770683877e-11      -4.836675815363e-14      -5.846142731304e-11      -2.132163875741e-12 
       4.751164661317e-05      -3.323857447325e-04      -2.493111236468e-04      -2.493113073159e-04      -3.323822929494e-04      -2.516824335093e-04       6.121850675966e-01       5.968397841912e-01       4.986226146318e-04       6.703145859949e-07       9.999910425956e-01      -6.065247712694e-09      -6.600118208954e-11      -5.814968695054e-14      -7.028563368750e-11      -2.563409250988e-12 
       4.975080153356e-05      -3.644504254287e-04      -2.733640464780e-04      -2.733642672967e-04      -3.644462755128e-04      -2.759640582542e-04       6.121844005675e-01       5.968393370475e-01       5.467285345935e-04       7.349847081919e-07       9.999901784242e-01      -6.650366601302e-09      -7.935037240690e-11      -6.991079209039e-14      -8.450131324267e-11      -3.081875188355e-12 
       5.209548457420e-05      -3.996079889967e-04      -2.997375238835e-04      -2.997377893655e-04      -3.996029997510e-04      -3.025882866389e-04       6.121836808577e-01       5.968388583971e-01       5.994755787310e-04       8.058939414030e-07       9.999892308849e-01      -7.291931127399e-09      -9.539947097527e-11      -8.405136307950e-14      -1.015921316983e-10      -3.705202017800e-12 
       5.455066912219e-05      -4.381566876855e-04      -3.286554255455e-04      -3.286557447246e-04      -4.381506893671e-04      -3.317811123568e-04       6.121828882575e-01       5.968383292942e-01       6.573114894492e-04       8.836442235485e-07       9.999881919335e-01      -7.995379643678e-09      -1.146945295440e-10      -1.010521159862e-13      -1.221395596104e-10      -4.454597262918e-12 
       5.712156295313e-05      -4.804235323824e-04      -3.603632266168e-04      -3.603636103560e-04      -4.804163209102e-04      -3.637903389294e-04       6.121820167778e-01       5.968377485191e-01       7.207272207119e-04       9.688955292505e-07       9.999870527482e-01      -8.766684956618e-09      -1.378920004142e-10      -1.214915374138e-13      -1.468426625520e-10      -5.355556781123e-12 
       5.981361927751e-05      -5.267670457863e-04      -3.951300800233e-04      -3.951305413768e-04      -5.267583758238e-04      -3.988876714729e-04       6.121810582832e-01       5.968371082751e-01       7.902610827536e-04       1.062371514086e-06       9.999858036642e-01      -9.612384855609e-09      -1.657811394782e-10      -1.460641448532e-13      -1.765418822998e-10      -6.438733473291e-12 
       6.263254830773e-05      -5.775803094030e-04      -4.332511105214e-04      -4.332516651900e-04      -5.775698859786e-04      -4.373710323070e-04       6.121800103613e-01       5.968364091150e-01       8.665033303801e-04       1.164865618307e-06       9.999844340811e-01      -1.053965559281e-08      -1.993107742636e-10      -1.756054969743e-13      -2.122476203352e-10      -7.740978338973e-12 
       6.558432937020e-05      -6.332942725419e-04      -4.750499071762e-04      -4.750505740356e-04      -6.332817410397e-04      -4.795670767776e-04       6.121788640527e-01       5.968356444217e-01       9.501011480713e-04       1.277247847926e-06       9.999829323773e-01      -1.155637022749e-08      -2.396216326515e-10      -2.111266676158e-13      -2.551746003765e-10      -9.306595993291e-12 
       6.867522358831e-05      -6.943813993261e-04      -5.208812714330e-04      -5.208820731728e-04      -6.943663334546e-04      -5.258339670558e-04       6.121775986800e-01       5.968347983536e-01       1.041764146346e-03       1.400472150446e-06       9.999812857967e-01      -1.267114332028e-08      -2.880851150729e-10      -2.538287498008e-13      -3.067831561609e-10      -1.118884753818e-11 
       7.191178716309e-05      -7.613596945068e-04      -5.711342519282e-04      -5.711352158160e-04      -7.613415818177e-04      -5.765644353070e-04       6.121762233673e-01       5.968338800918e-01       1.142270431632e-03       1.535584418337e-06       9.999794803767e-01      -1.389344575522e-08      -3.463500437397e-10      -3.051620873002e-13      -3.688289650551e-10      -1.345176820114e-11 
       7.530088527984e-05      -8.347970213774e-04      -6.262354011146e-04      -6.262365599831e-04      -8.347752455174e-04      -6.321890707529e-04       6.121747044344e-01       5.968328679859e-01       1.252473119966e-03       1.683731537771e-06       9.999775007939e-01      -1.523362257654e-08      -4.163981683635e-10      -3.668950441454e-13      -4.434226782904e-10      -1.617233416077e-11 
       7.884970667002e-05      -9.153159497096e-04      -6.866524343397e-04      -6.866538276092e-04      -9.152897700367e-04      -6.931800126822e-04       6.121730401770e-01       5.968317557008e-01       1.373307655218e-03       1.846170968694e-06       9.999753302473e-01      -1.670305479996e-08      -5.006128037199e-10      -4.411038203708e-13      -5.331017409576e-10      -1.944309801640e-11 
       8.256577885962e-05      -1.003598997821e-03      -7.528981873942e-04      -7.528998624513e-04      -1.003567523924e-03      -7.600549448928e-04       6.121712178868e-01       5.968305367405e-01       1.505799724903e-03       2.024281458314e-06       9.999729503189e-01      -1.831419933413e-08      -6.018586903464e-10      -5.303113012307e-13      -6.409166393948e-10      -2.337531939762e-11 
