# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05618e-05 to 220.714 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot              
       1.673929922617e-05      -3.996217009002e-05      -2.997194414571e-05      -2.997194681044e-05      -3.996211936405e-05      -3.385202964827e-05      -3.385202964827e-05      -3.385202964827e-05      -3.046243953896e-05      -3.021261944089e-05       6.111910795625e-01       5.977286562678e-01       5.994389362088e-05       8.096797489681e-08       9.999989515597e-01      -6.799866606293e-10       2.202341437190e-09      -1.122563873899e-12      -9.637404248113e-13      -8.488896153745e-16      -1.027104606946e-12      -6.115825610467e-13      -6.115825610467e-13      -6.115825610467e-13      -3.451289747191e-14 
       1.752819809409e-05      -4.381760020290e-05      -3.286358076271e-05      -3.286358396642e-05      -4.381753921701e-05      -3.711797881590e-05      -3.711797881590e-05      -3.711797881590e-05      -3.340139752522e-05      -3.312747484972e-05       6.111909992455e-01       5.977285975156e-01       6.572716793285e-05       8.877961110410e-08       9.999988504081e-01      -7.455893256679e-10       2.414816303697e-09      -1.230865877872e-12      -1.158669970456e-12      -1.020586541369e-15      -1.234850233267e-12      -7.352833898252e-13      -7.352833898252e-13      -7.352833898252e-13      -4.149359726356e-14 
       1.835427662021e-05      -4.804498585506e-05      -3.603419698553e-05      -3.603420083726e-05      -4.804491253396e-05      -4.069901432767e-05      -4.069901432767e-05      -4.069901432767e-05      -3.662390052161e-05      -3.632354974547e-05       6.111909158963e-01       5.977285374350e-01       7.206840167451e-05       9.734489739751e-08       9.999987394980e-01      -8.175214597341e-10       2.647789784400e-09      -1.349616471241e-12      -1.393026539621e-12      -1.227019687447e-15      -1.484615125526e-12      -8.840043834258e-13      -8.840043834258e-13      -8.840043834258e-13      -4.988623671790e-14 
       1.921928702784e-05      -5.268021055226e-05      -3.951070806317e-05      -3.951071269395e-05      -5.268012240104e-05      -4.462553366063e-05      -4.462553366063e-05      -4.462553366063e-05      -4.015730413089e-05      -3.982797542994e-05       6.111908255855e-01       5.977284725878e-01       7.902142538789e-05       1.067365446344e-07       9.999986178876e-01      -8.963939529177e-10       2.903239397452e-09      -1.479823681000e-12      -1.674784758367e-12      -1.475200068414e-15      -1.784898144834e-12      -1.062806147349e-12      -1.062806147349e-12      -1.062806147349e-12      -5.997639566847e-14 
       2.012506412004e-05      -5.776261933731e-05      -4.332262592712e-05      -4.332263149453e-05      -5.776251335641e-05      -4.893086667185e-05      -4.893086667185e-05      -4.893086667185e-05      -4.403160319271e-05      -4.367050072225e-05       6.111907251940e-01       5.977284002983e-01       8.664526298906e-05       1.170342787452e-07       9.999984845444e-01      -9.828754868774e-10       3.183333423149e-09      -1.622592779622e-12      -2.013532152609e-12      -1.773577698627e-15      -2.145917122024e-12      -1.277772826428e-12      -1.277772826428e-12      -1.277772826428e-12      -7.210741702036e-14 
       2.107352917145e-05      -6.333535390755e-05      -4.750231063682e-05      -4.750231733032e-05      -6.333522649074e-05      -5.365155949895e-05      -5.365155949895e-05      -5.365155949895e-05      -4.827968737915e-05      -4.788374541994e-05       6.111906246630e-01       5.977283309750e-01       9.500463466065e-05       1.283255139069e-07       9.999983383360e-01      -1.077701832091e-09       3.490449340178e-09      -1.779135724615e-12      -2.420795415279e-12      -2.132329917032e-15      -2.579956584741e-12      -1.536219301054e-12      -1.536219301054e-12      -1.536219301054e-12      -8.669209420767e-14 
       2.206669400361e-05      -6.944571461391e-05      -5.208524200777e-05      -5.208525005514e-05      -6.944556142548e-05      -5.882768123888e-05      -5.882768123888e-05      -5.882768123888e-05      -5.293761690779e-05      -5.250347410413e-05       6.111905031118e-01       5.977282427576e-01       1.041705001103e-04       1.407061065384e-07       9.999981780227e-01      -1.181674012289e-09       3.827194020741e-09      -1.950781149431e-12      -2.910432818530e-12      -2.563622369066e-15      -3.101785877785e-12      -1.846939770810e-12      -1.846939770810e-12      -1.846939770810e-12      -1.042267018015e-13 
       2.310666525228e-05      -7.614556761564e-05      -5.711032513272e-05      -5.711033480769e-05      -7.614538344326e-05      -6.450316887737e-05      -6.450316887737e-05      -6.450316887737e-05      -5.804493341968e-05      -5.756890410880e-05       6.111903690897e-01       5.977281454694e-01       1.142206696154e-04       1.542811521169e-07       9.999980022425e-01      -1.295678019229e-09       4.196425662329e-09      -2.138986144710e-12      -3.499105491567e-12      -3.082113664632e-15      -3.729161236400e-12      -2.220507238436e-12      -2.220507238436e-12      -2.220507238436e-12      -1.253078950736e-13 
       2.419564883592e-05      -8.349178131959e-05      -6.262021789611e-05      -6.262022952800e-05      -8.349155989589e-05      -7.072619703880e-05      -7.072619703880e-05      -7.072619703880e-05      -6.364499298030e-05      -6.312303565974e-05       6.111902218999e-01       5.977280401852e-01       1.252404590560e-04       1.691658879517e-07       9.999978095036e-01      -1.420680315935e-09       4.601278035804e-09      -2.345348387176e-12      -4.206843489248e-12      -3.705525322935e-15      -4.483430566166e-12      -2.669633216686e-12      -2.669633216686e-12      -2.669633216686e-12      -1.506530029427e-13 
       2.533595463470e-05      -9.154671026053e-05      -6.866169410873e-05      -6.866170809410e-05      -9.154644404995e-05      -7.754958792669e-05      -7.754958792669e-05      -7.754958792669e-05      -6.978533519265e-05      -6.921301791781e-05       6.111900696722e-01       5.977279329176e-01       1.373234161882e-04       1.854866674383e-07       9.999975981684e-01      -1.557743702131e-09       5.045187763126e-09      -2.571619383411e-12      -5.057729158516e-12      -4.455312239366e-15      -5.390259235054e-12      -3.209600288332e-12      -3.209600288332e-12      -3.209600288332e-12      -1.811244867717e-13 
