# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05075e-05 to 219.579 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.665325423467e-05      -3.977443734608e-05      -2.983114064117e-05      -2.983114325792e-05      -3.977438743308e-05      -2.983514666013e-05      -3.011211955736e-05       6.120853489151e-01       5.968762389019e-01       5.966228651584e-05       8.056124205989e-08       9.999989371820e-01      -7.227277180832e-10       2.469291373544e-09      -1.251310350739e-12      -9.500574067106e-13      -8.330306063072e-16      -1.012283394174e-12      -3.654290493921e-14 
       1.743809792708e-05      -4.361175616609e-05      -3.270919299026e-05      -3.270919613628e-05      -4.361169615753e-05      -3.271358572892e-05      -3.301727914291e-05       6.120852708031e-01       5.968761867329e-01       6.541839227255e-05       8.833363633943e-08       9.999988346437e-01      -7.924544282034e-10       2.707520486485e-09      -1.372033400003e-12      -1.142219372708e-12      -1.001521467653e-15      -1.217031298692e-12      -4.393420011268e-14 
       1.825993016315e-05      -4.781928275574e-05      -3.586491395654e-05      -3.586491773887e-05      -4.781921060970e-05      -3.586973074804e-05      -3.620272237787e-05       6.120851812560e-01       5.968761256729e-01       7.172983547775e-05       9.685589622003e-08       9.999987222127e-01      -8.689077187254e-10       2.968732758765e-09      -1.504403353153e-12      -1.373248618938e-12      -1.204085864497e-15      -1.463192071181e-12      -5.282047957949e-14 
       1.912049415925e-05      -5.243273306924e-05      -3.932509309254e-05      -3.932509763992e-05      -5.243264633074e-05      -3.933037498035e-05      -3.969549106965e-05       6.120850913361e-01       5.968760672697e-01       7.865019527984e-05       1.062003643803e-07       9.999985989343e-01      -9.527380774684e-10       3.255145428104e-09      -1.649543896306e-12      -1.651006458940e-12      -1.447641625639e-15      -1.759141969334e-12      -6.350412459260e-14 
       2.002161528699e-05      -5.749126613840e-05      -4.311910278235e-05      -4.311910824950e-05      -5.749116185591e-05      -4.312489463163e-05      -4.352523416863e-05       6.120849829171e-01       5.968759930141e-01       8.623821649899e-05       1.164463697336e-07       9.999984637630e-01      -1.044654106437e-09       3.569189603303e-09      -1.808686949476e-12      -1.984944376414e-12      -1.740438765520e-15      -2.114951477348e-12      -7.634866966986e-14 
       2.096520494510e-05      -6.303782129522e-05      -4.727915126421e-05      -4.727915783718e-05      -6.303769592036e-05      -4.728550240534e-05      -4.772446317065e-05       6.120848705070e-01       5.968759181411e-01       9.455831567435e-05       1.276808865253e-07       9.999983155500e-01      -1.145439506038e-09       3.913530919641e-09      -1.983183476814e-12      -2.386425493536e-12      -2.092473342111e-15      -2.542727766463e-12      -9.179118655764e-14 
       2.195326461375e-05      -6.911947893833e-05      -5.184055333264e-05      -5.184056123508e-05      -6.911932820493e-05      -5.184751785252e-05      -5.232882536469e-05       6.120847539551e-01       5.968758429337e-01       1.036811224702e-04       1.399992831589e-07       9.999981530377e-01      -1.255948498700e-09       4.291092123277e-09      -2.174514693700e-12      -2.869111108005e-12      -2.515722980706e-15      -3.057026991414e-12      -1.103571430302e-13 
       2.298789009998e-05      -7.578785894933e-05      -5.684202930387e-05      -5.684203880460e-05      -7.578767772845e-05      -5.684966636018e-05      -5.737740560939e-05       6.120846163367e-01       5.968757501290e-01       1.136840776092e-04       1.535061349160e-07       9.999979748475e-01      -1.377118166225e-09       4.705077908865e-09      -2.384304544844e-12      -3.449425962210e-12      -3.024527747222e-15      -3.675349451165e-12      -1.326782859631e-13 
       2.407127598314e-05      -8.309956344031e-05      -6.232603725940e-05      -6.232604868177e-05      -8.309934556524e-05      -6.233441195258e-05      -6.291306170039e-05       6.120844641718e-01       5.968756486529e-01       1.246520973635e-04       1.683160978352e-07       9.999977794657e-01      -1.509977514459e-09       5.159001846162e-09      -2.614333984562e-12      -4.147115806732e-12      -3.636273707615e-15      -4.418734672228e-12      -1.595141321685e-13 
       2.520572026996e-05      -9.111665443922e-05      -6.833913153103e-05      -6.833914526449e-05      -9.111639249499e-05      -6.834831585231e-05      -6.898278622501e-05       6.120843081247e-01       5.968755477477e-01       1.366782905290e-04       1.845548895127e-07       9.999975652323e-01      -1.655654396904e-09       5.656716942041e-09      -2.866555482341e-12      -4.985920822720e-12      -4.372064765447e-15      -5.312477832514e-12      -1.917778662939e-13 
