# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -1.591053589966e-05      -1.193295190341e-05      -1.193295232226e-05      -1.591052795678e-05      -1.193455728542e-05      -1.204645478116e-05       6.121905291426e-01       5.968451258755e-01       2.386590464453e-05       3.208333908016e-08       9.999995722198e-01      -2.902794332236e-10       9.924580742094e-10      -5.008375324877e-13      -1.512119861196e-13      -1.330419193539e-16      -1.610738663363e-13      -5.872008357792e-15 
       1.088426138884e-05      -1.744554838073e-05      -1.308422137312e-05      -1.308422187668e-05      -1.744553883129e-05      -1.308598168158e-05      -1.320867462705e-05       6.121905058453e-01       5.968451130508e-01       2.616844375336e-05       3.517867967904e-08       9.999995309482e-01      -3.182840198890e-10       1.088208058786e-09      -5.491572669777e-13      -1.817967451317e-13      -1.599519973354e-16      -1.936533157750e-13      -7.059704802150e-15 
       1.139722082470e-05      -1.912865452622e-05      -1.434656313580e-05      -1.434656374122e-05      -1.912864304527e-05      -1.434849332838e-05      -1.448302320208e-05       6.121904772071e-01       5.968450958043e-01       2.869312748244e-05       3.857265299522e-08       9.999994856951e-01      -3.489916059207e-10       1.193195711011e-09      -6.021387619615e-13      -2.185676873909e-13      -1.923053742926e-16      -2.328224137872e-13      -8.487629238263e-15 
       1.193435529399e-05      -2.097414184049e-05      -1.573069323329e-05      -1.573069396116e-05      -2.097412803735e-05      -1.573280971257e-05      -1.588031846384e-05       6.121904434028e-01       5.968450748384e-01       3.146138792231e-05       4.229407050746e-08       9.999994360759e-01      -3.826610168359e-10       1.308312226351e-09      -6.602317778139e-13      -2.627760579791e-13      -2.312031367806e-16      -2.799139970880e-13      -1.020437103682e-14 
       1.249680413092e-05      -2.299767523409e-05      -1.724836084571e-05      -1.724836172081e-05      -2.299765863907e-05      -1.725068155784e-05      -1.741242133252e-05       6.121903790582e-01       5.968450240050e-01       3.449672344162e-05       4.637452616578e-08       9.999993816700e-01      -4.195791179864e-10       1.434534785291e-09      -7.239293901567e-13      -3.159261906326e-13      -2.779641885797e-16      -3.365305014087e-13      -1.226834707971e-14 
       1.308576036488e-05      -2.521643375008e-05      -1.891245085315e-05      -1.891245190525e-05      -2.521641379850e-05      -1.891499554498e-05      -1.909233922765e-05       6.121903347807e-01       5.968449949750e-01       3.782490381049e-05       5.084865363684e-08       9.999993220147e-01      -4.600585515469e-10       1.572934880609e-09      -7.937724243950e-13      -3.798266578556e-13      -3.341869273869e-16      -4.045984530092e-13      -1.474979067082e-14 
       1.370247325102e-05      -2.764925087514e-05      -2.073708908929e-05      -2.073709035419e-05      -2.764922688809e-05      -2.073987938437e-05      -2.093433232203e-05       6.121902852991e-01       5.968449622791e-01       4.147418070838e-05       5.575443631176e-08       9.999992566038e-01      -5.044441165495e-10       1.724687313489e-09      -8.703537142698e-13      -4.566518660852e-13      -4.017813701781e-16      -4.864340547748e-13      -1.773313972316e-14 
       1.434825092005e-05      -3.031677813499e-05      -2.273776506249e-05      -2.273776658324e-05      -3.031674929624e-05      -2.274082468227e-05      -2.295403742945e-05       6.121902343595e-01       5.968449297979e-01       4.547553316647e-05       6.113351885204e-08       9.999991848824e-01      -5.531111509499e-10       1.891080250134e-09      -9.543233491941e-13      -5.490160069321e-13      -4.830489106857e-16      -5.848220162097e-13      -2.131991158018e-14 
       1.502446315298e-05      -3.324165895014e-05      -2.493146237692e-05      -2.493146420526e-05      -3.324162427835e-05      -2.493481732164e-05      -2.516859966534e-05       6.121901768060e-01       5.968448921890e-01       4.986292841052e-05       6.703156485516e-08       9.999991062416e-01      -6.064744615526e-10       2.073526128693e-09      -1.046394102639e-12      -6.600620381260e-13      -5.807529960427e-16      -7.031102626766e-13      -2.563215610602e-14 
       1.573254428662e-05      -3.644872419479e-05      -2.733680543720e-05      -2.733680763535e-05      -3.644868251019e-05      -2.734048438939e-05      -2.759682054567e-05       6.121901598571e-01       5.968448988294e-01       5.467361527069e-05       7.349863468870e-08       9.999990200117e-01      -6.649881216032e-10       2.273573626196e-09      -1.147347744604e-12      -7.935685924965e-13      -6.982501031229e-16      -8.453238010953e-13      -3.081661262079e-14 
       1.647399625600e-05      -3.996519144579e-05      -2.997420892747e-05      -2.997421157022e-05      -3.996514132994e-05      -2.997824298735e-05      -3.025930888654e-05       6.121900821433e-01       5.968448453030e-01       5.994842314045e-05       8.058964377487e-08       9.999989254646e-01      -7.291438109931e-10       2.492920791300e-09      -1.258040839736e-12      -9.540786333617e-13      -8.394756571404e-16      -1.016301942389e-12      -3.704968941500e-14 
       1.725039178014e-05      -4.382091341034e-05      -3.286606418341e-05      -3.286606736069e-05      -4.382085315790e-05      -3.287048767000e-05      -3.317866894711e-05       6.121900027087e-01       5.968447920695e-01       6.573213472138e-05       8.836477821852e-08       9.999988217959e-01      -7.994894890276e-10       2.733429582977e-09      -1.379413218625e-12      -1.147053951950e-12      -1.009269966754e-15      -1.221862651947e-12      -4.454348866878e-14 
       1.806337769805e-05      -4.804861895651e-05      -3.603692002645e-05      -3.603692384636e-05      -4.804854651726e-05      -3.604177055206e-05      -3.637968298193e-05       6.121899166434e-01       5.968447350383e-01       7.207384769273e-05       9.689004145834e-08       9.999987081252e-01      -8.766220527181e-10       2.997141457989e-09      -1.512495176242e-12      -1.379061037960e-12      -1.213405822992e-15      -1.469000617968e-12      -5.355300494166e-14 
       1.891467846185e-05      -5.268419462271e-05      -3.951369396970e-05      -3.951369856227e-05      -5.268410753169e-05      -3.951901285447e-05      -3.988952445343e-05       6.121898258804e-01       5.968446762685e-01       7.902739712454e-05       1.062378036761e-07       9.999985834876e-01      -9.611966722906e-10       3.286294870847e-09      -1.658416393386e-12      -1.657994504561e-12      -1.458848019841e-15      -1.766125355662e-12      -6.438481261040e-14 
       1.980609979461e-05      -5.776698747712e-05      -4.332589945153e-05      -4.332590497301e-05      -5.776688277082e-05      -4.333173186722e-05      -4.373798742380e-05       6.121897159940e-01       5.968446009313e-01       8.665180994601e-05       1.164874210166e-07       9.999984468261e-01      -1.053928674655e-09       3.603344206642e-09      -1.818415425457e-12      -1.993345841181e-12      -1.753910596718e-15      -2.123347346456e-12      -7.740748816293e-14 
       2.073953252048e-05      -6.334014382814e-05      -4.750589997490e-05      -4.750590661317e-05      -6.334001794374e-05      -4.751229564087e-05      -4.795774310838e-05       6.121896117267e-01       5.968445349392e-01       9.501181322634e-05       1.277258952936e-07       9.999982969787e-01      -1.155610709706e-09       3.950980605153e-09      -1.993850579858e-12      -2.396526220719e-12      -2.108683171690e-15      -2.552821787940e-12      -9.306416560189e-14 
       2.171695657542e-05      -6.945096748682e-05      -5.208917793263e-05      -5.208918591358e-05      -6.945081614083e-05      -5.209619126015e-05      -5.258461125349e-05       6.121894897580e-01       5.968444548140e-01       1.041783718272e-04       1.400486353520e-07       9.999981326748e-01      -1.267101364319e-09       4.332154750211e-09      -2.186210888467e-12      -2.881254835217e-12      -2.535204721753e-15      -3.069162645281e-12      -1.118875972401e-13 
