# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -5.513124023274e-04      -4.135664852477e-04      -4.135664942965e-04      -5.513097571511e-04      -4.135729139409e-04      -4.136877616434e-04       5.917566720458e-01       5.912150625219e-01       8.271329885931e-04       1.800672994409e-07       9.999986262534e-01      -6.219039951825e-11       1.963529813127e-10      -1.751410246782e-14      -3.628142258240e-11      -2.994567934639e-15      -3.727985295321e-11      -4.352585888909e-14 
       1.088426138884e-05      -6.044903747554e-04      -4.534665864443e-04      -4.534665973233e-04      -6.044871945803e-04      -4.534736360998e-04      -4.535995538550e-04       5.917565862623e-01       5.912149919359e-01       9.069331946466e-04       1.974398394119e-07       9.999984937220e-01      -6.818963771384e-11       2.152917617611e-10      -1.920352875296e-14      -4.361925526891e-11      -3.600225183589e-15      -4.481961232887e-11      -5.232886218191e-14 
       1.139722082470e-05      -6.627964898406e-04      -4.972161563650e-04      -4.972161694444e-04      -6.627926664820e-04      -4.972238869824e-04      -4.973619407914e-04       5.917564782964e-01       5.912149005780e-01       9.944323388888e-04       2.164884523002e-07       9.999983484037e-01      -7.476698869982e-11       2.360567176466e-10      -2.105588497480e-14      -5.244108576846e-11      -4.328340828590e-15      -5.388419545615e-11      -6.291216814880e-14 
       1.193435529399e-05      -7.267250589224e-04      -5.451866083829e-04      -5.451866241077e-04      -7.267204623154e-04      -5.451950860306e-04      -5.453464440788e-04       5.917563779104e-01       5.912148184835e-01       1.090373248215e-03       2.373748252690e-07       9.999981890665e-01      -8.197907351950e-11       2.588238118927e-10      -2.308688174809e-14      -6.304699239799e-11      -5.203827777085e-15      -6.478195837534e-11      -7.563580513735e-14 
       1.249680413092e-05      -7.968179202497e-04      -5.977851385606e-04      -5.977851574656e-04      -7.968123940642e-04      -5.977944353513e-04      -5.979603783831e-04       5.917562569775e-01       5.912147175007e-01       1.195570314931e-03       2.602762761935e-07       9.999980143595e-01      -8.988654333712e-11       2.837859931137e-10      -2.531373426623e-14      -7.579778290834e-11      -6.256264742771e-15      -7.788360288339e-11      -9.093257615258e-14 
       1.308576036488e-05      -8.736691205681e-04      -6.554582644686e-04      -6.554582871975e-04      -8.736624766989e-04      -6.554684598252e-04      -6.556503912378e-04       5.917561264148e-01       5.912146089086e-01       1.310916574395e-03       2.853872073497e-07       9.999978227972e-01      -9.855714288892e-11       3.111547028136e-10      -2.775532492678e-14      -9.112713817934e-11      -7.521642544966e-15      -9.363478390971e-11      -1.093228064453e-13 
       1.370247325102e-05      -9.579298713621e-04      -7.186955762644e-04      -7.186956035899e-04      -9.579218839640e-04      -7.187067569183e-04      -7.189062151847e-04       5.917559901125e-01       5.912144965389e-01       1.437391207180e-03       3.129207796454e-07       9.999976127548e-01      -1.080628931093e-10       3.411618284559e-10      -3.043234460685e-14      -1.095565479779e-10      -9.042712790755e-15      -1.125712657376e-10      -1.314320309764e-13 
       1.434825092005e-05      -1.050314029645e-03      -7.880338866460e-04      -7.880339194986e-04      -1.050304426824e-03      -7.880461484913e-04      -7.882648189058e-04       5.917558414096e-01       5.912143743111e-01       1.576067838997e-03       3.431107264161e-07       9.999973824496e-01      -1.184859699524e-10       3.740613849754e-10      -3.336749007529e-14      -1.317127187876e-10      -1.087179090627e-14      -1.353371271672e-10      -1.580122460186e-13 
       1.502446315298e-05      -1.151604108345e-03      -8.640617878957e-04      -8.640618273925e-04      -1.151592563550e-03      -8.640752353479e-04      -8.643149655460e-04       5.917556679382e-01       5.912142297268e-01       1.728123654785e-03       3.762133370889e-07       9.999971299291e-01      -1.299136319615e-10       4.101320163953e-10      -3.658562359761e-14      -1.583493403547e-10      -1.307045388222e-14      -1.627066600602e-10      -1.899674673552e-13 
       1.573254428662e-05      -1.262657917464e-03      -9.474246901157e-04      -9.474247376001e-04      -1.262644038109e-03      -9.474394380255e-04      -9.477022523683e-04       5.917554798326e-01       5.912140732287e-01       1.894849475200e-03       4.125096068498e-07       9.999968530466e-01      -1.424432808520e-10       4.496790344418e-10      -4.011401213967e-14      -1.903723169551e-10      -1.571366264475e-14      -1.956106890667e-10      -2.283845097640e-13 
