# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       1.039438893066e-05      -4.167400435988e-04      -3.126017290897e-04      -3.126017345972e-04      -4.167387304694e-04      -3.126086876349e-04      -3.127239399437e-04       5.968784823972e-01       5.961528373654e-01       6.252034691943e-04       1.576066769787e-07       9.999987064396e-01      -7.233635427763e-11       2.230907063822e-10      -2.091952353677e-14      -2.370319213991e-11      -2.872639601712e-15      -2.437718235816e-11      -3.795532386889e-14 
       1.088426138884e-05      -4.569397420336e-04      -3.427609475368e-04      -3.427609541582e-04      -4.569381633092e-04      -3.427685778444e-04      -3.428949417560e-04       5.968784014801e-01       5.961527717860e-01       6.855219083165e-04       1.728122610912e-07       9.999985816436e-01      -7.931431312203e-11       2.446098212405e-10      -2.293754628410e-14      -2.849720349856e-11      -3.453637877442e-15      -2.930751063680e-11      -4.563185446809e-14 
       1.139722082470e-05      -5.010164912435e-04      -3.758298642568e-04      -3.758298722175e-04      -5.010145932158e-04      -3.758382313013e-04      -3.759767771982e-04       5.968783094334e-01       5.961526965772e-01       7.516597444350e-04       1.894848493108e-07       9.999984448060e-01      -8.696520370359e-11       2.682041928705e-10      -2.515021279808e-14      -3.426077414338e-11      -4.152180156043e-15      -3.523497026972e-11      -5.486092428599e-14 
       1.193435529399e-05      -5.493440682163e-04      -4.120891983208e-04      -4.120892078917e-04      -5.493417863229e-04      -4.120983732327e-04      -4.122502745785e-04       5.968782033089e-01       5.961526087757e-01       8.241784157833e-04       2.077659760881e-07       9.999982947681e-01      -9.535465325213e-11       2.940738900232e-10      -2.757628816840e-14      -4.119000181184e-11      -4.991975126746e-15      -4.236121416984e-11      -6.595651758228e-14 
       1.249680413092e-05      -6.023322680947e-04      -4.518467605460e-04      -4.518467720525e-04      -6.023295247245e-04      -4.518568212756e-04      -4.520233644329e-04       5.968780917747e-01       5.961525172804e-01       9.036935441050e-04       2.278108241889e-07       9.999981302571e-01      -1.045528349533e-10       3.224382146385e-10      -3.023635094132e-14      -4.952060446381e-11      -6.001546316438e-15      -5.092867354461e-11      -7.929608346825e-14 
       1.308576036488e-05      -6.604303411626e-04      -4.954400469526e-04      -4.954400607866e-04      -6.604270429164e-04      -4.954510793900e-04      -4.956336739743e-04       5.968779676597e-01       5.961524153789e-01       9.908801215732e-04       2.497895564159e-07       9.999979498743e-01      -1.146381439229e-10       3.535375307920e-10      -3.315296700287e-14      -5.953594675871e-11      -7.215472174695e-15      -6.122879943645e-11      -9.533342232923e-14 
       1.370247325102e-05      -7.241308123928e-04      -5.432391226816e-04      -5.432391393133e-04      -7.241268471508e-04      -5.432512204178e-04      -5.434514121076e-04       5.968778344733e-01       5.961523062763e-01       1.086478278627e-03       2.738887459828e-07       9.999977520893e-01      -1.256965117220e-10       3.876355091397e-10      -3.635085814862e-14      -7.157679036803e-11      -8.674673651356e-15      -7.361197758844e-11      -1.146140865251e-13 
       1.434825092005e-05      -7.939736187406e-04      -5.956497473649e-04      -5.956497673606e-04      -7.939688515245e-04      -5.956630137207e-04      -5.958824959926e-04       5.968776862629e-01       5.961521847185e-01       1.191299534721e-03       3.003129721284e-07       9.999975352240e-01      -1.378205464753e-10       4.250209742203e-10      -3.985715220150e-14      -8.605265042551e-11      -1.042922724179e-14      -8.849944026286e-11      -1.377939387982e-13 
       1.502446315298e-05      -8.705506849558e-04      -6.531168349077e-04      -6.531168589475e-04      -8.705449536371e-04      -6.531313827392e-04      -6.533720121352e-04       5.968775252646e-01       5.961520528442e-01       1.306233717895e-03       3.292865453220e-07       9.999972974384e-01      -1.511139194773e-10       4.660107393899e-10      -4.370156817610e-14      -1.034559814189e-10      -1.253849844579e-14      -1.063975915884e-10      -1.656614504268e-13 
       1.573254428662e-05      -9.545108969840e-04      -7.161282162015e-04      -7.161282451031e-04      -9.545040066390e-04      -7.161441693180e-04      -7.164079805258e-04       5.968773473817e-01       5.961519067924e-01       1.432256490206e-03       3.610554215615e-07       9.999970367124e-01      -1.656901771679e-10       5.109520209585e-10      -4.791669457299e-14      -1.243787636980e-10      -1.507420672182e-14      -1.279152209024e-10      -1.991645258432e-13 
       1.647399625600e-05      -1.046565584257e-03      -7.852187904686e-04      -7.852188252161e-04      -1.046557300333e-03      -7.852362852813e-04      -7.855255075498e-04       5.968771518528e-01       5.961517464174e-01       1.570437650432e-03       3.958892827394e-07       9.999967508350e-01      -1.816714111965e-10       5.602253104144e-10      -5.253827163299e-14      -1.495325315136e-10      -1.812317401807e-14      -1.537842043190e-10      -2.394426895970e-13 
       1.725039178014e-05      -1.147494503704e-03      -8.609750614689e-04      -8.609751032440e-04      -1.147484544532e-03      -8.609942469532e-04      -8.613113238941e-04       5.968769376083e-01       5.961515705627e-01       1.721950206488e-03       4.340838287939e-07       9.999964373806e-01      -1.991940919996e-10       6.142479173872e-10      -5.760545272109e-14      -1.797729372390e-10      -2.178851280119e-14      -1.848843810775e-10      -2.878658926178e-13 
       1.806337769805e-05      -1.258152407170e-03      -9.440401197788e-04      -9.440401700024e-04      -1.258140434067e-03      -9.440611592746e-04      -9.444087686949e-04       5.968767049357e-01       5.961513798878e-01       1.888080340005e-03       4.759632851273e-07       9.999960936891e-01      -2.184045162305e-10       6.734771239222e-10      -6.316117534055e-14      -2.161284457247e-10      -2.619468966746e-14      -2.222734597774e-10      -3.460809618244e-13 
       1.891467846185e-05      -1.379476207764e-03      -1.035119086582e-03      -1.035119146963e-03      -1.379461813354e-03      -1.035142160122e-03      -1.035523235355e-03       5.968764466959e-01       5.961511678571e-01       2.070238293927e-03       5.218831658272e-07       9.999957168422e-01      -2.394690462602e-10       7.384140466548e-10      -6.925251794486e-14      -2.598352975913e-10      -3.149255590318e-14      -2.672229627185e-10      -4.160677034730e-13 
