# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.039441571510e-05      -2.613525513554e-04      -1.960326931818e-04      -1.960326946471e-04      -2.613522467068e-04      -1.961552858581e-04       6.000831366987e-01       5.989201093443e-01       3.920653892942e-04       1.253829782082e-07       9.999988399240e-01      -9.142153505235e-11      -1.176465883642e-11      -1.755276025607e-15      -1.201514243461e-11      -2.995293778632e-14 
       1.088428943559e-05      -2.865647703501e-04      -2.149455546587e-04      -2.149455564204e-04      -2.865644040850e-04      -2.150799701102e-04       6.000830587877e-01       5.989200469190e-01       4.298911128408e-04       1.374796862113e-07       9.999987280025e-01      -1.002411167169e-10      -1.414413507849e-11      -2.110330444063e-15      -1.444528354599e-11      -3.601111693322e-14 
       1.139725019325e-05      -3.142088923041e-04      -2.356830911434e-04      -2.356830932614e-04      -3.142084519588e-04      -2.358304690505e-04       6.000829737135e-01       5.989199786217e-01       4.713661865229e-04       1.507434595226e-07       9.999986052857e-01      -1.099114173029e-10      -1.700486880528e-11      -2.537169006942e-15      -1.736692625823e-11      -4.329457697002e-14 
       1.193438604663e-05      -3.445194365295e-04      -2.584213433586e-04      -2.584213459051e-04      -3.445189071193e-04      -2.585829331620e-04       6.000828809387e-01       5.989199042744e-01       5.168426918101e-04       1.652868937150e-07       9.999984707282e-01      -1.205145465724e-10      -2.044418737138e-11      -3.050342365720e-15      -2.087947329779e-11      -5.205112214826e-14 
       1.249683633289e-05      -3.777535260240e-04      -2.833533353890e-04      -2.833533384506e-04      -3.777528895408e-04      -2.835305068397e-04       6.000827788406e-01       5.989198222698e-01       5.667066769012e-04       1.812334477909e-07       9.999983231923e-01      -1.321404522150e-10      -2.457911047454e-11      -3.667286533208e-15      -2.510243207941e-11      -6.257867820930e-14 
       1.308579408449e-05      -4.141930654059e-04      -3.106907143006e-04      -3.106907179814e-04      -4.141923002011e-04      -3.108849690200e-04       6.000826667653e-01       5.989197321369e-01       6.213814359628e-04       1.987184911768e-07       9.999981614210e-01      -1.448877220968e-10      -2.955031985569e-11      -4.408961276122e-15      -3.017947586237e-11      -7.523541375736e-14 
       1.370250855978e-05      -4.541471257149e-04      -3.406655461797e-04      -3.406655506049e-04      -4.541462057519e-04      -3.408785303257e-04       6.000825439062e-01       5.989196335608e-01       6.813311012098e-04       2.178904533761e-07       9.999979840425e-01      -1.588646751617e-10      -3.552693030415e-11      -5.300734955394e-15      -3.628333389290e-11      -9.045193226467e-14 
       1.434828789286e-05      -4.979545591721e-04      -3.735322861585e-04      -3.735322914788e-04      -4.979534531516e-04      -3.737658043022e-04       6.000824092397e-01       5.989195254446e-01       7.470645829576e-04       2.389120838934e-07       9.999977895525e-01      -1.741896596160e-10      -4.271228325829e-11      -6.372831058883e-15      -4.362166576255e-11      -1.087459135319e-13 
       1.502450186827e-05      -5.459868647949e-04      -4.095699383632e-04      -4.095699447596e-04      -5.459855350895e-04      -4.098259686896e-04       6.000822616500e-01       5.989194069717e-01       8.191398895192e-04       2.619618337724e-07       9.999975762990e-01      -1.909927786939e-10      -5.135082426575e-11      -7.661756427465e-15      -5.244412318816e-11      -1.307397256566e-13 
       1.573258482650e-05      -5.986513290473e-04      -4.490844243214e-04      -4.490844320115e-04      -5.986497304167e-04      -4.493651352815e-04       6.000820998362e-01       5.989192771424e-01       8.981688640230e-04       2.872353703880e-07       9.999973424722e-01      -2.094165172972e-10      -6.173642682454e-11      -9.211412278676e-15      -6.305084148731e-11      -1.571815872954e-13 
