# Matter power spectrum P(k) at redshift z=99
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039438893066e-05       4.240133214501e-03 
       1.088426138884e-05       4.436489912346e-03 
       1.139722082470e-05       4.641939616326e-03 
       1.193435529399e-05       4.856903133685e-03 
       1.249680413092e-05       5.081821199280e-03 
       1.308576036488e-05       5.317155396949e-03 
       1.370247325102e-05       5.563387612155e-03 
       1.434825092005e-05       5.821022610685e-03 
       1.502446315298e-05       6.090588360932e-03 
       1.573254428662e-05       6.372637303599e-03 
       1.647399625600e-05       6.667747608135e-03 
       1.725039178014e-05       6.976524102415e-03 
       1.806337769805e-05       7.299599590309e-03 
       1.891467846185e-05       7.637636250220e-03 
       1.980609979461e-05       7.991328071992e-03 
       2.073953252048e-05       8.361397730100e-03 
       2.171695657542e-05       8.748604666445e-03 
       2.274044520691e-05       9.153742691855e-03 
       2.381216937154e-05       9.577641892659e-03 
       2.493440233996e-05       1.002117151395e-02 
       2.610952451876e-05       1.048523931183e-02 
       2.734002849963e-05       1.097079774769e-02 
       2.862852434649e-05       1.147884139680e-02 
       2.997774513178e-05       1.201041148553e-02 
       3.139055273368e-05       1.256659741886e-02 
       3.286994390653e-05       1.314853902220e-02 
       3.441905663736e-05       1.375742923983e-02 
       3.604117680196e-05       1.439451550495e-02 
       3.773974513469e-05       1.506110255812e-02 
       3.951836452669e-05       1.575855867480e-02 
       4.138080766818e-05       1.648831042111e-02 
       4.333102505076e-05       1.725185530848e-02 
       4.537315334696e-05       1.805075682090e-02 
       4.751152418469e-05       1.888665282562e-02 
       4.975067333520e-05       1.976125511027e-02 
       5.209535033404e-05       2.067635707137e-02 
       5.455052855549e-05       2.163383274893e-02 
       5.712141576172e-05       2.263564415345e-02 
       5.981346514918e-05       2.368384363859e-02 
       6.263238691556e-05       2.478057893854e-02 
       6.558416037185e-05       2.592809724920e-02 
       6.867504662531e-05       2.712874820830e-02 
       7.191160186009e-05       2.838499281825e-02 
